Pair,Parameter,Estimate,Std. Error,t-value,P-value
USDPHP_RET,coefs_L0_mean,-0.022436851076953337,0.016483899341761758,-1.3611373505606073,0.1734702880771396
USDPHP_RET,coefs_L1_mean,0.03523678585508349,0.015093653600282222,2.334543165507961,0.019567298573559596
USDPHP_RET,intercepts_L0_mean,0.0007487133790301837,0.01437721408330045,0.05207638800481075,0.958467827073827
USDPHP_RET,intercepts_L1_mean,-0.1862227095713484,0.001,-186.2227095713484,0.0
CNYPHP_RET,coefs_L0_mean,-0.01970486554994917,0.01627403647772841,-1.2108161104908404,0.2259658893225952
CNYPHP_RET,coefs_L1_mean,0.02986314725840669,0.014624478579596875,2.041997401539486,0.041151789083721545
CNYPHP_RET,intercepts_L0_mean,0.00015977812674762435,0.014259244909734778,0.011205230554567718,0.9910597066270204
CNYPHP_RET,intercepts_L1_mean,-0.18878970422547195,0.001,-188.78970422547195,0.0
JPYPHP_RET,coefs_L0_mean,-0.010562526745521456,0.014378894629623051,-0.7345854474627551,0.4625920034480805
JPYPHP_RET,coefs_L1_mean,0.028995610252937055,0.013370687555080996,2.1685953047282474,0.03011342196066896
JPYPHP_RET,intercepts_L0_mean,0.0020961292970784256,0.014370325870034955,0.14586511927675075,0.8840278678067618
JPYPHP_RET,intercepts_L1_mean,-0.1889641374359956,0.001,-188.9641374359956,0.0
HKDPHP_RET,coefs_L0_mean,-0.020534164389597986,0.016252449951217548,-1.2634503998616944,0.2064273611947507
HKDPHP_RET,coefs_L1_mean,0.033335888841805696,0.014475283226190568,2.302952441130137,0.02128151910479743
HKDPHP_RET,intercepts_L0_mean,0.0020282186324172354,0.014275781999102866,0.14207408270487004,0.8870214894951985
HKDPHP_RET,intercepts_L1_mean,-0.18720760683174414,0.001,-187.20760683174413,0.0
SGDPHP_RET,coefs_L0_mean,-0.019685080169597045,0.015322994351533895,-1.284675809309196,0.19890559503853
SGDPHP_RET,coefs_L1_mean,0.02942165935020153,0.013752033085052809,2.1394407043842962,0.032399993337764506
SGDPHP_RET,intercepts_L0_mean,0.005770226820858956,0.014041072376197427,0.4109534276484968,0.6811066847764159
SGDPHP_RET,intercepts_L1_mean,-0.18813157368646077,0.001,-188.13157368646077,0.0
