Date,USDSGD,CNYSGD,EURSGD,MYRSGD,JPYSGD,REF_RATE,TARGET_RATE,USDSGD_RET,CNYSGD_RET,EURSGD_RET,MYRSGD_RET,JPYSGD_RET,IR_DIFF_LAGGED
2010-01-04,1.3969999551773071,0.2049318606680505,1.7891543487670845,0.4189659251765777,0.015103518176055519,0.12,0.0,-0.442831605855035,0.0,0.0,0.6369714869621047,0.015595344021086975,-0.05
2010-01-05,1.3968000411987305,0.20489952459677463,1.7891543487670845,0.4116225791826305,0.015251406400194465,0.12,0.0,-0.014311259157929829,-0.015780183024332428,0.0,-1.7682732898280433,0.9744013290453349,-0.12
2010-01-06,1.3933000564575195,0.20434713981267655,1.7891543487670845,0.4123531431469671,0.015086188380844532,0.12,0.0,-0.25088609401537876,-0.26995216703843233,0.0,0.17732662164065066,-1.0892073281150838,-0.12
2010-01-07,1.3974000215530396,0.20496347976281656,1.7891543487670845,0.4150405521901525,0.014963058471846724,0.1,0.0,0.29383079017569186,0.30116023699386424,0.0,0.6496105805276106,-0.8195253527656194,-0.12
2010-01-08,1.3945000171661377,0.20454712046315768,1.7891543487670845,0.41472120057742323,0.015049643449737722,0.11,0.0,-0.20774421645916125,-0.20334489163241223,0.0,-0.07697429471344926,0.5769904911011136,-0.1
2010-01-11,1.3880000114440918,0.2036235565734237,1.7891543487670845,0.41564352560486556,0.015071884291883069,0.11,0.0,-0.4672070065658107,-0.4525388607473746,0.0,0.22214946701601423,0.1476740912875342,-0.11
2010-01-12,1.3911999464035034,0.20409001230181972,1.7891543487670845,0.4150481531683018,0.01527448307460573,0.11,0.0,0.23027752029284373,0.22881550555186067,0.0,-0.14334380702787705,1.3352622435560846,-0.11
2010-01-13,1.3875000476837158,0.20354125451371746,1.7891543487670845,0.41592973988511395,0.015175046953073461,0.11,0.0,-0.26630445274701886,-0.2692424081652817,0.0,0.21218062596569728,-0.6531232167598484,-0.11
2010-01-14,1.3868999481201172,0.20344725920055454,1.7891543487670845,0.41633645420344095,0.015196072776468693,0.11,0.0,-0.04325977320248646,-0.0461906474835517,0.0,0.09773660244565906,0.13845934520370812,-0.11
2010-01-15,1.3904000520706177,0.20396069678241585,1.7891543487670845,0.4170741447680041,0.015321212694993033,0.12,0.0,0.25205097060196713,0.2520509706019892,0.0,0.17702936778822134,0.8201294316470777,-0.11
2010-01-18,1.3873000144958496,0.20351191036625554,1.7891543487670845,0.4159321133961444,0.01529463630991163,0.12,0.0,-0.2232090425580716,-0.22027816827701252,0.0,-0.27419531994595375,-0.17361198608273865,-0.12
2010-01-19,1.3902000188827517,0.20393733055416163,1.7891543487670845,0.41707669150086263,0.015243588822563181,0.13,0.0,0.2088212713499308,0.2088212713499308,0.0,0.2748059368147159,-0.3343189374832005,-0.12
2010-01-20,1.3997000455856323,0.2053158989415478,1.7891543487670845,0.41682549996723345,0.015348934390905901,0.13,0.0,0.6810325245599961,0.6737020026557373,0.0,-0.06024484497020848,0.6887041254976287,-0.13
2010-01-21,1.4039000272750854,0.20591989174802502,1.7891543487670845,0.41679780408296513,0.015531070573483723,0.12,0.0,0.2996136911243653,0.29374546401586754,0.0,-0.006644700104701477,1.1796519781869563,-0.13
2010-01-22,1.4045000076293943,0.20602904880533646,1.7891543487670845,0.41329489319222085,0.015638570825180925,0.11,0.0,0.042727557041724325,0.0529954317734397,0.0,-0.8439856645547803,0.6897780860220049,-0.12
2010-01-25,1.3991999626159668,0.20525458910924851,1.7891543487670845,0.4177838569890079,0.015475307730441845,0.12,0.0,-0.37807549901617843,-0.3766065751497713,0.0,1.0802844980556092,-1.0494647454206243,-0.11
2010-01-26,1.402400016784668,0.2057330705177019,1.7891543487670845,0.4102024012435033,0.01564654758182745,0.12,0.0,0.22844485893122152,0.23284476476412644,0.0,-1.8313510788239573,1.1004586826377207,-0.12
2010-01-27,1.4048000574111938,0.20607306373648818,1.7891543487670845,0.408978438628682,0.015617566482181483,0.12,0.0,0.17099181731727453,0.16512298761795405,0.0,-0.2988262093177909,-0.18539535703873952,-0.12
2010-01-28,1.4039000272750854,0.20594406156934683,1.7891543487670845,0.41114627489287364,0.015637461618480644,0.12,0.0,-0.06408873427404456,-0.06261981040763301,0.0,0.5286613797608801,0.12730840568858157,-0.12
2010-01-29,1.4056999683380127,0.2062081025736085,1.7891543487670845,0.41209580637427756,0.01557217260011922,0.12,0.0,0.12812794077314751,0.12812794077314751,0.0,0.2306810898223755,-0.41839076449856877,-0.12
2010-02-01,1.409000039100647,0.2066891678502492,1.7891543487670845,0.4136088885492174,0.01552446018000024,0.14,0.0,0.23448838355969362,0.2330194596932858,0.0,0.3664951593151817,-0.30686574908163267,-0.12
