Date,USDIDR_RET,CNYIDR_RET,INRIDR_RET,JPYIDR_RET,SGDIDR_RET
2010-01-04,-0.23554775107479878,-0.014176193949327287,0.44952672692252477,0.2258905385750249,-0.014204090058329032
2010-01-05,-0.6924363248623844,-0.6451647408215968,-0.1666575012717944,0.39475680286617904,-0.01724731215175922
2010-01-06,-1.118412521798264,-1.1220259649175521,-0.09508844888256539,-1.7046128769101423,-0.018887825500488755
2010-01-07,0.3048470021798648,0.2939838553674429,0.6139173584715224,-0.8269761575674979,-0.018628472323893204
2010-01-08,-0.6240911844993147,-0.6159088589082305,-0.10091962770651239,0.01732830732683187,-0.019999852269333394
2010-01-11,-0.8546058783094963,-0.8492067859127983,-0.3765305771695522,-0.08367924958821978,-0.019893708110722292
2010-01-12,-0.06631503480731642,-0.06646264085686868,-0.4054375203539212,1.2421109384787554,-0.021045838397188488
2010-01-13,-0.34726427530729004,-0.3627716190423912,-0.11572900807344673,-0.4398769344399095,-0.02105065263197356
2010-01-14,-0.01762063249259484,-0.021362757261927344,-0.041852436254107894,0.2331373463637076,-0.022022451980133483
2010-01-15,0.6949115667971392,0.688895950760025,0.23225959172610558,1.3935220491245015,-0.022105960931404062
2010-01-18,-0.9498297342578587,-0.9386147340347695,-0.652868709443667,-0.7033330055323348,-0.022928771494924897
2010-01-19,0.8233093864080492,0.826366685104555,0.48183052482551897,0.3325758896530439,-0.023066070743879043
2010-01-20,0.7783307645418708,0.7827306528948507,0.18289417682630862,0.8600822806429138,-0.023765443516616882
2010-01-21,-0.9802620931626702,-0.9742961637698299,-1.104071245657109,-0.18756681826581814,-0.02393739082540477
2010-01-22,0.2640395653198334,0.2899680293625299,0.04605391491464697,1.1700884044380855,-0.024534226228399052
2010-01-25,0.9300761892754124,0.940789520122855,1.1940370816292607,0.47503156295432175,-0.02472629133863408
2010-01-26,0.8338890156545552,0.8600989713625189,1.4039422960703616,1.5631133916765425,-0.025237687715121537
2010-01-27,0.3729618980088906,0.3909999985382584,-0.48803092371435375,0.12266224364146112,-0.025439036874145633
2010-01-28,-0.705112939541535,-0.6770352678312527,-0.9542313703978106,-0.5209487119046229,-0.025878976143278824
2010-01-29,-0.9638438297610418,-0.9476043090905025,-0.4881279034958407,-1.493733673819167,-0.02608171397448562
2010-02-01,-0.1556331665982071,-0.14857786927241304,-0.40527111973331514,-0.6125528520512389,-0.0264616324660073
2010-02-02,0.5775689615794353,0.6072733444720121,0.9026969912668142,0.7752193983379808,-0.02666017035995069
2010-02-03,0.6586309876979392,0.6452623113307769,1.1823866840044586,0.26840492921399894,-0.026989435324683148
2010-02-04,0.3699099027091037,0.3774051841871027,-0.1484248486358818,1.7713902758647828,-0.02717996975535771
2010-02-05,0.9371433865821641,0.926466379145849,-0.057030793298235655,1.4372458389807068,-0.02746627395976271
2010-02-08,0.39260460677523573,0.4283409444866716,-0.01011636143403745,0.4280451149778127,-0.027646361475265724
2010-02-09,-1.4083170064457067,-1.3824307304202024,-0.8059686931475522,-2.094820694873982,-0.027896046453712235
2010-02-10,-0.5880797961756443,-0.6113047589904044,-0.42566360368887246,-0.7020269634743559,-0.028064262530559467
2010-02-11,0.03583247239436542,-0.048667365739066944,0.030611242633820517,0.14835330148420178,-0.02828258069241011
2010-02-12,-0.027373452707868503,-0.04603551626789232,-0.054184800479772616,-0.17558882075768847,-0.028438249855312864
2010-02-15,0.16799687979601205,0.1590791842855426,0.3254785374126771,-0.04646771633200605,-0.02862957521948323
2010-02-16,-0.5178325484381743,-0.5215467090400532,0.2837927849050585,-0.6868050397541231,-0.02877256048571358
