Equation,Parameter,Estimate,Std. Error,t-value,P-value
USDPHP_RET,USDPHP_RET.l1,-0.09967917245816632,0.20942662501627793,-0.4759622729460432,0.6341321085182252
USDPHP_RET,CNYPHP_RET.l1,0.15548318247457038,0.03268179613918207,4.757485843569113,2.042485895905175e-6
USDPHP_RET,JPYPHP_RET.l1,0.005690347270702664,0.013214196288179185,0.4306237887349221,0.6667694797048587
USDPHP_RET,HKDPHP_RET.l1,-0.13835844227319877,0.21385462700252741,-0.6469742750600556,0.5176926558616601
USDPHP_RET,SGDPHP_RET.l1,-0.2339299041069262,0.02524134324243434,-9.267728023033905,3.298020174291526e-20
USDPHP_RET,const,-0.005692091033882305,0.014348891294982884,-0.3966920451807001,0.691619684894217
USDPHP_RET,trend,7.276501484195241e-6,7.349993729205875e-6,0.9900010465697942,0.3222446821628644
USDPHP_RET,DXY_lr_lag1,0.17971605505671837,0.018519980500329124,9.70390087902763,5.61177106920845e-22
USDPHP_RET,PSEI_lr_lag1,-0.03836690707805034,0.007043082913324823,-5.447459237696026,5.47592086043071e-8
USDPHP_RET,VIX_diff_lag1,0.035287847400730266,0.004432345038191353,7.961439620939281,2.3037169234442176e-15
USDPHP_RET,DFF_diff_lag1,0.25995343460333586,0.18552158473941585,1.4012031805812095,0.16124540357791348
USDPHP_RET,BSP_RRP_diff_lag1,0.22906300309717478,0.191590543428055,1.1955861651553341,0.23194221391921457
USDPHP_RET,CrudeOil_lr_lag1,-0.38831353440536875,0.2799539856191968,-1.3870619971582272,0.16551458747962816
CNYPHP_RET,USDPHP_RET.l1,-0.2722192305244516,0.22423751549050486,-1.2139771970314153,0.22484149899268618
CNYPHP_RET,CNYPHP_RET.l1,0.0214841475403347,0.034993090145284754,0.6139539963786148,0.539287167983882
CNYPHP_RET,JPYPHP_RET.l1,0.011684105631336202,0.014148719364764818,0.8258065857489298,0.40897227382249013
CNYPHP_RET,HKDPHP_RET.l1,0.08377451809317056,0.22897867084220108,0.3658616664383694,0.7144912655108289
CNYPHP_RET,SGDPHP_RET.l1,-0.16449943489860971,0.02702643990890168,-6.08661131296204,1.2828305212353707e-9
CNYPHP_RET,const,0.0032153981058412836,0.015363661300372892,0.20928592755186828,0.834237686413519
CNYPHP_RET,trend,1.938899205947322e-6,7.86979369304076e-6,0.24637230422722337,0.8054090486296374
CNYPHP_RET,DXY_lr_lag1,0.07438977768467157,0.019829734705430185,3.751425764879277,1.7879086716146225e-4
CNYPHP_RET,PSEI_lr_lag1,-0.028993891630973347,0.0075411777932000304,-3.844743145708285,1.22907964742114e-4
CNYPHP_RET,VIX_diff_lag1,0.031382213743954626,0.004745805549239234,6.612621064717935,4.373688505172212e-11
CNYPHP_RET,DFF_diff_lag1,-0.006601727091683215,0.19864188342143363,-0.03323431583498006,0.9734897013097934
CNYPHP_RET,BSP_RRP_diff_lag1,0.22024838978111275,0.20514004581052422,1.0736489255956547,0.2830569305345967
CNYPHP_RET,CrudeOil_lr_lag1,0.17589768230129071,0.29975265170812865,0.5868094287037819,0.5573710100227318
JPYPHP_RET,USDPHP_RET.l1,0.49850651219141884,0.33378099318595655,1.4935137781008703,0.1353963662101527
JPYPHP_RET,CNYPHP_RET.l1,0.2645609680276904,0.05208775328155754,5.079139555081602,3.997358151908397e-7
JPYPHP_RET,JPYPHP_RET.l1,-0.03055947025574383,0.0210605865461462,-1.4510265508885267,0.14686554069315194
JPYPHP_RET,HKDPHP_RET.l1,-0.7555953026011514,0.3408382759010118,-2.2168733854897087,0.026698253804742774
JPYPHP_RET,SGDPHP_RET.l1,-0.3071847924969107,0.04022927178505845,-7.635852673102628,2.9031267687584515e-14
JPYPHP_RET,const,-0.004867484689978105,0.022869046317221853,-0.21284161230250245,0.8314633788174115
JPYPHP_RET,trend,-9.560935735645158e-7,1.171430904095506e-5,-0.08161758155960057,0.9349556666715557
JPYPHP_RET,DXY_lr_lag1,-0.37939393881534234,0.02951686532074864,-12.853463086022568,5.985781422944931e-37
JPYPHP_RET,PSEI_lr_lag1,-0.029819005680716364,0.011225159216111502,-2.656443895950898,0.007934181900076583
JPYPHP_RET,VIX_diff_lag1,0.09455583055798802,0.007064204605672109,13.385205530721134,7.553640164559608e-40
JPYPHP_RET,DFF_diff_lag1,0.9103387387684831,0.29568150089293443,3.0787815132814638,0.0020952240999586452
JPYPHP_RET,BSP_RRP_diff_lag1,0.05952854225203662,0.30535411562633363,0.1949492055475767,0.8454444643977698
JPYPHP_RET,CrudeOil_lr_lag1,-2.2435621593131274,0.4461864357460734,-5.028306509501217,5.206533204305156e-7
HKDPHP_RET,USDPHP_RET.l1,-0.1420123608041417,0.20847814147310853,-0.6811858538294759,0.49580070135440546
HKDPHP_RET,CNYPHP_RET.l1,0.15740687823839836,0.032533781789063874,4.838259482373186,1.3685503137661277e-6
HKDPHP_RET,JPYPHP_RET.l1,0.00517108243673172,0.013154349801541804,0.393108174462992,0.6942644521114223
HKDPHP_RET,HKDPHP_RET.l1,-0.10291621475969208,0.2128860892422175,-0.483433253558414,0.6288195489185304
HKDPHP_RET,SGDPHP_RET.l1,-0.22616437822332497,0.025127026360943848,-9.000841363977043,3.6601309023386266e-19
HKDPHP_RET,const,-0.006049257416273124,0.014283905826898488,-0.4235016311071983,0.6719563349189634
HKDPHP_RET,trend,7.45291228930503e-6,7.316705945983431e-6,1.0186158011989495,0.3084585195172418
