Date,USDPHP_RET,CNYPHP_RET,JPYPHP_RET,HKDPHP_RET,SGDPHP_RET
2010-01-04,0,0,0,0,0
2010-01-05,-0.02393217781191721,-0.01489759232321145,0.9204959488662824,-0.021388396772673297,-0.013153388548293779
2010-01-06,-0.18418787665612413,-0.2180210885677544,-0.8824302019773427,-0.1642852848096896,0.03436754850017636
2010-01-07,0.010454851502541357,-0.0377205431545649,-1.16701208139928,-0.010293987547412238,-0.3069026648480125
2010-01-08,-0.2523542841217969,-0.18190999894506454,0.7623521683087487,-0.25592929669333386,0.20827470235398693
2010-01-11,-0.6863324975808988,-0.6979109025680674,-0.037496480572250995,-0.6723505825232393,-0.24204962214423484
2010-01-12,0.03690472373805994,-0.08868712712851062,0.8835554500563663,0.032861343655790416,-0.4738426615462476
2010-01-13,0.5731784705820846,0.5658277800579273,0.10062464309351027,0.5621837313086463,0.753766902336079
2010-01-14,0.09737078748249975,0.06881971276594306,0.2301474686279942,0.07748685785856571,0.1144918405417025
2010-01-15,0.447124884161888,0.41127063457976193,0.9288155454526509,0.39882311543953164,0.10517764146566103
2010-01-18,0.17763805693111498,0.20130602327628103,0.20939360554650321,0.15134200445697676,0.3381326708874749
2010-01-19,0.24530382669776768,0.2330485453497577,-0.29133195903465064,0.23875855591086803,0.05357649678982152
2010-01-20,0.2845086809018657,0.3205037029276006,0.421778211987511,0.231476988093367,-0.3096688425366946
2010-01-21,-0.19251834863855027,-0.0177990259429541,1.1201886091155038,-0.21535686060324366,-0.04604723479990935
2010-01-22,0.21089862133228585,0.2557004012030387,0.5886051253180656,0.21032665413073473,0.21808539594803522
2010-01-25,-1.773833076164711,-1.7732219847489579,-2.4270850784865066,-1.7217172759066224,-1.4392293056541123
2010-01-26,1.9358733190570798,1.8748887869018993,2.8803319079734693,1.840974622633472,1.6489708432665249
2010-01-27,0.4937817435592843,0.5694438499540531,0.36451477152440315,0.48690266744032,0.355667088288393
2010-01-28,-1.0165282400465785,-0.9682751443063721,-0.5967397730109083,-0.9059893388672162,-0.8691744175949895
2010-01-29,0.9262228819114847,0.9007685098849949,0.5409129637110764,0.9751603773527883,0.9327014773177035
2010-02-01,0.33171937739607243,0.3365023995751012,-0.18469654987116102,0.2753684069995377,0.10486037524896036
2010-02-02,-0.685711488848682,-0.650656388626949,-0.3829618616566902,-0.6678954106420796,-0.7600365064068035
2010-02-03,-0.41691203554401296,-0.5094478453717488,-0.9007961606834327,-0.4254053827053778,-0.9350394828848897
2010-02-04,0.3177954590447003,0.3706716017785978,2.1001378089540963,0.28474253997572363,-0.09646211328803665
2010-02-05,0.07493623422720691,0.19136958621740036,0.3170409258743308,0.10348458395318194,0.31130277713861126
2010-02-08,-0.3469630698398367,-0.32785765203132117,-0.33443127427323627,-0.3685357889785746,-0.4673341869660528
2010-02-09,-0.25699264831516694,-0.26473262463091435,-1.0087585146963594,-0.23157637087960387,0.13274090623035353
2010-02-10,0.14700912603703636,0.01882932056074481,-0.2391329876533168,0.13440403634702097,-0.12056956463915668
2010-02-11,-0.37017225496789397,-0.44985645156452336,-0.09196811719595377,-0.3630925757452913,0.16304895271056932
2010-02-12,0.7741988907086873,0.689522372271224,0.7204785562562409,0.7542547647021752,0.70822616856542
2010-02-15,-0.026493741261795628,-0.020558082565932,-0.13791225818459685,-0.05555502062189055,-0.09745366026421892
2010-02-16,-0.7084311688319435,-0.7107284721659728,-0.9576538535731504,-0.6731729615570634,-0.15701422948189023
2010-02-17,0.06251295367979288,-0.08926999645650695,-1.1511691250126659,0.06989150650607186,-0.3652840571942768
2010-02-18,0.17515247989745858,0.24631051089004902,-0.3654886432460376,0.19170916259846366,-0.04862604257427949
2010-02-19,-0.13318130092712485,-0.030821383110151503,0.38864677920518137,-0.12074485187256076,0.005735707652299388
2010-02-22,0.22338818460807597,0.22116846565065618,0.5860323383131874,0.26353249855213384,0.35749390454455043
2010-02-23,-0.01948676879492464,-0.06948942094278049,1.141908649906654,-0.019887347375187603,-0.1646346184568571
2010-02-24,-0.21997141579732635,-0.1706979393399347,-0.20050041172551955,-0.2422886020794179,0.0439032625577203
2010-02-25,0.2335514775455053,0.22832737286407467,1.4400579865568108,0.2462173428942939,0.20346681357268784
2010-02-26,0.14386819658900096,0.11413634296753,0.5098862000304716,0.1585362093409118,0.26497872865886013
2010-03-01,0.05604111757266355,0.031389334132352474,-0.16103312246199136,0.032320253750159844,0.1610775048639078
2010-03-02,0.00547269765370504,0.014489192276462705,0.6446050955777798,0.022726874284133294,0.42508577655775454
2010-03-03,-0.3494511565209966,-0.37628616712253476,-0.17776011444219325,-0.3470375586459202,-0.3083146150733429
2010-03-04,0.0380958679373957,-0.06936348381779735,-0.9670650426507754,0.02137188416933349,-0.43827148521178116
2010-03-05,-0.2048596246233282,-0.10259110514556938,-1.0239359821053473,-0.18872667583510214,0.15628844606613912
2010-03-08,-0.5264744819092617,-0.5372903961855101,-0.63341174434309655,-0.4764501559753979,-0.3800234863871518
2010-03-09,-0.07338602987549238,-0.13087760129718298,0.2601130999101246,-0.08409717433145873,0.034872113099727736
2010-03-10,-0.153844776374478,-0.13332114366714246,-0.572695827492115,-0.14387294805043074,-0.029737541849911342
2010-03-11,-0.18099249617512128,-0.21098933099176284,-0.5241495257015086,-0.18805077554576824,-0.1945960238923495
2010-03-12,0.13821959950421359,0.12228989384592827,0.1802528021369617,0.1662789994016342,0.33252119236466443
2010-03-15,0.5187218877782995,0.47662864099294827,0.8067857847207903,0.48902779628891346,0.2869669862612079
2010-03-16,-0.36853371414227687,-0.2809117048871516,-0.12744577004134225,-0.37713486886634584,0.06345552822607627
2010-03-17,-0.34173439854100823,-0.45548202198916,-0.7677096634375381,-0.363261013597105,-0.5147865310095281
2010-03-18,0.4228751674999402,0.3694204055973077,0.328062086667884,0.4290882411855672,0.1578922626796223
2010-03-19,-0.32796727734820386,-0.23127337313299182,0.03399250702185991,-0.3027113313233032,-0.22204176160712707
2010-03-22,-0.052279669302806836,-0.05666558762812457,0.13494927591471545,-0.07324382358259658,-0.25553017538178346
2010-03-23,0.2554133067416802,0.25978445908135145,0.1796191046184582,0.23998329377717517,0.0811548559227821
2010-03-24,0.04219383290082985,0.05379438413783079,-1.5702701946750977,0.0555631293328849,-0.17610109866116838
2010-03-25,-0.40105543178451486,-0.2601606497142046,-0.48244689947692765,-0.3894269179753986,0.1306589322878594
2010-03-26,-0.34391620576068055,-0.2976093332387243,-0.23059645107227403,-0.34952613971424573,0.13102378566942913
2010-03-29,-0.6604216655640507,-0.6820751999241721,-0.6319737393571009,-0.6836026923991431,-0.3363796445812027
2010-03-30,0.061503577080853716,-0.010352665706399838,-0.46629680183379324,0.0535980595601594,-0.13400032444981508
2010-03-31,-0.38912384729436433,-0.3816783200090679,-1.0551943041685432,-0.388534243594353,-0.3241851763303322
2010-04-01,-0.16565679510592157,-0.24227250669570713,-0.7767901020884108,-0.19398344212858598,-0.2026618063317216
2010-04-02,-0.4063528222011025,-0.43869309885730684,-1.3716425987417578,-0.4334290594525962,-0.7226887869727289
2010-04-05,2.355348396197242,2.3653447217449113,2.5059751018332292,2.388730821330725,2.5370388519933993
2010-04-06,-1.491663692283578,-1.4597878462615856,-0.573031369555485,-1.4951479374616206,-1.2469731201632184
2010-04-07,-0.9900901806243562,-1.0068879841150962,-0.2511241687530883,-0.9281932458130122,-0.8164337877698236
2010-04-08,0.3608739170601698,0.3323111331765036,0.28976779321704677,0.3792127438720497,0.47997420686356024
2010-04-09,-0.4216527507572332,-0.38798823032177876,-0.05174001645828272,-0.374329921280627,-0.0628110221356255
2010-04-12,-0.17158719904842196,-0.2509868539606254,-0.1499349604413682,-0.1985082582838057,-0.24856365001508038
2010-04-13,0.20626477980970054,0.11864415746690661,-0.15598640083240678,0.16608600540051605,-0.14267606933760285
2010-04-14,-0.7697575932453029,-0.7669591042303221,-1.021426854744406,-0.7726353247265059,0.5221417031695947
2010-04-15,0.055902751905437295,-0.09779323050306277,0.27116422446639044,0.05014191028322906,-0.06545412793199155
2010-04-16,-0.24285223714596377,-0.2026131024854649,0.896006108153199,-0.2496352834878687,-0.19477133151271075
2010-04-19,0.6112912404476151,0.607307619245866,0.2924858116467819,0.5863511698350622,0.38005344069473174
2010-04-20,-0.0808491671558879,-0.022417717557888878,-0.6880447510826907,-0.08193369751802698,0.18006884351541383
2010-04-21,-0.30242601773780853,-0.3281000078996788,-0.014633792434939646,-0.29615068463409966,-0.09767351545481368
2010-04-22,0.21074912255914843,0.19292967957208498,-0.11198947918379912,0.23587185892264936,0.3065605556146831
2010-04-23,-0.42723721317795965,-0.4126197180325887,-0.7477731523939871,-0.4508980419533969,-0.017072010587320607
2010-04-26,-0.30854406081527425,-0.3204171431156301,-0.28383912545867374,-0.3194685171976907,-0.04019575760331845
