Date,CNYAUD,USDAUD,JPYAUD,KRWAUD,INRAUD,REF_RATE,TARGET_RATE,CNYAUD_RET,USDAUD_RET,JPYAUD_RET,KRWAUD_RET,INRAUD_RET,IR_DIFF_LAGGED
2010-01-04,0.1607622353491193,1.0959000462144186,0.011848208159060954,0.0009677675932420347,0.023675684601697358,0.12,0.0,0.0,-1.5483141233767368,-1.0898871735006197,-0.3544818756401539,-0.8550727089461397,-0.05
2010-01-05,0.16087721311437755,1.096699947685661,0.01197466788937923,0.0009609216689438864,0.023779270882147926,0.12,0.0,0.07149481862694139,0.0729637424933626,1.061676330696601,-0.709907312020188,0.4365674518762195,-0.12
2010-01-06,0.1593359154532857,1.0864000357444774,0.011763177299991106,0.0009610757362709787,0.02376202989365908,0.12,0.0,-0.9626773088601517,-0.9436112358371176,-1.7819324699368095,0.01603200160460967,-0.07253057431464788,-0.12
2010-01-07,0.15981694637733784,1.0895999842053226,0.011667201963019782,0.0009600845543799086,0.023848712807642426,0.1,0.0,0.3014425661384234,0.2941131193202333,-0.8192430236210838,-0.10318576579359219,0.36413214683985656,-0.12
2010-01-08,0.15856251828200107,1.0809999865335824,0.011666306322148637,0.000962514477813615,0.023748845502240053,0.11,0.0,-0.7880122469293298,-0.7924115717560885,-0.007676864195812516,0.2527749870726725,-0.4196326681314443,-0.1
2010-01-11,0.15779359177840033,1.0756000478522703,0.011679624878898134,0.0009592437358549872,0.023713567779138266,0.11,0.0,-0.486115484003607,-0.5007836298220248,0.11409746803131633,-0.34039090801620014,-0.14865543978628948,-0.11
2010-01-12,0.1593756506625678,1.0864000357444774,0.011927975558890008,0.0009668921852529758,0.023815161449815783,0.11,0.0,0.9976200675169059,0.9990820822578729,2.104066805521095,0.7941796333748866,0.4275049093596237,-0.11
2010-01-13,0.1587254981144549,1.0819999941956997,0.011833801910533556,0.0009665028978970073,0.023786493556025978,0.11,0.0,-0.4087715218370079,-0.4058335664187283,-0.7926523304315308,-0.04026982013371366,-0.12044916191353153,-0.11
2010-01-14,0.1575032990008488,1.073699975469756,0.011764383573196268,0.0009580619454359993,0.02356517309971082,0.11,0.0,-0.7729879191189774,-0.7700570448379087,-0.5883379264317223,-0.8771859898241665,-0.9348015967561509,-0.11
2010-01-15,0.1589848888431251,1.0837999732945616,0.011942699430243103,0.0009661258032808434,0.02366220422411973,0.12,0.0,0.9362754897824338,0.9362754897824338,1.5043539508275428,0.8381619785673964,0.41091107080848616,-0.11
2010-01-18,0.15818272433298639,1.0783000138184131,0.011887988446622083,0.0009607947669113483,0.023627240507508536,0.12,0.0,-0.5058311045618125,-0.5087619788428673,-0.45916492236754813,-0.5533232717010613,-0.14787115044615534,-0.12
2010-01-19,0.15900421639607537,1.0838999610105975,0.011884998637617848,0.0009608190625548215,0.023641161470755352,0.13,0.0,0.5179872147276271,0.5179872147276492,-0.025152994105485438,0.0025286707559963404,0.05890177398294912,-0.12
2010-01-20,0.16092882443113893,1.0971000495019398,0.012030660949946134,0.0009689984956865567,0.023788977162408558,0.13,0.0,1.203146287481814,1.2104768093860552,1.2181484103236897,0.8476948587189062,0.6233006036686126,-0.13
2010-01-21,0.16215145953831434,1.105499990972668,0.01222992951435982,0.0009679537821594887,0.023976315389900225,0.12,0.0,0.7568650916417269,0.7627333187502234,1.6427716058128428,-0.10787190168001666,0.7844155371784247,-0.13
2010-01-22,0.1627695453547436,1.1095999764022069,0.012354971679832,0.0009613585369464059,0.024005365005698578,0.11,0.0,0.3804534349337199,0.37018556020200405,1.0172360891822967,-0.6836913690015531,0.12108629421978515,-0.12
2010-01-25,0.16209714523020305,1.104999993084371,0.012221423236136966,0.0009771842459942487,0.023981075878029806,0.12,0.0,-0.41395508016551524,-0.4154240040319304,-1.0868132504363839,1.6327790932216486,-0.10123330380743283,-0.11
2010-01-26,0.16296982184319422,1.1109000624604242,0.01239428870358535,0.0009580028336056961,0.024230066149289506,0.12,0.0,0.5369224177703451,0.5325225119374315,1.404536335643922,-1.982448187466597,1.0329250649844155,-0.12
