Date,CNYAUD_RET,USDAUD_RET,JPYAUD_RET,KRWAUD_RET,INRAUD_RET
2010-01-04,0,-1.5472930776857012,-1.0884698958447552,-0.33882211761131875,-0.844364313789665
2010-01-05,0.07147564583155469,0.032968681411310895,1.022198358321483,-0.7934469059869039,0.3016665875980471
2010-01-06,-0.9579924259243828,-0.9135052276477207,-1.7060018928736247,-0.20450478818709095,-0.0036553477313947536
2010-01-07,0.23670634407758043,0.24931849259099473,-0.9233579375729073,-0.15319278381266468,0.3526893337793189
2010-01-08,-0.7462202893380968,-0.7535345410378499,0.03348778042843205,0.15753977878400974,-0.3621852244155706
2010-01-11,-0.5415067494576602,-0.5478705106452283,0.13525549701662137,-0.32769999567049996,-0.21485894390707536
2010-01-12,0.9826085676093549,1.0197199748715526,2.104498717274371,0.7434152025650925,0.4040522285559782
2010-01-13,-0.3295286024875826,-0.3954683818003382,-0.72496915767176,0.1345591501301513,-0.05300369072447547
2010-01-14,-0.8215376999304912,-0.7874519094777417,-0.6907874008984605,-0.7993694263950901,-0.9538043036297489
2010-01-15,0.8914829520963299,0.9293374451378515,1.522470777238214,0.5744402125232935,0.26343174886118315
2010-01-18,-0.42487701628100993,-0.4805699805868455,-0.39019856766960015,-0.2981257277544418,-0.08304361237415532
2010-01-19,0.46568948288799483,0.4854886118098694,-0.0977881581156603,-0.16202945012217654,0.03557282687904792
2010-01-20,1.2453175044218108,1.2462341583548944,1.2407234490960402,0.7719278382337315,0.6325932639706945
2010-01-21,0.8256911692157053,0.7677170499185051,1.6831712027483614,0.21378314986925592,0.8827507889766419
2010-01-22,0.4003944602136393,0.3856695003649748,1.029259528950345,-0.7497836287054926,0.2448399034877214
2010-01-25,-0.41037042516738476,-0.41709967665850733,-1.1057887135486424,1.5195190579857498,-0.08213007951832857
2010-01-26,0.49904773818803144,0.523358470441596,1.3382331527570566,-1.5412036380329948,1.0169539551191635
2010-01-27,0.4692358183923593,0.4508501629549274,0.1665638376825918,-0.39651257391816336,-0.4258050149651058
2010-01-28,0.32280412557832744,0.3011514698162994,0.4425942603729624,1.0922172902823162,0.14664574301387534
2010-01-29,1.0483348161574335,1.0498307411310288,0.5141751460406853,1.0505636038221058,1.6187029793576757
2010-02-01,-0.8031347441916035,-0.8424863796442217,-1.4035497480751613,-1.306161709235343,-1.023406155367434
2010-02-02,0.4728451723136979,0.4900645626737118,0.8279258434365779,0.9078057218494255,0.7310638174256664
2010-02-03,0.6002440395392974,0.6126656424209352,0.2038240123288408,1.600263256255535,1.1568920950860748
2010-02-04,1.541073003148381,1.5026044834075416,3.0669752908370005,2.077826320560013,1.0009307389941118
2010-02-05,0.10447810817180686,0.08966503084190437,0.36177519616862974,-0.882185630283242,-0.7071283814618676
2010-02-08,0.575473575975858,0.5574632095072843,0.486307575858827,-0.3211497805938889,0.26352949523788594
2010-02-09,-1.569621908072369,-1.5735561432274519,-2.1976391042362473,-0.41767915418083723,-0.8604175599718547
2010-02-10,-0.07490737736556416,0.012969981566576309,-0.19733183331266338,0.059344846159632134,-0.04079485063733178
2010-02-11,-1.5518163545967583,-1.4712301892214121,-1.3066529611399436,-1.2268471502146119,-1.5504943371288573
2010-02-12,0.011546282391120016,0.03492434791182215,-0.10279339853614061,0.045182011452542636,-0.14044144420209237
2010-02-15,0.04479651661467152,0.053206428643007134,-0.06324768186715499,0.3107986745898317,0.15055705295152716
2010-02-16,-1.3402870910906508,-1.3803337574617343,-1.5664650525566302,-1.1095733690325258,-0.5462231559521478
2010-02-17,0.1989459785487077,0.2808942671133232,-0.6505792204693928,-0.32586849435294296,0.13761935821024143
2010-02-18,1.060230008902303,1.022593034887989,0.032636977318378384,0.6012654061451574,0.7597606720421304
