Pair,Parameter,Estimate,Std. Error,t-value,P-value
USDPHP_RET,coefs_L0_mean,-0.021045497918791015,0.016588681807764828,-1.268666079841259,0.20456018531142384
USDPHP_RET,coefs_L1_mean,0.029863617732321227,0.015117003349440203,1.9754985192503185,0.048211602484573984
USDPHP_RET,intercepts_L0_mean,0.004051062978966585,0.014248272806133435,0.2843195827372655,0.7761654802790242
USDPHP_RET,intercepts_L1_mean,-0.1863728555793715,0.001,-186.3728555793715,0.0
CNYPHP_RET,coefs_L0_mean,-0.022416510856980508,0.016891843218497328,-1.327061266613783,0.18448841678800043
CNYPHP_RET,coefs_L1_mean,0.033407876328289135,0.015272371012721503,2.1874715000350116,0.028708121547325632
CNYPHP_RET,intercepts_L0_mean,0.0011450884839200699,0.014261149335917198,0.08029426359319616,0.9360032204742949
CNYPHP_RET,intercepts_L1_mean,-0.18778816739571613,0.001,-187.78816739571613,0.0
JPYPHP_RET,coefs_L0_mean,-0.01076838247698706,0.014617285732325912,-0.7366882384444973,0.4613119609465156
JPYPHP_RET,coefs_L1_mean,0.0290327311818364,0.013524838119503163,2.1466231924780272,0.03182329199049993
JPYPHP_RET,intercepts_L0_mean,0.002656083157565835,0.014313926889174114,0.18555936313847457,0.8527903235394421
JPYPHP_RET,intercepts_L1_mean,-0.19035355183838476,0.001,-190.35355183838476,0.0
HKDPHP_RET,coefs_L0_mean,-0.02092043608814379,0.017037552581938138,-1.2279014833575321,0.21948395261563347
HKDPHP_RET,coefs_L1_mean,0.02951883836058617,0.015999576072001892,1.8449762811054735,0.06504098901139978
HKDPHP_RET,intercepts_L0_mean,0.0027570861062038445,0.014303407334738321,0.1927572949354368,0.8471490498952511
HKDPHP_RET,intercepts_L1_mean,-0.18695403487477122,0.001,-186.95403487477122,0.0
SGDPHP_RET,coefs_L0_mean,-0.02062243136263681,0.015785406862327416,-1.306423809186266,0.19140847346490142
SGDPHP_RET,coefs_L1_mean,0.02562636422981358,0.014536422969053558,1.7629071666646798,0.07791614813100461
SGDPHP_RET,intercepts_L0_mean,0.005157429186054604,0.014319933752031283,0.360157335596823,0.7187294780000782
SGDPHP_RET,intercepts_L1_mean,-0.18431298744904284,0.001,-184.31298744904285,0.0
