Date,USDIDR=X
2010-01-01,9385.599609375
2010-01-04,9364.2001953125
2010-01-05,9305.2001953125
2010-01-06,9218.099609375
2010-01-07,9272.5
2010-01-08,9212.7001953125
2010-01-11,9148.099609375
2010-01-12,9171.0
2010-01-13,9141.0
2010-01-14,9155.7998046875
2010-01-15,9226.099609375
2010-01-18,9130.0
2010-01-19,9229.9501953125
2010-01-20,9294.9501953125
2010-01-21,9183.0
2010-01-22,9240.0
2010-01-25,9319.9501953125
2010-01-26,9379.9501953125
2010-01-27,9399.9501953125
2010-01-28,9324.9501953125
2010-01-29,9250.0
2010-02-01,9256.400390625
2010-02-02,9313.7001953125
2010-02-03,9364.599609375
2010-02-04,9386.900390625
2010-02-05,9468.099609375
2010-02-08,9484.5
2010-02-09,9339.2998046875
2010-02-10,9314.400390625
2010-02-11,9330.099609375
2010-02-12,9323.7001953125
2010-02-15,9344.7998046875
2010-02-16,9292.900390625
2010-02-17,9400.599609375
2010-02-18,9499.7998046875
2010-02-19,9292.2001953125
2010-02-22,9281.7001953125
2010-02-23,9341.7998046875
2010-02-24,9352.2998046875
2010-02-25,9335.2001953125
2010-02-26,9340.0
2010-03-01,9385.099609375
2010-03-02,9184.400390625
2010-03-03,9149.2998046875
2010-03-04,9328.900390625
2010-03-05,8898.400390625
2010-03-08,9180.0
2010-03-09,9173.099609375
2010-03-10,9169.900390625
2010-03-11,9152.900390625
2010-03-12,9144.7001953125
2010-03-15,9205.900390625
2010-03-16,9151.7998046875
2010-03-17,9099.5
2010-03-18,9120.2998046875
2010-03-19,9110.400390625
2010-03-22,9115.400390625
2010-03-23,9144.599609375
2010-03-24,9114.7001953125
2010-03-25,9132.599609375
2010-03-26,9112.900390625
2010-03-29,9073.0
2010-03-30,9075.400390625
2010-03-31,9103.0
2010-04-01,9041.400390625
2010-04-02,9094.900390625
2010-04-05,9052.7998046875
2010-04-06,9037.2998046875
2010-04-07,9054.5
2010-04-08,9057.7001953125
2010-04-09,8992.900390625
2010-04-12,9011.0
2010-04-13,9009.5
2010-04-14,9011.400390625
2010-04-15,9001.099609375
2010-04-16,9006.099609375
2010-04-19,9016.400390625
2010-04-20,9017.7998046875
2010-04-21,9023.2998046875
2010-04-22,9104.2998046875
2010-04-23,9004.0
2010-04-26,8961.900390625
2010-04-27,9096.099609375
2010-04-28,9022.400390625
2010-04-29,9002.5
2010-04-30,9028.7001953125
2010-05-03,9021.099609375
2010-05-04,9069.7001953125
2010-05-05,9116.5
2010-05-06,9273.400390625
2010-05-07,9220.2998046875
2010-05-10,9203.2001953125
2010-05-11,9186.7001953125
2010-05-12,9179.0
2010-05-13,9103.7001953125
2010-05-14,9104.2001953125
2010-05-17,9078.7998046875
2010-05-18,9283.5
2010-05-19,9123.900390625
2010-05-20,9121.099609375
2010-05-21,9260.599609375
2010-05-24,9282.400390625
2010-05-25,9283.900390625
2010-05-26,9376.2001953125
2010-05-27,9215.0
2010-05-28,9295.599609375
2010-05-31,9284.599609375
2010-06-01,9245.099609375
2010-06-02,9242.099609375
2010-06-03,9237.5
2010-06-04,9282.7001953125
2010-06-07,9318.099609375
2010-06-08,9223.400390625
2010-06-09,9281.2001953125
2010-06-10,9193.400390625
2010-06-11,9196.599609375
2010-06-14,9205.2001953125
2010-06-15,9141.0
2010-06-16,9163.2998046875
2010-06-17,9142.900390625
2010-06-18,9071.5
2010-06-21,8997.900390625
2010-06-22,9012.0
2010-06-23,8979.5
2010-06-24,9065.5
2010-06-25,9065.599609375
2010-06-28,9059.099609375
2010-06-29,9077.099609375
2010-06-30,9044.7998046875
2010-07-01,9035.7001953125
2010-07-02,9062.7001953125
2010-07-05,9085.099609375
2010-07-06,9023.599609375
2010-07-07,9060.2998046875
2010-07-08,9044.900390625
2010-07-09,9034.099609375
2010-07-12,9072.099609375
2010-07-13,8977.900390625
2010-07-14,9018.7998046875
2010-07-15,9037.400390625
