Date,USDTHB,CNYTHB,JPYTHB,INRTHB,MYRTHB,REF_RATE,TARGET_RATE,USDTHB_RET,CNYTHB_RET,JPYTHB_RET,INRTHB_RET,MYRTHB_RET,IR_DIFF_LAGGED
2023-12-20,34.83000183105469,4.928123117852309,0.24206158913499703,0.41917597513245364,7.4391287140490565,5.33,0.0,-0.31531284525423825,0.5917639569844307,-1.129666700730198,-0.2917273039721824,-0.11261311508297372,-5.33
2023-12-21,34.952999114990234,4.89942660032302,0.24353588159290693,0.4197691350135853,7.507087217364409,5.33,0.0,0.3525139636816582,-0.5840031322634631,0.6072095002893039,0.14140614750521202,0.9093803001155384,-5.33
2023-12-22,34.685001373291016,4.858863953957512,0.24414020965126146,0.4172300498567164,7.454331030140454,5.33,0.0,-0.7696920155430025,-0.8313521669054929,0.2478400637405175,-0.6067133615965511,-0.7052326858968387,-5.33
2023-12-25,34.39400100708008,4.855646443762089,0.24162933046757124,0.4135634056207716,7.39179065321261,5.33,0.0,-0.8425196587790975,-0.06624132727942479,-1.0337830340954413,-0.8826906419962313,-0.8425196587790975,-5.33
2023-12-26,34.507999420166016,4.836101133984326,0.24262110986961422,0.4148977302331043,7.45393672624685,5.33,0.0,0.33090045687483366,-0.4033397716639657,0.40961482164495033,0.322121511404017,0.8372299242487089,-5.33
2023-12-27,34.47100067138672,4.826249117246372,0.2419679844015696,0.4144005798071272,7.4355046394423105,5.33,0.0,-0.10727540926477534,-0.2039259578879018,-0.2695586307010957,-0.11989665950442296,-0.24758613526720386,-5.33
2023-12-28,34.19499969482422,4.789081402970532,0.24183338773946567,0.41066591729263646,7.390317866028438,5.33,0.0,-0.8038984693312567,-0.7730966567820164,-0.05564129137576894,-0.9053059443501179,-0.6095704075302413,-5.33
2023-12-29,34.290000915527344,4.824820813690722,0.24245211547266968,0.41663629197084623,7.446254239631122,5.33,0.0,0.27743675488859637,0.7434977920696132,0.2555220281207494,1.4433609051720955,0.7540372295739888,-5.33
2024-01-01,34.41999816894531,4.869422134981893,0.2441966001366181,0.41346040346201646,7.4948277836620285,5.33,0.0,0.37839444116146626,0.9201674897032623,0.716941021423063,-0.7651889285551191,0.6502034468652977,-5.33
2024-01-02,34.32600021362305,4.856124175986002,0.24322944384124529,0.41255923255823124,7.474360075218268,5.33,0.0,-0.2734646848180329,-0.2734646848180329,-0.3968427935220146,-0.21819608687829356,-0.2734646848180329,-5.33
2024-01-03,34.209999084472656,4.82537783069093,0.24065280418021376,0.41089635141269837,7.435340215707416,5.33,0.0,-0.33851185102737297,-0.6351586487211227,-1.0649962983465004,-0.4038793198541247,-0.5234169410986775,-5.33
2024-01-04,34.439998626708984,4.851455774358468,0.2408408473617368,0.4133555450352405,7.485329250836045,5.33,0.0,0.6700667457112303,0.5389780967957885,0.07810827431726698,0.5967110127512207,0.6700667457112303,-5.33
2024-01-05,34.48899841308594,4.850773244084084,0.238241277646509,0.4143290434032793,7.444204442006339,5.33,0.0,0.14217469203137648,-0.014069556062059002,-1.0852399173661396,0.23523424998911868,-0.550920259021431,-5.33
2024-01-08,34.637001037597656,4.883609448428004,0.23934464896435173,0.41635464118567606,7.445615091752716,5.33,0.0,0.42821182143446096,0.6746463525302216,0.46206272817609134,0.48769509617661805,0.01894784214675884,-5.33
2024-01-09,34.939998626708984,4.928067401233508,0.2422519563316994,0.42070686642498395,7.515594184822856,5.33,0.0,0.8709760582341458,0.906231579933029,1.2073767353115539,1.0398911954533976,0.9354805766328137,-5.33
