Date,USDTHB,CNYTHB,JPYTHB,INRTHB,MYRTHB,REF_RATE,TARGET_RATE,USDTHB_RET,CNYTHB_RET,JPYTHB_RET,INRTHB_RET,MYRTHB_RET,IR_DIFF_LAGGED
2010-01-04,32.58599853515625,4.780178615459138,0.3523000980327059,0.5959826609545992,9.772672485412913,0.12,0.0,-0.5966321933828904,0.0,-0.1382052435067663,0.0,0.4831708994342385,-0.05
2010-01-05,33.183998107910156,4.867830209036823,0.3623300588484275,0.5959826609545992,9.778982306620742,0.12,0.0,1.8185071701378792,1.8170382462714727,2.8072197583411342,0.0,0.0645451394677819,-0.12
2010-01-06,32.96200180053711,4.834343298288252,0.3569015634987889,0.5959826609545992,9.755246175346635,0.12,0.0,-0.6712337592360159,-0.6902998322590546,-1.5095549933357155,0.0,-0.24302104357996554,-0.12
2010-01-07,32.948001861572266,4.832644202534305,0.35280010790132094,0.5959826609545992,9.785857074047632,0.1,0.0,-0.042481985730613694,-0.03515253891244492,-1.1558381286719424,0.0,0.3132978046212706,-0.12
2010-01-08,32.83300018310547,4.8159882115085235,0.3543384295864384,0.5959826609545992,9.764461159468032,0.11,0.0,-0.34965048283046113,-0.34525115800371187,0.43508422472981184,0.0,-0.21888056108474957,-0.1
2010-01-11,32.8849983215332,4.824322954561719,0.35708853426106874,0.5959826609545992,9.847576750126494,0.11,0.0,0.15824629618067826,0.17291444199911038,0.7731273940340379,0.0,0.8476027697624906,-0.11
2010-01-12,32.96799850463867,4.836428608103588,0.36196747740290325,0.5959826609545992,9.835614879356035,0.11,0.0,0.2520772965737635,0.2506152818327692,1.3570620198369807,0.0,-0.12154403074695545,-0.11
2010-01-13,32.777000427246094,4.808267788743962,0.3584810835103843,0.5959826609545992,9.825534265514056,0.11,0.0,-0.581028573510794,-0.5839665289290772,-0.9678473375236104,0.0,-0.10254349479808121,-0.11
2010-01-14,32.62799835205078,4.786269439927925,0.3575005090888663,0.5959826609545992,9.794668433048372,0.11,0.0,-0.4556298012320539,-0.4585606755131127,-0.2739106828258692,0.0,-0.3146334255839273,-0.11
2010-01-15,32.66899871826172,4.792283869550726,0.35998896659241564,0.5959826609545992,9.799621828663453,0.12,0.0,0.1255811857783811,0.1255811857783811,0.6936596468235013,0.0,0.05055958296461117,-0.11
2010-01-18,32.62799835205078,4.7864097215236905,0.35971553600564427,0.5959826609545992,9.782334151698374,0.12,0.0,-0.12558118577837568,-0.12265031149732808,-0.07598412930305612,0.0,-0.17656746316623884,-0.12
2010-01-19,32.6619987487793,4.791397457139007,0.35813988799222995,0.5959826609545992,9.798991649341287,0.13,0.0,0.10415194152801074,0.10415194152801074,-0.438988267305127,0.0,0.17013660699277375,-0.12
