Pair,Parameter,Estimate,Std. Error,t-value,P-value
USDPHP_RET,coefs_L0_mean,-0.021043564929286666,0.016282800879190297,-1.2923799219445538,0.19622560642768405
USDPHP_RET,coefs_L1_mean,0.03413360537480824,0.014420975197132346,2.366941549250831,0.017935765193290768
USDPHP_RET,intercepts_L0_mean,0.0044249820931159915,0.01417905976155694,0.3120786686514469,0.754980737477133
USDPHP_RET,intercepts_L1_mean,-0.18637072940201083,0.001,-186.37072940201082,0.0
CNYPHP_RET,coefs_L0_mean,-0.022772491440947423,0.01646536484384912,-1.383054165936349,0.16664825798529082
CNYPHP_RET,coefs_L1_mean,0.03428173916602555,0.014659738239075081,2.3384959954229356,0.019361533168156447
CNYPHP_RET,intercepts_L0_mean,0.0007029289348458824,0.014297203318164356,0.049165484969555064,0.9607874169905832
CNYPHP_RET,intercepts_L1_mean,-0.18705435726389955,0.001,-187.05435726389953,0.0
JPYPHP_RET,coefs_L0_mean,-0.011452532478901331,0.01450563738808199,-0.7895228711777169,0.4298064676775787
JPYPHP_RET,coefs_L1_mean,0.025590017973107365,0.013398075312800678,1.9099771702774624,0.05613615283206122
JPYPHP_RET,intercepts_L0_mean,0.0029332217183443347,0.01433875907786813,0.20456593924308009,0.8379112691366032
JPYPHP_RET,intercepts_L1_mean,-0.1892640393510194,0.001,-189.2640393510194,0.0
HKDPHP_RET,coefs_L0_mean,-0.0210992773441063,0.016280417781438704,-1.295991148836584,0.19497853432246925
HKDPHP_RET,coefs_L1_mean,0.03287389502338103,0.01455692655462458,2.258299160885534,0.023927014576569778
HKDPHP_RET,intercepts_L0_mean,0.002659839581674342,0.014241124453926723,0.18677173914739165,0.8518396058718984
HKDPHP_RET,intercepts_L1_mean,-0.18703480635109815,0.001,-187.03480635109815,0.0
SGDPHP_RET,coefs_L0_mean,-0.019305240007833017,0.015326190750471947,-1.259624150719809,0.20780497909264828
SGDPHP_RET,coefs_L1_mean,0.029619777474105644,0.013703085364809256,2.161540754184592,0.030653592369932512
SGDPHP_RET,intercepts_L0_mean,0.006568204855750642,0.014016160176863796,0.4686165663683446,0.6393437337113843
SGDPHP_RET,intercepts_L1_mean,-0.1883891739136624,0.001,-188.38917391366238,0.0
