Pair,Parameter,Estimate,Std. Error,t-value,P-value
USDPHP_RET,ma1,-0.27073535594657905,0.016433891757997088,-16.474208296694748,5.62197220815918e-61
CNYPHP_RET,ma1,-0.25767360394190797,0.016614725751732524,-15.508748551870541,3.027215671253694e-54
JPYPHP_RET,ma1,-0.14193913114202908,0.017108864601533012,-8.296233236266938,1.0746444919733648e-16
HKDPHP_RET,ma1,-0.2774608509734874,0.016450043340552313,-16.866876592932528,7.885733080677915e-64
SGDPHP_RET,ma1,-0.31724392820083097,0.015995437040077654,-19.83340170111981,1.5331225372214794e-87
