Date,USDMYR,CNYMYR,EURMYR,JPYMYR,SGDMYR,REF_RATE,TARGET_RATE,USDMYR_RET,CNYMYR_RET,EURMYR_RET,JPYMYR_RET,SGDMYR_RET,IR_DIFF_LAGGED
2010-01-04,3.334399938583374,0.48913729817449897,4.809531245336132,0.036049514455596794,2.386828951730476,0.12,0.0,-1.0798030928171314,0.0,-0.8435267883954519,-0.6213761429410212,-0.6369714869621026,-0.05
2010-01-05,3.393399953842163,0.4977849490269675,4.874944517582662,0.037051918848765714,2.429409975482214,0.12,0.0,1.7539620306701178,1.7524931068037122,1.3509098199732563,2.742674618873365,1.7682732898280342,-0.12
2010-01-06,3.3789000511169434,0.4955634344221429,4.866978926747436,0.03658560297542743,2.4251058021972907,0.12,0.0,-0.4282127156560441,-0.44727878867909177,-0.16353223582447854,-1.2665339497557375,-0.17732662164066892,-0.12
2010-01-07,3.3668999671936035,0.49383964694831006,4.820738236232728,0.03605203971729331,2.409403116690742,0.1,0.0,-0.3557797903518929,-0.34845034353371085,-0.9546323639428718,-1.4691359332932172,-0.6496105805275751,-0.12
2010-01-08,3.362499952316284,0.49321597299188785,4.845729149705932,0.03628857996356071,2.4112584517205375,0.11,0.0,-0.13076992174571975,-0.12637059691897615,0.517065193610232,0.6539647858145642,0.07697429471344726,-0.1
2010-01-11,3.339400053024292,0.4898995028903683,4.845890570719348,0.03626156396866689,2.4059077993450018,0.11,0.0,-0.6893564735818224,-0.6746883277633788,0.0033311462498105435,-0.07447537572848123,-0.22214946701600685,-0.11
2010-01-12,3.351900100708008,0.49172610634183783,4.852411596987622,0.03680171314582849,2.409358992122778,0.11,0.0,0.37362132732074504,0.3721593125797551,0.13447770832959696,1.4786060505839504,0.14334380702787186,-0.11
2010-01-13,3.335900068283081,0.4893645127899212,4.845029740146316,0.03648464030791604,2.404252218839208,0.11,0.0,-0.47848507871271695,-0.4814230341310012,-0.15224342196014357,-0.8653038427255214,-0.21218062596569778,-0.11
2010-01-14,3.331199884414673,0.4886606905220482,4.830205839787709,0.03649950087974568,2.40190353235644,0.11,0.0,-0.1409963756481307,-0.14392724992919212,-0.30642999513045693,0.04072274275804901,-0.0977366024456386,-0.11
2010-01-15,3.333699941635132,0.48902742915379765,4.797518933322181,0.03673498558275627,2.3976552192086764,0.12,0.0,0.07502160281374132,0.07502160281376351,-0.6790188300159675,0.6431000638588541,-0.17702936778823147,-0.11
2010-01-18,3.335400104522705,0.48929116990883936,4.80522125124719,0.036771953444586815,2.404238499006145,0.12,0.0,0.05098627738788246,0.05391715166892338,0.16041920178510766,0.10058333386318932,0.27419531994594615,-0.12
2010-01-19,3.333199977874756,0.4889684192619041,4.760150006979018,0.036548647127003626,2.3976405787661523,0.13,0.0,-0.0659846654647745,-0.0659846654647745,-0.9423905589377067,-0.6091248742978841,-0.27480593681467813,-0.12
2010-01-20,3.3580000400543213,0.4925703896659097,4.738252988828123,0.03682340545890901,2.399085468807954,0.13,0.0,0.7412773695301991,0.7339468476259396,-0.4610681806577468,0.7489489704678243,0.06024484497018527,-0.13
2010-01-21,3.368299961090088,0.4940522472307362,4.7482977964965585,0.037262841649694026,2.3992448861389546,0.12,0.0,0.30625839122905746,0.30039016412055175,0.21176951770318073,1.1862966782916644,0.006644700104682317,-0.13
2010-01-22,3.3982999324798584,0.4985037371596887,4.805560009008616,0.03783877101502806,2.4195798604627474,0.11,0.0,0.8867132215964928,0.8969810963282173,1.198738758290875,1.5337637505767645,0.8439856645547565,-0.12
2010-01-25,3.349100112915039,0.4912937292228811,4.739002083622836,0.037041420992120835,2.393582191535731,0.12,0.0,-1.4583599970717942,-1.4568910732053995,-1.3947000110366194,-2.12974924347623,-1.0802844980555941,-0.11
2010-01-26,3.418800115585327,0.5015403856584817,4.814465264489911,0.038143481204390574,2.437820931736532,0.12,0.0,2.0597959377551542,2.0641958435880863,1.579840024120092,2.9318097614616625,1.8313510788239409,-0.12
2010-01-27,3.4349000453948975,0.5038726844071729,4.819491512512997,0.03818677222825657,2.4451166749842184,0.12,0.0,0.4698180266350874,0.4639491969357519,0.10434442660406597,0.11343085227907183,0.2988262093178147,-0.12
