Date,USDPHP,CNYPHP,JPYPHP,HKDPHP,SGDPHP,REF_RATE,TARGET_RATE,USDPHP_RET,CNYPHP_RET,JPYPHP_RET,HKDPHP_RET,SGDPHP_RET,IR_DIFF_LAGGED
2010-01-04,45.85499954223633,6.7266647663781844,0.49575650770961033,5.912425555869388,32.823909100567164,0.12,0.0,0.0,0.0,0.0,0.0,0.0,-0.05
2010-01-05,45.84999847412109,6.72583234035975,0.5006278204122896,5.911857060505123,32.82502657629701,0.12,0.0,-0.010906860538410725,-0.012375784404820489,0.9778057276648568,-0.009615726943394621,0.0034043986195258155,-0.12
2010-01-06,45.75,6.709883921342532,0.4953657435272491,5.90018040974172,32.83571244253005,0.12,0.0,-0.21833737011411114,-0.23740344313716885,-1.05665860421382,-0.19770771293812717,0.03254872390124175,-0.12
2010-01-07,45.72499847412109,6.706708640944167,0.4896134358384989,5.8960438169772145,32.72148115705861,0.1,0.0,-0.054663081538145454,-0.04733363471995813,-1.168019224479454,-0.07013418623723822,-0.34849387171384694,-0.12
2010-01-08,45.665000915527344,6.698203175501111,0.4928232150955626,5.887775947091296,32.74650437676324,0.11,0.0,-0.1313000713731143,-0.126900746546363,0.6534346361871547,-0.14032582656841266,0.07644414508605255,-0.1
2010-01-11,45.34999847412109,6.652973994065295,0.49244230835985,5.8479908435064285,32.67290929409893,0.11,0.0,-0.6922017277996341,-0.6775335819811901,-0.07732062994628214,-0.678017154007067,-0.2249947212338161,-0.11
2010-01-12,45.34999847412109,6.652876727315816,0.49791389506382877,5.848292554092615,32.59775749083287,0.11,0.0,0.0,-0.0014620147410040554,1.1049847232632466,0.005159084745088891,-0.23027752029285112,-0.11
2010-01-13,45.6349983215332,6.694489721713956,0.4991086258979035,5.884211110087748,32.89008775006242,0.11,0.0,0.6264786274166425,0.6235406719984029,0.23965986340381823,0.612293321862934,0.8927830801636788,-0.11
2010-01-14,45.54999923706055,6.681824823721687,0.49908510293960784,5.872342492112395,32.84303189916591,0.11,0.0,-0.18643222321148478,-0.18936309749255362,-0.004713104805303112,-0.2019064839736969,-0.14317245000899434,-0.11
2010-01-15,45.744998931884766,6.710429737515725,0.504077123216361,5.89474607836577,32.900602142354785,0.12,0.0,0.42718658256922876,0.42718658256922876,0.9952650436143317,0.38078430683283765,0.17513561196723634,-0.11
2010-01-18,45.79499816894531,6.717961122467153,0.5048784217461586,5.899440714839264,33.010161962398165,0.12,0.0,0.10924020890597272,0.11217108318701632,0.1588372653813206,0.07960933303412608,0.33244925146404775,-0.12
2010-01-19,45.875,6.729697102644918,0.5030208802594357,5.9093659916607715,32.99884863824697,0.13,0.0,0.1745431503509328,0.17454315035091064,-0.3685970584822127,0.1680996125245863,-0.034278120999013034,-0.12
2010-01-20,46.025001525878906,6.751206868838968,0.5047043693325652,5.925330154869099,32.882046171986886,0.13,0.0,0.3264453897669093,0.31911486786266174,0.33411699070455936,0.26978593609036833,-0.354587134793071,-0.13
2010-01-21,46.07500076293945,6.7581444440955165,0.5097186940807096,5.929247965320757,32.81928902898393,0.12,0.0,0.10857598421258402,0.10270775710406924,0.9886142712751841,0.06609784936377526,-0.19103770691179375,-0.13
2010-01-22,46.25,6.784509402267792,0.5149760745714932,5.951002310253258,32.92986810164831,0.11,0.0,0.37909438439048865,0.38936225912221495,1.0261449133707528,0.3662274572075602,0.33636682734876855,-0.12
2010-01-25,45.38899993896485,6.658305304078218,0.5020074045165442,5.843224695595658,32.439251823667036,0.12,0.0,-1.8791680361888545,-1.8776991123224531,-2.5505572825932794,-1.8276842523664985,-1.5010925371726755,-0.11
2010-01-26,46.4900016784668,6.820116000578086,0.5186879739270988,5.979498375574289,33.15031454795335,0.12,0.0,2.3967488209771437,2.4011487268100615,3.268762644683624,2.305386240929101,2.16830396204595,-0.12
2010-01-27,46.42499923706055,6.8101804070078344,0.5161200757324516,5.970600274796455,33.0474069901548,0.12,0.0,-0.1399181001354002,-0.14578692983472913,-0.49630527449141765,-0.14892098689135908,-0.3109099174526828,-0.12
2010-01-28,46.01800155639648,6.750576224593113,0.5125754819551196,5.924581359352684,32.77868841253291,0.12,0.0,-0.8805432686151196,-0.8790743447487201,-0.68914612865249,-0.7737443016404377,-0.8164545343410844,-0.12
2010-01-29,46.56499862670898,6.8308175495721715,0.5158413687643093,5.997938731939335,33.12584454402721,0.12,0.0,1.1816498362893753,1.1816498362893753,0.6351311310176604,1.230583765072598,1.0535218955162284,-0.12
2010-02-01,46.55500030517578,6.829250536065838,0.512946223109348,5.993485754738629,33.041163245738055,0.14,0.0,-0.021474058604604336,-0.022942982470995774,-0.5628281912459168,-0.07426936491723912,-0.25596244216429415,-0.12
2010-02-02,46.25,6.786500309856689,0.5114566205380281,5.9552934007953136,32.869022273694235,0.14,0.0,-0.6572951937225543,-0.6279545971801876,-0.2908237966069492,-0.639270062859556,-0.5223513242872737,-0.14
2010-02-03,46.09999847412109,6.762604700940642,0.5074856927849978,5.935749500645616,32.65566206543751,0.13,0.0,-0.3248547055157529,-0.3527263781917112,-0.7794254501051947,-0.32871662998932794,-0.6512384286290651,-0.14
2010-02-04,46.34999847412109,6.799278263439439,0.5183983511429329,5.965557941705281,32.636247564842606,0.14,0.0,0.5408342187790595,0.5408342187790595,2.1275445405469564,0.5009282137401175,-0.05946985247338459,-0.13
2010-02-05,46.5,6.819681706216143,0.5211835839922615,5.985249110905651,32.707322202325585,0.13,0.0,0.323105350224351,0.2996331303908744,0.5358383826016416,0.3295373598343022,0.21754142225733847,-0.14
2010-02-08,46.29999923706055,6.791843895109814,0.5189419256174234,5.9582023163309,32.53689385153995,0.13,0.0,-0.4310367979296288,-0.4090335019625498,-0.43103679792964,-0.45291498817076703,-0.5224332476584986,-0.13
2010-02-09,46.25,6.784907585254772,0.5152170167934563,5.953147082258675,32.65505048290318,0.13,0.0,-0.10804806555801012,-0.10217923585868653,-0.720377647900111,-0.08488096867243218,0.3624888379973405,-0.13
2010-02-10,46.25,6.782519662453264,0.5142888896147169,5.952917263508428,32.63016785599814,0.12,0.0,0.0,-0.035200820060681016,-0.18030541144207823,-0.0038605326428846343,-0.07622744854964107,-0.13
2010-02-11,46.04999923706055,6.748439088208095,0.5127491425107394,5.927685971972253,32.64336884261019,0.12,0.0,-0.4333717824750498,-0.5037432593126862,-0.29984250035781407,-0.42474828877693654,0.040448204462957445,-0.12
2010-02-12,46.34999847412109,6.792701313361914,0.5152862706687047,5.965634827727956,32.84904183950323,0.12,0.0,0.6493512957383406,0.6537467522346403,0.4935886986843648,0.6381562421726747,0.6280839898316543,-0.12
2010-02-15,46.244998931884766,6.777412842904471,0.5135479996075585,5.950435489638393,32.75141704561208,0.12,0.0,-0.22679321817245557,-0.22532569365148594,-0.33791112240087967,-0.2551066908433011,-0.29763470444832857,-0.12
2010-02-16,45.95000076293945,6.73417953281643,0.5091751150741322,5.914463563195964,32.725591258064306,0.13,0.0,-0.6399461503959022,-0.6399461503959022,-0.855150552298436,-0.606360601942176,-0.07888506074451737,-0.12
2010-02-17,45.92499923706055,6.730515446612569,0.504393165269355,5.91244808282855,32.66823141933933,0.12,0.0,-0.05442509169206981,-0.05442509169206981,-0.9435941077338491,-0.03408295330594273,-0.17542896587802337,-0.13
2010-02-18,46.04999923706055,6.748834759509751,0.5006686514136283,5.92927346853773,32.56027743743935,0.12,0.0,0.27181316452206766,0.27181316452206766,-0.7411545923174683,0.28417146879796035,-0.3310027543371152,-0.12
