Date,USDEUR,CNYEUR,GBPEUR,CHFEUR,TRYEUR,REF_RATE,TARGET_RATE,USDEUR_RET,CNYEUR_RET,GBPEUR_RET,CHFEUR_RET,TRYEUR_RET,IR_DIFF_LAGGED
2013-09-17,0.7497400276296893,0.12270101627844128,1.1923157395830737,0.8089468245492634,0.37482314197675975,0.08,0.0,0.16018532300555924,0.13563147358240857,-0.04836064109708104,-0.02448867189227509,0.24713557192766114,-0.08
2013-09-18,0.7486199769772313,0.12249366000895036,1.190685961242537,0.8084449003760522,0.3740967313463939,0.08,0.0,-0.14950357158973512,-0.1691360693980972,-0.13678367028262264,-0.06206587823946558,-0.19398893901511674,-0.08
2013-09-19,0.7394800108040178,0.12100406274582177,1.193017533256558,0.8104778659905033,0.38154106389314146,0.09,0.0,-1.2284229802837494,-1.2235152171651034,0.19562607203206123,0.2511505459421401,1.970407898524223,-0.08
2013-09-20,0.7388700353280762,0.12090425002649755,1.184998132259953,0.8116240307518728,0.3769437336314001,0.08,0.0,-0.08252112037366528,-0.0825211203736764,-0.6744641352207178,0.14131848984593134,-1.2122554274443298,-0.09
2013-09-23,0.7388499912935111,0.12090097014119876,1.183409651263947,0.811459361001807,0.37300396002757774,0.09,0.0,-0.0027128324994100854,-0.0027128324994100854,-0.13413916684788604,-0.020290978450946913,-1.0506892364023788,-0.08
2013-09-24,0.7407999936416626,0.12122402000372044,1.188360180382498,0.8137350746873174,0.37333817515945006,0.09,0.0,0.2635763183095995,0.266845693228428,0.41745503647502197,0.28005451199121567,0.08956084306521615,-0.09
2013-09-25,0.7422900519105239,0.12146984257516719,1.1873601449218933,0.8126670204544996,0.3720584279481987,0.08,0.0,0.2009397574604005,0.20257838653342336,-0.08418798366276598,-0.13133952416092956,-0.3433738397322832,-0.09
2013-09-26,0.7398100057254393,0.1210818313517628,1.189156624805933,0.8130673677259969,0.3673902177750575,0.08,0.0,-0.33466681106382046,-0.3199413536125782,0.151185991961937,0.04925125315680156,-1.262635943435709,-0.08
2013-09-27,0.7414999966852367,0.12133062493477664,1.1891779608018191,0.8147456437319764,0.3671700868444389,0.08,0.0,0.22817528947717622,0.2052647575787411,0.0017941963267692732,0.20620017026705886,-0.059935429623393016,-0.08
2013-09-30,0.740989957257483,0.12127693702598469,1.1981016909387772,0.8185925248677239,0.36356541609779147,0.06,0.0,-0.06880848622561665,-0.04425905708333463,0.7476100836561345,0.47104614619635515,-0.9865950049131362,-0.08
2013-10-01,0.7393599552961148,0.12097848010143275,1.1968013629749237,0.8167015773834754,0.3661629640384726,0.08,0.0,-0.22021855863759177,-0.24639868044314678,-0.10859129262106937,-0.23126706375908548,0.7119248702644646,-0.06
2013-10-02,0.7394599988452284,0.12099484982287767,1.1973509892910363,0.8157668394819229,0.36814696809178565,0.07,0.0,0.0135301865499035,0.0135301865499035,0.04591406434498639,-0.11451835686992558,0.5403737017038648,-0.08
2013-10-03,0.7357800075484785,0.1203927077259487,1.1945837429840418,0.8156392343590887,0.36924143600099496,0.08,0.0,-0.49890172633642776,-0.49890172633643887,-0.23138152594621583,-0.01564357582585041,0.2968499929855116,-0.07
2013-10-04,0.7339899973549225,0.12009981559535483,1.1859015185964341,0.8166332718494963,0.3665917682195162,0.08,0.0,-0.24357703213312507,-0.24357703213312507,-0.7294531939576923,0.12179799751725418,-0.7201847426049106,-0.08
2013-10-07,0.7369200030641281,0.12057924058293919,1.1817190496705006,0.8140063910641058,0.37103685770330685,0.08,0.0,0.3983941347518329,0.3983941347518329,-0.3533060434289773,-0.32219050198931554,1.2052523821566812,-0.08
2013-10-08,0.7369200030641281,0.12057924058293919,1.1817190496705006,0.8140063910641058,0.37103685770330685,0.08,0.0,0.0,0.0,0.0,0.0,0.0,-0.08
2013-10-09,0.7354000187957006,0.12033839981484268,1.1855362700914118,0.8153354986069955,0.3700982380460008,0.09,0.0,-0.2064747861684476,-0.19993625035338927,0.3225020721291406,0.16314658649855956,-0.25329259524089676,-0.08
2013-10-10,0.7396299719934387,0.12103057521067835,1.1800848167476485,0.8122892464859982,0.37315471888018303,0.09,0.0,0.5735428865251366,0.5735428865251366,-0.4608906324074974,-0.3743191650356027,0.8224650935559661,-0.09
2013-10-11,0.7392800050973839,0.12107831679954704,1.1813737150014227,0.8116731372902087,0.3743208832734732,0.1,0.0,-0.04732768160448883,0.03943811323168351,0.10916121239774662,-0.07587727788577303,0.3120276664791019,-0.09
2013-10-14,0.7376399956912566,0.1207148228219722,1.178093996557402,0.8107181144341085,0.37124421770850996,0.1,0.0,-0.22208516091870087,-0.30066547957076295,-0.2780051229588174,-0.1177302904455024,-0.8253291430300255,-0.1
2013-10-15,0.7375399900490313,0.12094983526728506,1.1779907219833148,0.8094427882344754,0.37226933049441435,0.1,0.0,-0.013558432644865576,0.1944947360157257,-0.008766626542805446,-0.1574320749178694,0.2757484212460866,-0.1
2013-10-16,0.7395499633910511,0.12138296040103795,1.1821451477604183,0.8097203513057275,0.3726781553516124,0.11,0.0,0.2721533076508059,0.35746345744480534,0.3520500765371071,0.034284757007231326,0.10975938734173016,-0.1
2013-10-17,0.7395099981769244,0.12143420352554235,1.1790656966634896,0.8089148892736394,0.3746839604130951,0.1,0.0,-0.005404137110706504,0.04220716891382045,-0.26083675247741006,-0.09952360833113409,0.536770552093025,-0.11
2013-10-18,0.7316900168883588,0.12018166384049596,1.181631759813731,0.8101982125589409,0.37215866986514257,0.1,0.0,-1.0630852170054805,-1.0368117947935873,0.2173988160871458,0.15852179228112295,-0.6762603176670202,-0.1
2013-10-21,0.7308900014472106,0.12007787172722018,1.182000463351372,0.8101646305585662,0.37118161539307737,0.09,0.0,-0.10939784639558457,-0.0864000003056932,0.031198046550412147,-0.004144997587683555,-0.2628823041399169,-0.1
2013-10-22,0.7312100143058523,0.12021339563235695,1.1798277544693148,0.8103845884420744,0.3694864701399808,0.08,0.0,0.04377441492426411,0.1127997042886762,-0.18398539559819385,0.02714609124856257,-0.45773491418003254,-0.09
2013-10-23,0.7257700105673729,0.11931708572355965,1.1781215754885397,0.8109162302060028,0.36900682826906384,0.08,0.0,-0.7467540975660142,-0.7483925112006611,-0.14471721311988178,0.06558212724849498,-0.12989743830941178,-0.08
2013-10-24,0.7256399904881271,0.11947640928652466,1.1729032033714728,0.8131877836634255,0.36763974569768226,0.08,0.0,-0.017916381931919356,0.1334404746659601,-0.4439239206486337,0.2797302290059406,-0.37116418894422215,-0.08
2013-10-25,0.7244300470905852,0.11930666072212676,1.1736411897581582,0.8119592610018684,0.3659532300879781,0.08,0.0,-0.16688072258380146,-0.14217808070459773,0.06289984652986036,-0.1511891369589526,-0.4597968182995662,-0.08
2013-10-28,0.724359985655465,0.11925584454365135,1.1715727100489546,0.8116078422416046,0.3655540632883172,0.08,0.0,-0.00967171689358895,-0.04260198323064858,-0.17640013524974826,-0.043289712516312064,-0.10913543662364271,-0.08
2013-10-29,0.725199988277302,0.11936465919040111,1.170602602871214,0.8097184047212642,0.36583580143337163,0.08,0.0,0.11589761458218667,0.09120310500534967,-0.08283814007128164,-0.23307318674623373,0.07704185485178736,-0.08
2013-10-30,0.7276399432190529,0.11967368176133794,1.1677364343976653,0.8089652419177039,0.3656298345132898,0.08,0.0,0.33588796437009966,0.25855495972694836,-0.24514579479324783,-0.09305868499714459,-0.056316227421633905,-0.08
2013-10-31,0.7286499454724785,0.11976888864737519,1.1677456789490759,0.8093862051568987,0.3656247687262976,0.07,0.0,0.1387089786459471,0.07952377966219529,0.0007916610756985049,0.05202371208678049,-0.0013855056692455895,-0.08
2013-11-01,0.7363899964614057,0.12102720294415938,1.181513298170948,0.8114848228302518,0.36893470532022005,0.08,0.0,1.056643273899885,1.0451380189717272,1.1720952838947574,0.25894951662459054,0.9012092588798106,-0.07
2013-11-04,0.7410699504133984,0.12169635543943677,1.1800665041755047,0.8122204565174108,0.36772372331604214,0.08,0.0,0.6335155973691239,0.5513714408089746,-0.1225276550055186,0.09061173192553412,-0.3287773676214037,-0.08
2013-11-05,0.7398100057254393,0.12149942164229137,1.1816541122094375,0.8132461524481334,0.3672078752788072,0.08,0.0,-0.1701616645900577,-0.16195498339159925,0.13444505349684432,0.1262032774100653,-0.14037990009798967,-0.08
2013-11-06,0.7422199740560363,0.12193927220458567,1.1911157541228579,0.8125013302081306,0.36582384922261363,0.08,0.0,0.3252256010600125,0.3613649366838093,0.7975229454572642,-0.09162828791798665,-0.37761740851260717,-0.08
2013-11-07,0.7397500499788929,0.12161541375667728,1.1899209394321075,0.8112628938806996,0.36364576672149795,0.08,0.0,-0.33333013812804135,-0.26594326239829524,-0.10036088853836807,-0.15253896460986402,-0.5971705815487812,-0.08
2013-11-08,0.745760041805053,0.12263974382513193,1.199839159361406,0.8135889264578732,0.36652270235894613,0.08,0.0,0.8091529839222471,0.8387426358826826,0.8300646480756119,0.2863072357697492,0.7880237635440891,-0.08
2013-11-11,0.7491800520351249,0.12320824894636176,1.1990526613612227,0.8117937174237511,0.36746308183033266,0.08,0.0,0.45754558468218115,0.4624858866234603,-0.06557177956669183,-0.22089687875811811,0.2562392913258616,-0.08
2013-11-12,0.7457500307595146,0.12262802000587893,1.1922272306693342,0.8111268758257079,0.3652164315879991,0.08,0.0,-0.4588879886957562,-0.47204590305514393,-0.5708615917683594,-0.082177974491748,-0.6132714898112953,-0.08
2013-11-13,0.7440500049094162,0.12233640775676506,1.182364277260764,0.8111923909717342,0.36241908693346936,0.08,0.0,-0.22822211669794057,-0.23808549635298493,-0.830712153593117,0.008076726622536638,-0.7688900183419407,-0.08
2013-11-14,0.7413099680317782,0.12186785287727153,1.189731727631634,0.8115051550430153,0.3631042359042392,0.09,0.0,-0.36893952113762457,-0.3837406057203964,0.6211784047404814,0.03854865941250311,0.18887033755496097,-0.08
2013-11-15,0.7435500291885166,0.12225017642180967,1.1939976248542568,0.8101085439451158,0.36548861296094126,0.09,0.0,0.30172041273950023,0.31322869369725975,0.3579182990899829,-0.17224958620936257,0.6545179718720068,-0.09
2013-11-18,0.7416200270280927,0.12193285667822254,1.1950433349476635,0.8101418260940719,0.3653012793077947,0.09,0.0,-0.25990333413625183,-0.25990333413625183,0.08754225463563203,0.004108272348054919,-0.051268814533915616,-0.09
