Date,USDSGD=X
2010-01-01,1.4032000303268433
2010-01-04,1.3969999551773071
2010-01-05,1.3968000411987305
2010-01-06,1.3933000564575195
2010-01-07,1.3974000215530396
2010-01-08,1.3945000171661377
2010-01-11,1.3880000114440918
2010-01-12,1.3911999464035034
2010-01-13,1.3875000476837158
2010-01-14,1.3868999481201172
2010-01-15,1.3904000520706177
2010-01-18,1.3873000144958496
2010-01-19,1.3902000188827515
2010-01-20,1.3997000455856323
2010-01-21,1.4039000272750854
2010-01-22,1.4045000076293945
2010-01-25,1.3991999626159668
2010-01-26,1.402400016784668
2010-01-27,1.4048000574111938
2010-01-28,1.4039000272750854
2010-01-29,1.4056999683380127
2010-02-01,1.409000039100647
2010-02-02,1.407099962234497
2010-02-03,1.4117000102996826
2010-02-04,1.420199990272522
2010-02-05,1.4217000007629395
2010-02-08,1.4229999780654907
2010-02-09,1.4163199663162231
2010-02-10,1.4174000024795532
2010-02-11,1.4106999635696411
2010-02-12,1.4110000133514404
2010-02-15,1.4119999408721924
2010-02-16,1.404099941253662
2010-02-17,1.4057999849319458
2010-02-18,1.4142999649047852
2010-02-19,1.4114999771118164
2010-02-22,1.4094899892807007
2010-02-23,1.41034996509552
2010-02-24,1.4090700149536133
2010-02-25,1.409000039100647
2010-02-26,1.405900001525879
2010-03-01,1.4043999910354614
2010-03-02,1.4010000228881836
2010-03-03,1.3991600275039673
2010-03-04,1.401419997215271
2010-03-05,1.4010000228881836
2010-03-08,1.3997399806976318
2010-03-09,1.3984500169754028
2010-03-10,1.3978500366210938
2010-03-11,1.397629976272583
2010-03-12,1.3937000036239624
2010-03-15,1.3971999883651733
2010-03-16,1.3940999507904053
2010-03-17,1.3926000595092773
2010-03-18,1.3950999975204468
2010-03-19,1.3976999521255493
2010-03-22,1.4001799821853638
2010-03-23,1.4014999866485596
2010-03-24,1.405940055847168
2010-03-25,1.407099962234497
2010-03-26,1.4032000303268433
2010-03-29,1.3990000486373901
2010-03-30,1.3994499444961548
2010-03-31,1.3992199897766113
2010-04-01,1.3973000049591064
2010-04-02,1.3997999429702759
2010-04-05,1.3973900079727173
2010-04-06,1.3961000442504883
2010-04-07,1.3950999975204468
2010-04-08,1.3937000036239624
2010-04-09,1.3895000219345093
2010-04-12,1.3907400369644165
2010-04-13,1.3910000324249268
2010-04-14,1.3730000257492065
2010-04-15,1.3738399744033813
2010-04-16,1.3752000331878662
