Date,EURMYR
2010-01-01,4.8502725199954
2010-01-04,4.809531245336132
2010-01-05,4.874944517582662
2010-01-06,4.866978926747436
2010-01-07,4.820738236232728
2010-01-08,4.845729149705932
2010-01-11,4.845890570719348
2010-01-12,4.852411596987622
2010-01-13,4.845029740146316
2010-01-14,4.830205839787709
2010-01-15,4.797518933322181
2010-01-18,4.80522125124719
2010-01-19,4.760150006979018
2010-01-20,4.738252988828123
2010-01-21,4.7482977964965585
2010-01-22,4.805560009008616
2010-01-25,4.739002083622836
2010-01-26,4.814465264489911
2010-01-27,4.819491512512997
2010-01-28,4.769527521500834
2010-01-29,4.730149184494508
2010-02-01,4.744370046636277
2010-02-02,4.77246677049834
2010-02-03,4.725106837447356
2010-02-04,4.70544536484681
2010-02-05,4.683511375717984
2010-02-08,4.711681375228238
2010-02-09,4.731111820538985
2010-02-10,4.707605480658344
2010-02-11,4.674100506551156
2010-02-12,4.6567402290204996
2010-02-15,4.6563194932946885
2010-02-16,4.704351798036328
2010-02-17,4.621455166604733
2010-02-18,4.606385974655524
2010-02-19,4.613604180221046
2010-02-22,4.619926753026476
2010-02-23,4.604875224970328
2010-02-24,4.611988556414531
2010-02-25,4.586542469934329
2010-02-26,4.644093743387259
2010-03-01,4.575032320626917
2010-03-02,4.503800569083296
2010-03-03,4.620875723340703
2010-03-04,4.570473723067607
2010-03-05,4.569800863331665
2010-03-08,4.535798792957422
2010-03-09,4.536411900189137
2010-03-10,4.5321710233168915
2010-03-11,4.533672523661494
2010-03-12,4.545867650129367
2010-03-15,4.531478604035527
2010-03-16,4.552789730677546
2010-03-17,4.535849958539188
2010-03-18,4.4962836601644085
2010-03-19,4.473684305715551
2010-03-22,4.50276781099717
2010-03-23,4.482828107396358
2010-03-24,4.426432631556281
2010-03-25,4.4238037140460165
2010-03-26,4.424374090281503
2010-03-29,4.396586855063447
2010-03-30,4.38041123255806
2010-03-31,4.403485214520401
2010-04-01,4.418332899990219
2010-04-02,4.318743782486365
2010-04-05,4.418485547675857
2010-04-06,4.294789598899456
2010-04-07,4.28392176873956
2010-04-08,4.269012757679974
2010-04-09,4.2874887798190855
2010-04-12,4.359967767199237
2010-04-13,4.372167564597476
2010-04-14,4.370595915746378
2010-04-15,4.325233898514114
2010-04-16,4.300086526093139
2010-04-19,4.3253667085429015
2010-04-20,4.3068842697812215
2010-04-21,4.277278805759295
2010-04-22,4.25011304470479
2010-04-23,4.260399296387618
2010-04-26,4.2390778773300894
2010-04-27,4.213312899287303
2010-04-28,4.219385714731914
2010-04-29,4.223189040780824
2010-04-30,4.233699964176822
2010-05-03,4.224636528160488
2010-05-04,4.186317636508704
2010-05-05,4.158700038735219
2010-05-06,4.1376738385788485
2010-05-07,4.1545272150144115
2010-05-10,4.1126105684022605
2010-05-11,4.078078356001015
2010-05-12,4.051693434589652
2010-05-13,3.9343853703540503
2010-05-14,3.952735382005585
2010-05-17,3.8947342344964397
2010-05-18,3.9663133595610134
2010-05-19,3.8819896219058023
2010-05-20,4.047420065079734
2010-05-21,4.164352151082653
2010-05-24,4.030158747398673
2010-05-25,4.129731677329971
2010-05-26,4.049592860238391
2010-05-27,4.07087744772312
2010-05-28,4.06907838550336
2010-05-31,4.000073691045088
2010-06-01,4.057323766386617
2010-06-02,4.015494555671921
2010-06-03,3.977218554067804
2010-06-04,3.9270963910551018
2010-06-07,3.9809469660507375
2010-06-08,3.987046189504298
2010-06-09,3.9935723290884084
2010-06-10,3.9945269662800342
2010-06-11,3.9624948529772155
2010-06-14,3.9839456906649104
2010-06-15,4.025254113862502
2010-06-16,4.010612882439091
2010-06-17,4.037295078121815
2010-06-18,4.01469815890664
2010-06-21,3.9448241962675183
2010-06-22,3.9402940574648255
2010-06-23,3.958115381124685
2010-06-24,4.000542584000755
2010-06-25,4.00291993728149
2010-06-28,3.9676867202947506
2010-06-29,3.96214913568582
2010-06-30,3.975368979180729
2010-07-01,4.034545514688546
2010-07-02,4.052018813624159
2010-07-05,4.016097161578273
2010-07-06,4.0505467404847195
2010-07-07,4.052326245376605
2010-07-08,4.051817286422477
2010-07-09,4.0359593788865595
2010-07-12,4.024777109373844
2010-07-13,4.070931705258317
2010-07-14,3.986494915915898
2010-07-15,4.125898401362122
2010-07-16,4.138992197819505
2010-07-19,4.184232161371796
2010-07-20,4.142932462537743
2010-07-21,4.11843582078734
2010-07-22,4.133237119441276
2010-07-23,4.110096726971335
2010-07-26,4.147590795323197
2010-07-27,4.130064656737346
2010-07-28,4.147514083236615
2010-07-29,4.165490003646028
2010-07-30,4.152921436325073
2010-08-02,4.161747796812932
2010-08-03,4.177401039255074
2010-08-04,4.187980954463228
2010-08-05,4.142817871457055
2010-08-06,4.146444188172211
2010-08-09,4.174627052196797
2010-08-10,4.144418544897974
2010-08-11,4.1969041830243725
2010-08-12,4.0980258891390235
2010-08-13,4.0664334816505345
2010-08-16,4.066383147853401
2010-08-17,4.043073556627519
2010-08-18,4.053966877717812
2010-08-19,4.03088119730819
2010-08-20,4.013525287903889
2010-08-23,3.985485237250572
2010-08-24,3.9805418672698067
2010-08-25,3.968139376851468
2010-08-26,3.975609218412842
2010-08-27,3.99517155988201
2010-08-30,4.010228713582364
2010-08-31,3.9912856138950588
2010-09-01,3.9646531557586684
2010-09-02,3.9993856162292047
2010-09-03,3.9882258477480264
2010-09-06,4.0190832843837825
2010-09-07,4.032042291211155
2010-09-08,3.93371926464323
2010-09-09,3.9543171469145477
2010-09-10,3.9415864206008564
2010-09-13,3.9453170606296624
2010-09-14,3.993152169604457
2010-09-15,4.042638917233717
2010-09-16,4.0532836257623615
2010-09-17,4.054605455835258
2010-09-20,4.046097312408847
2010-09-21,4.01155095317975
2010-09-22,4.0916321978983206
2010-09-23,4.150006079577906
2010-09-24,4.111880594135613
2010-09-27,4.17379929080073
2010-09-28,4.155355658293956
2010-09-29,4.185813081315331
2010-09-30,4.196898107028716
