Date,USDEUR_RET,CNYEUR_RET,GBPEUR_RET,CHFEUR_RET,TRYEUR_RET
2010-01-04,-0.23627630442169187,0,-0.35559416474326827,0.21650693277755786,0
2010-01-05,0.4030522106968651,0.40157636046183415,-0.36263605454031295,-0.04967401225787718,0.3488788158821206
2010-01-06,-0.2646804798315741,-0.25292592362505417,-0.0581851290825802,0.3180915640182071,-0.3810915641018365
2010-01-07,0.5988525735909788,0.5867698632575671,0.03639539632648746,0.015815884808822123,0.5263538710144576
2010-01-08,-0.6478351153559637,-0.5984009851639668,-0.08377102025062357,0.3224507098172503,0.008185934577510642
2010-01-11,-0.6926876198316203,-0.7239469723383132,-0.13994003824771653,-0.010440254003523252,-0.39994824890967634
2010-01-12,0.23914361899112033,0.182118404683276,0.4795159780704553,0.03660280706500218,-0.04717185364961689
2010-01-13,-0.3262416567525702,-0.3152019568302299,0.5025367126367312,-0.20498995379724314,-0.37647187065769494
2010-01-14,0.1654336194823328,0.13831087770209805,0.45901949377530227,0.06339203515405076,-0.06161555207294217
2010-01-15,0.754040432829725,0.7646558441701552,0.3611576150091468,0.13449436510461735,0.60236607766184
2010-01-18,-0.1094329243972248,-0.047814429485115086,0.399490093592246,0.01736421844634831,0.05493577399577221
2010-01-19,0.8764058934729403,0.8727361182142963,0.8992931418040112,1.7902884908322533e-4,0.4300406980962812
2010-01-20,1.202345550187968,1.2619978501731755,0.8431486261202917,0.1407469738616554,-0.1871814761035855
2010-01-21,0.09448887352586978,0.18547945111082706,-0.4775664513517393,0.2872011011470565,-0.9956721255943244
2010-01-22,-0.31202553669437655,-0.28752204505782863,-0.9001505986748348,-0.32347150432146077,-0.40054807875126563
2010-01-25,-0.06365998603517653,-0.08425848613744252,0.8019560653447055,0.10597092294451713,0.0871686542209077
2010-01-26,0.4799559136350755,0.477888949297464,-0.15664356564678725,-0.08691859925131615,0.19835260261452736
2010-01-27,0.3654736000310128,0.3962829250518438,0.5578085067909936,-0.001881501938132152,-0.18705539086871223
