Date,USDTHB=X
2010-01-01,32.78099822998047
2010-01-04,32.58599853515625
2010-01-05,33.183998107910156
2010-01-06,32.96200180053711
2010-01-07,32.948001861572266
2010-01-08,32.83300018310547
2010-01-11,32.8849983215332
2010-01-12,32.96799850463867
2010-01-13,32.777000427246094
2010-01-14,32.62799835205078
2010-01-15,32.66899871826172
2010-01-18,32.62799835205078
2010-01-19,32.6619987487793
2010-01-20,32.75400161743164
2010-01-21,32.797000885009766
2010-01-22,32.87699890136719
2010-01-25,32.457000732421875
2010-01-26,32.87300109863281
2010-01-27,32.88999938964844
2010-01-28,32.93600082397461
2010-01-29,33.00899887084961
2010-02-01,32.94599914550781
2010-02-02,32.87900161743164
2010-02-03,32.89699935913086
2010-02-04,32.981998443603516
2010-02-05,32.84299850463867
2010-02-08,33.090999603271484
2010-02-09,33.01900100708008
2010-02-10,32.888999938964844
2010-02-11,32.840999603271484
2010-02-12,32.95800018310547
2010-02-15,33.00199890136719
2010-02-16,32.90299987792969
2010-02-17,33.01100158691406
2010-02-18,33.2400016784668
2010-02-19,32.77000045776367
2010-02-22,32.875999450683594
2010-02-23,32.90599822998047
2010-02-24,32.92300033569336
2010-02-25,32.7239990234375
2010-02-26,32.893001556396484
2010-03-01,32.513999938964844
2010-03-02,32.387001037597656
2010-03-03,32.5260009765625
2010-03-04,32.38399887084961
2010-03-05,32.39899826049805
2010-03-08,32.4900016784668
2010-03-09,32.45899963378906
2010-03-10,32.47999954223633
2010-03-11,32.441001892089844
2010-03-12,32.34600067138672
2010-03-15,32.28799819946289
2010-03-16,32.34700012207031
2010-03-17,32.165000915527344
2010-03-18,32.07600021362305
2010-03-19,32.0989990234375
2010-03-22,32.12200164794922
2010-03-23,32.24300003051758
2010-03-24,32.2400016784668
2010-03-25,32.29899978637695
2010-03-26,32.14799880981445
2010-03-29,32.099998474121094
2010-03-30,32.1150016784668
2010-03-31,32.180999755859375
2010-04-01,32.10900115966797
2010-04-02,31.749000549316406
2010-04-05,31.78499984741211
2010-04-06,32.138999938964844
