Variable,VIF
VIX_diff_lag1,1.0713484653541394
CrudeOil_lr_lag1,1.0516940430077975
RegionalSpillover,1.0243519399298235
DXY_lr_lag1,1.023786571486986
PSEI_lr_lag1,1.0135320987714365
DFF_diff_lag1,1.0084909330553944
PolicyShock_BSP,1.000514970396476
