Pair,Parameter,Estimate,Std. Error,t-value,P-value,ModelGroup,Equation
USDPHP_RET,ma1,-0.270735355946579,0.016433891757997,-16.474208296694748,5.62197220815918e-61,arima,
CNYPHP_RET,ma1,-0.2576736039419079,0.0166147257517325,-15.50874855187054,3.0272156712536936e-54,arima,
JPYPHP_RET,ma1,-0.141939131142029,0.017108864601533,-8.296233236266938,1.0746444919733647e-16,arima,
HKDPHP_RET,ma1,-0.2774608509734874,0.0164500433405523,-16.866876592932528,7.885733080677916e-64,arima,
SGDPHP_RET,ma1,-0.3172439282008309,0.0159954370400776,-19.83340170111981,1.5331225372214794e-87,arima,
USDPHP_RET,ma1,-0.3159948909638151,0.0162039540894149,-19.50109764691543,1.074514037808842e-84,arimax,
USDPHP_RET,DXY_lr_lag1,0.1944039326523497,0.0175679452953059,11.065832081358636,1.8374949551200355e-28,arimax,
USDPHP_RET,PSEI_lr_lag1,-0.0399587053395216,0.0065598551421845,-6.091400568064152,1.119270963259114e-09,arimax,
USDPHP_RET,VIX_diff_lag1,0.0379618153364928,0.0044110694548716,8.606034369866254,7.563159647658116e-18,arimax,
USDPHP_RET,DFF_diff_lag1,0.2624058115108562,0.1781616238900734,1.4728526030541895,0.1407907846707431,arimax,
USDPHP_RET,BSP_RRP_diff_lag1,0.3111293653398214,0.1828995070352501,1.7010946086358651,0.088925223142013,arimax,
USDPHP_RET,CrudeOil_lr_lag1,-0.3151392469526744,0.2680038987818244,-1.175875606232213,0.2396445880338676,arimax,
CNYPHP_RET,ma1,-0.2692630976807583,0.0165086461140721,-16.31042883954214,8.320653239794356e-60,arimax,
CNYPHP_RET,DXY_lr_lag1,0.0702127057036606,0.019158638011006,3.664806739567069,0.000247525421418794,arimax,
CNYPHP_RET,PSEI_lr_lag1,-0.0221152284403372,0.0071178152852482,-3.107024775730161,0.0018898055961198,arimax,
CNYPHP_RET,VIX_diff_lag1,0.034630893110877,0.0047761349266255,7.25081967802456,4.1425690002598083e-13,arimax,
CNYPHP_RET,DFF_diff_lag1,-0.0301379436610342,0.1938194525319002,-0.1554949375170375,0.8764311446781212,arimax,
CNYPHP_RET,BSP_RRP_diff_lag1,0.31916561778828,0.1994040631602075,1.6005973636146635,0.1094661265754974,arimax,
CNYPHP_RET,CrudeOil_lr_lag1,0.2732771717203155,0.2916646142092345,0.9369568964038668,0.3487807303742504,arimax,
JPYPHP_RET,ma1,-0.1638658179056589,0.0172915630090702,-9.476634230214094,2.6261722222337525e-21,arimax,
JPYPHP_RET,DXY_lr_lag1,-0.3641876009681684,0.0294182143275826,-12.37966373189092,3.3675075720029175e-35,arimax,
JPYPHP_RET,PSEI_lr_lag1,-0.0336186412146797,0.0109336667519029,-3.074781953531596,0.0021065650089091,arimax,
JPYPHP_RET,VIX_diff_lag1,0.0983759948493384,0.0072249724700363,13.616106532907525,3.212430053262138e-42,arimax,
JPYPHP_RET,DFF_diff_lag1,0.8720930926922318,0.2967727349587929,2.9385889940776484,0.003297099852764,arimax,
JPYPHP_RET,BSP_RRP_diff_lag1,-0.0050394356276908,0.305819072630865,-0.0164784870490194,0.9868526646066388,arimax,
JPYPHP_RET,CrudeOil_lr_lag1,-2.183885587402961,0.4466171899364273,-4.889837732653823,1.0091913431813883e-06,arimax,
HKDPHP_RET,ma1,-0.3182196588890803,0.0162667136040508,-19.56262750023675,3.220469079910488e-85,arimax,
HKDPHP_RET,DXY_lr_lag1,0.1824360741205916,0.017459977877714,10.448814734951853,1.4836780808567649e-25,arimax,
HKDPHP_RET,PSEI_lr_lag1,-0.0382346362235798,0.006522080870276,-5.862337033849354,4.563974602311747e-09,arimax,
HKDPHP_RET,VIX_diff_lag1,0.0355132906860904,0.0043860398068359,8.096892014235877,5.638107778798566e-16,arimax,
HKDPHP_RET,DFF_diff_lag1,0.2292266222181648,0.1770606770053387,1.294621855598424,0.1954507091121326,arimax,
HKDPHP_RET,BSP_RRP_diff_lag1,0.345334773527952,0.1817965252632528,1.899567513888868,0.0574898988125569,arimax,
HKDPHP_RET,CrudeOil_lr_lag1,-0.2867018193230738,0.2664141594611541,-1.0761508318587618,0.2818598051455445,arimax,
SGDPHP_RET,ma1,-0.3468143647528894,0.0160224442347009,-21.645534206433325,6.696336248974571e-104,arimax,
SGDPHP_RET,DXY_lr_lag1,-0.2647773360331349,0.0181251901469817,-14.608251493418194,2.4882219494205956e-48,arimax,
SGDPHP_RET,PSEI_lr_lag1,-0.0347167367036954,0.0067439650158839,-5.1478227751667625,2.635272907528915e-07,arimax,
SGDPHP_RET,VIX_diff_lag1,0.0013328837993307,0.0045686607037469,0.2917449742410564,0.7704816198495167,arimax,
SGDPHP_RET,DFF_diff_lag1,0.2034835505891529,0.1838232110012937,1.106952432615927,0.2683144947122114,arimax,
SGDPHP_RET,BSP_RRP_diff_lag1,0.2084524795247413,0.188482396254409,1.1059519810188387,0.2687473040003376,arimax,
SGDPHP_RET,CrudeOil_lr_lag1,0.5470236250763637,0.2766292564573636,1.9774612131839917,0.0479895206257021,arimax,
,USDPHP_RET.l1,-0.0281772999605995,0.215892440892477,-0.1305154541035226,0.8961664041812838,var,USDPHP_RET
,CNYPHP_RET.l1,0.1685135885751378,0.0337313753279735,4.995752083532419,6.158257350501991e-07,var,USDPHP_RET
,JPYPHP_RET.l1,0.0166654264953452,0.0135536480150357,1.229589736789487,0.2189364595020389,var,USDPHP_RET
,HKDPHP_RET.l1,-0.1711999823330605,0.22064350972798,-0.7759121604987346,0.4378552027802916,var,USDPHP_RET
,SGDPHP_RET.l1,-0.2874746142366235,0.0255656881509236,-11.244548260917318,7.964844779125547e-29,var,USDPHP_RET
,const,-0.0078277317297301,0.014819800925446,-0.5281941214398993,0.5973993255991555,var,USDPHP_RET
,trend,9.51507718511304e-06,7.583923942740321e-06,1.2546377385840355,0.2096971481336965,var,USDPHP_RET
,USDPHP_RET.l1,-0.2330559910548597,0.2263185653321177,-1.0297696554980142,0.3031919173689896,var,CNYPHP_RET
,CNYPHP_RET.l1,0.0318559688272401,0.0353603694476186,0.9008946830838456,0.3677085794908308,var,CNYPHP_RET
,JPYPHP_RET.l1,0.0197584253600148,0.0142081962717125,1.3906357275872143,0.1644275736911284,var,CNYPHP_RET
,HKDPHP_RET.l1,0.0666136548431155,0.231299078212514,0.2879979261392125,0.7733660046147034,var,CNYPHP_RET
,SGDPHP_RET.l1,-0.199017015091599,0.0268003355750979,-7.4259150425161025,1.410793501235963e-13,var,CNYPHP_RET
,const,0.0015568292079135,0.01553549568521,0.1002111061957057,0.9201826791952484,var,CNYPHP_RET
,trend,3.5453579609092115e-06,7.950175463362862e-06,0.4459471337767874,0.6556640317637411,var,CNYPHP_RET
,USDPHP_RET.l1,0.5398900137498521,0.3508512508928695,1.5388003103192711,0.1239467699137689,var,JPYPHP_RET
,CNYPHP_RET.l1,0.2831618092084369,0.0548175525703122,5.165531767315526,2.536483988199501e-07,var,JPYPHP_RET
,JPYPHP_RET.l1,-0.010428239899588,0.0220263124571614,-0.4734446548812775,0.6359265893965644,var,JPYPHP_RET
,HKDPHP_RET.l1,-0.8261375225485373,0.3585723106813617,-2.303963518484472,0.0212851391455781,var,JPYPHP_RET
,SGDPHP_RET.l1,-0.3134225734246947,0.0415473262084052,-7.543748347427653,5.836921973108259e-14,var,JPYPHP_RET
,const,-0.0069122254689416,0.0240839636218001,-0.28700531098149,0.7741258669394199,var,JPYPHP_RET
,trend,2.402079709765155e-06,1.232479095139798e-05,0.1948982111938126,0.8454843622718272,var,JPYPHP_RET
,USDPHP_RET.l1,-0.0743590595664475,0.2142679087191453,-0.3470377809302031,0.7285845661737729,var,HKDPHP_RET
,CNYPHP_RET.l1,0.1694711986876608,0.0334775558600732,5.062233318226773,4.365391114196465e-07,var,HKDPHP_RET
,JPYPHP_RET.l1,0.01561641501224,0.0134516604828395,1.160928424573464,0.2457530887899842,var,HKDPHP_RET
,HKDPHP_RET.l1,-0.1332337789750762,0.2189832270478261,-0.6084200181504217,0.5429498690391856,var,HKDPHP_RET
,SGDPHP_RET.l1,-0.2772191912226763,0.0253733132684921,-10.925620485162206,2.480195905985129e-27,var,HKDPHP_RET
,const,-0.0081704532198317,0.0147082859353601,-0.5555000260220097,0.5785894996148189,var,HKDPHP_RET
,trend,9.616287973669522e-06,7.526856968120222e-06,1.277596746477185,0.2014794950874643,var,HKDPHP_RET
,USDPHP_RET.l1,0.0134614666634183,0.22651285699762,0.059429150476698,0.9526138127906004,var,SGDPHP_RET
,CNYPHP_RET.l1,0.1479940261316752,0.0353907258837452,4.181717736387208,2.966684576143577e-05,var,SGDPHP_RET
,JPYPHP_RET.l1,0.0650936822004459,0.0142203938309952,4.577488005892329,4.875592562489898e-06,var,SGDPHP_RET
,HKDPHP_RET.l1,-0.192969594609123,0.231497645586203,-0.8335704413774124,0.404582058929516,var,SGDPHP_RET
,SGDPHP_RET.l1,-0.3393105577785432,0.0268233433289128,-12.6498234622677,7.212667492464754e-36,var,SGDPHP_RET
,const,-0.0010735743141233,0.015548832714484,-0.0690453318160213,0.9449576250850208,var,SGDPHP_RET
,trend,6.4799660525656265e-06,7.95700058983689e-06,0.814372951139678,0.4154887682543871,var,SGDPHP_RET
,USDPHP_RET.l1,-0.0996791724581663,0.2094266250162779,-0.4759622729460432,0.6341321085182252,varx,USDPHP_RET
,CNYPHP_RET.l1,0.1554831824745703,0.032681796139182,4.757485843569113,2.042485895905175e-06,varx,USDPHP_RET
,JPYPHP_RET.l1,0.0056903472707026,0.0132141962881791,0.4306237887349221,0.6667694797048587,varx,USDPHP_RET
,HKDPHP_RET.l1,-0.1383584422731987,0.2138546270025274,-0.6469742750600556,0.5176926558616601,varx,USDPHP_RET
,SGDPHP_RET.l1,-0.2339299041069262,0.0252413432424343,-9.267728023033904,3.298020174291526e-20,varx,USDPHP_RET
,const,-0.0056920910338823,0.0143488912949828,-0.3966920451807001,0.691619684894217,varx,USDPHP_RET
,trend,7.276501484195241e-06,7.349993729205875e-06,0.9900010465697942,0.3222446821628644,varx,USDPHP_RET
,DXY_lr_lag1,0.1797160550567183,0.0185199805003291,9.70390087902763,5.61177106920845e-22,varx,USDPHP_RET
,PSEI_lr_lag1,-0.0383669070780503,0.0070430829133248,-5.447459237696026,5.47592086043071e-08,varx,USDPHP_RET
,VIX_diff_lag1,0.0352878474007302,0.0044323450381913,7.961439620939281,2.3037169234442176e-15,varx,USDPHP_RET
,DFF_diff_lag1,0.2599534346033358,0.1855215847394158,1.4012031805812095,0.1612454035779134,varx,USDPHP_RET
,BSP_RRP_diff_lag1,0.2290630030971747,0.191590543428055,1.195586165155334,0.2319422139192145,varx,USDPHP_RET
