Parameter,Estimate,Std. Error,t-value,P-value,BreakDate
const,-0.01864751134330296,0.019370203914661432,-0.9626905026636575,0.33570286425956797,2013-01-22
DXY_lr_lag1,0.23010186266836632,0.03966566240987463,5.801034161251855,6.590717025857725e-09,2013-01-22
PostBreak,0.03035780924311287,0.02075660830582465,1.4625611658622455,0.14358749599620962,2013-01-22
DXY_x_PostBreak,0.016857671148306722,0.04527068602824638,0.37237498759768023,0.7096136740695889,2013-01-22
