Pair,Top5VolDateRange,Top5VolMean,ARCHStressShare,WorstErrDateMin,WorstErrDateMax,WorstErrMean,BreakCount,FirstBreak,LastBreak
CNYPHP_RET,2025-11-17 -> 2025-11-27,0.6932766657511146,0.7004272430258859,2025-06-16,2025-06-16,3.8883293396088563,1,2020-08-18,2020-08-18
HKDPHP_RET,2026-03-19 -> 2026-04-02,0.6970160177931752,0.6102035687358632,2025-06-16,2025-10-31,3.7194916145172967,1,2013-01-22,2013-01-22
JPYPHP_RET,2013-09-11 -> 2013-09-24,0.9903351362218199,0.5664739884393064,2025-06-16,2025-06-16,3.3368360743389154,1,2015-06-03,2015-06-03
SGDPHP_RET,2012-07-10 -> 2012-07-17,0.7165352045868165,0.7627544609198291,2025-06-16,2025-10-31,3.490934434366531,1,2021-12-14,2021-12-14
USDPHP_RET,2026-03-19 -> 2026-04-02,0.6951743456192516,0.6149786378487057,2025-06-16,2025-06-16,3.7276904510090487,1,2013-01-22,2013-01-22
