Pair,Model_A,Model_B,Loss,Set,DM_stat_full,p_value_full,n_obs_full,A_better_than_B_5pct_full,DM_stat_trim,p_value_trim,n_obs_trim,A_better_than_B_5pct_trim,same_significance
CNYPHP_RET,hybrid_arima_svr,arima,mse,test,-0.920448127832291,0.35786449005994037,423,False,-0.11823436772421166,0.905939302925411,415,False,True
CNYPHP_RET,hybrid_arima_mlp,arima,mse,test,-1.6193498689637311,0.10611905200175276,423,False,-1.2045178772124452,0.22907596246271167,416,False,True
CNYPHP_RET,hybrid_var_svr,var,mse,test,-0.7301744198729794,0.46568871672060097,423,False,0.9770857927322345,0.32909452859193866,417,False,True
CNYPHP_RET,hybrid_var_mlp,var,mse,test,-1.5212354103302457,0.12894968506892668,423,False,-1.285633746448703,0.19928611485320347,417,False,True
CNYPHP_RET,arima,baseline_ar1,mse,test,-2.9161551381715745,0.003732740069398943,423,True,-2.3209021023297884,0.02077593558826374,416,True,True
CNYPHP_RET,arima,baseline_mean,mse,test,-2.5973483268680684,0.00972303625098303,423,True,-2.290644495579238,0.022484646704161282,416,True,True
CNYPHP_RET,arima,baseline_rw,mse,test,-2.5872605414853638,0.01000768963786558,423,True,-2.2937528081032466,0.022303635931833155,416,True,True
CNYPHP_RET,arimax,baseline_ar1,mse,test,-4.360069496402546,1.6356111334436818e-05,423,True,-3.688672756718854,0.0002554172799902332,416,True,True
CNYPHP_RET,arimax,baseline_mean,mse,test,-3.2134190786484984,0.0014122773789566612,423,True,-3.4741251203857937,0.0005663300451230757,417,True,True
CNYPHP_RET,arimax,baseline_rw,mse,test,-3.199968483198117,0.0014782093605147928,423,True,-3.469660799223199,0.000575554472389106,417,True,True
CNYPHP_RET,hybrid_arima_mlp,baseline_ar1,mse,test,-1.8897598628690138,0.05947521678835521,423,False,-1.8738515185577977,0.06165334578661552,416,False,True
CNYPHP_RET,hybrid_arima_mlp,baseline_mean,mse,test,-2.1218555788302527,0.03443196021187367,423,True,-2.089852315984113,0.037239299741813836,416,True,True
