pair,order,parameter,coef,std_err,z_stat,p_value,conf_low,conf_high,significant_5pct
CNYPHP_RET,"(0, 0, 1)",sigma2,0.20852768976621883,0.002727411702571497,76.45625688619425,0.0,0.20318206105816564,0.21387331847427202,True
CNYPHP_RET,"(0, 0, 1)",ma.L1,-0.25797167766350104,0.01003183215512555,-25.715310391402024,7.880921680226244e-146,-0.27763370738649795,-0.23830964794050413,True
CNYPHP_RET,"(0, 0, 1)",const,0.005231825423714967,0.00590094677177721,0.8866077980464953,0.37529009402293523,-0.006333817723656262,0.016797468571086195,False
HKDPHP_RET,"(0, 0, 1)",sigma2,0.1881899732455858,0.002423424675902454,77.65455849190201,0.0,0.18344014816157134,0.1929397983296003,True
HKDPHP_RET,"(0, 0, 1)",ma.L1,-0.2779188924897247,0.009917737738839768,-28.02240791277842,8.666657619924096e-173,-0.2973573012659643,-0.25848048371348503,True
HKDPHP_RET,"(0, 0, 1)",const,0.005746090187199114,0.005436652208451687,1.0569170082769657,0.2905494653729678,-0.004909552337836338,0.016401732712234565,False
JPYPHP_RET,"(0, 0, 1)",sigma2,0.5062851122735296,0.0076388149867723755,66.27796499198234,0.0,0.4913133100148909,0.5212569145321683,True
JPYPHP_RET,"(0, 0, 1)",ma.L1,-0.14202483006002597,0.012505508822131542,-11.356981317599686,6.846983643363138e-30,-0.1665351769597517,-0.11751448316030025,True
JPYPHP_RET,"(0, 0, 1)",const,-0.00500750090557807,0.010508678914310201,-0.4765109816762126,0.633710385599427,-0.02560413310272154,0.015589131291565403,False
SGDPHP_RET,"(0, 0, 1)",sigma2,0.20482118828677334,0.0026748506334245085,76.57294419634515,0.0,0.19957857738123716,0.21006379919230952,True
SGDPHP_RET,"(0, 0, 1)",ma.L1,-0.31787778002472467,0.010347459617078898,-30.720369229569606,3.0428584368229215e-207,-0.3381584282056819,-0.2975971318437674,True
SGDPHP_RET,"(0, 0, 1)",const,0.006916687263232513,0.00541820230079862,1.2765649710445517,0.20175587532156836,-0.003702794107284838,0.017536168633749863,False
USDPHP_RET,"(0, 0, 1)",sigma2,0.19176969247096773,0.0024947890204942646,76.86810022635683,0.0,0.186879995841773,0.19665938910016245,True
USDPHP_RET,"(0, 0, 1)",ma.L1,-0.2711575163079609,0.009942448388343381,-27.272710475004175,8.940298955038228e-164,-0.29064435706726227,-0.2516706755486596,True
USDPHP_RET,"(0, 0, 1)",const,0.005897788744960164,0.005543092157128747,1.063988939345931,0.28733371016872444,-0.004966472245998619,0.016762049735918945,False
