Date,Actual,Forecast,Set,Pair,Model,Error,SE,AE,abs_error,cum_abs_error
2024-08-14,-0.6049116197661852,-0.0003646786515804,test,USDPHP_RET,hybrid_arima_mlp,-0.6045469411146048,0.36547700401102545,0.6045469411146048,0.6045469411146048,0.6045469411146048
2024-08-15,-0.0158273385969716,0.1503749257774563,test,USDPHP_RET,hybrid_arima_mlp,-0.1662022643744279,0.027623192683187223,0.1662022643744279,0.1662022643744279,0.7707492054890327
2024-08-16,0.5315433308405091,0.0084708939656578,test,USDPHP_RET,hybrid_arima_mlp,0.5230724368748513,0.2736047742181953,0.5230724368748513,0.5230724368748513,1.293821642363884
2024-08-19,-0.1242993297129954,-0.0738284018759831,test,USDPHP_RET,hybrid_arima_mlp,-0.050470927837012305,0.0025473145567289036,0.050470927837012305,0.050470927837012305,1.3442925702008963
2024-08-20,-0.7755419261045179,-0.0131911167551819,test,USDPHP_RET,hybrid_arima_mlp,-0.762350809349336,0.5811787565155876,0.762350809349336,0.762350809349336,2.106643379550232
2024-08-21,-0.6980168647276687,0.1987698155170364,test,USDPHP_RET,hybrid_arima_mlp,-0.8967866802447051,0.804226349864319,0.8967866802447051,0.8967866802447051,3.0034300597949373
2024-08-22,-0.2456400087606117,0.2448121788741501,test,USDPHP_RET,hybrid_arima_mlp,-0.49045218763476184,0.24054334835572364,0.49045218763476184,0.49045218763476184,3.493882247429699
2024-08-23,0.6483927121089205,0.1002886043196581,test,USDPHP_RET,hybrid_arima_mlp,0.5481041077892623,0.3004181129754633,0.5481041077892623,0.5481041077892623,4.041986355218961
2024-08-26,-0.1080703129159385,-0.0778377257467338,test,USDPHP_RET,hybrid_arima_mlp,-0.030232587169204697,0.0009140093269435605,0.030232587169204697,0.030232587169204697,4.072218942388166
2024-08-27,-0.8723603084843913,-0.0160578633241811,test,USDPHP_RET,hybrid_arima_mlp,-0.8563024451602101,0.7332538775873547,0.8563024451602101,0.8563024451602101,4.928521387548376
2024-08-28,0.4745141665203106,0.227649591261909,test,USDPHP_RET,hybrid_arima_mlp,0.24686457525840158,0.06094211851751102,0.24686457525840158,0.24686457525840158,5.175385962806778
2024-08-29,0.0231267824885252,-0.0414594367226417,test,USDPHP_RET,hybrid_arima_mlp,0.0645862192111669,0.004171379711992905,0.0645862192111669,0.0645862192111669,5.239972182017945
