Date,Pair,Model,Actual,Forecast,lo50,hi50,lo90,hi90
2024-08-14,CNYPHP_RET,hybrid_arima_mlp,-0.3103666357169027,0.0101648064126998,-0.25514139544823716,0.27547100827363674,-0.636827781973521,0.6571573947989205
2024-08-15,CNYPHP_RET,hybrid_arima_mlp,0.20250705014609,0.0369490040254243,-0.22835719783551264,0.30225520588636123,-0.6100435843607964,0.6839415924116451
2024-08-16,CNYPHP_RET,hybrid_arima_mlp,0.0270259073550306,-0.0120468190026492,-0.27735302086358615,0.25325938285828775,-0.6590394073888699,0.6349457693835716
2024-08-19,CNYPHP_RET,hybrid_arima_mlp,0.0068247551696132,-0.0079757361213834,-0.27328193798232037,0.25733046573955354,-0.6549683245076041,0.6390168522648374
2024-08-20,CNYPHP_RET,hybrid_arima_mlp,-0.4469741797307816,-0.0054221224466205,-0.27072832430755744,0.25988407941431646,-0.6524147108328413,0.6415704659396002
2024-08-21,CNYPHP_RET,hybrid_arima_mlp,-0.5789052842144395,0.0586605998551227,-0.20664560200581425,0.3239668017160596,-0.588331988531098,0.7056531882413435
2024-08-22,CNYPHP_RET,hybrid_arima_mlp,-0.2428385846340809,0.1301365407546366,-0.13516966110630035,0.39544274261557355,-0.5168560476315842,0.7771291291408573
2024-08-23,CNYPHP_RET,hybrid_arima_mlp,0.4718758787773971,0.0529072335498102,-0.21239896831112676,0.31821343541074715,-0.5940853548364106,0.699899821936031
2024-08-26,CNYPHP_RET,hybrid_arima_mlp,0.1778771083450536,-0.0364076859051894,-0.30171388776612634,0.22889851595574756,-0.6834002742914101,0.6105849024810314
2024-08-27,CNYPHP_RET,hybrid_arima_mlp,-0.7895086728826747,-0.0268325704327481,-0.29213877229368507,0.23847363142818884,-0.6738251588189689,0.6201600179534726
2024-08-28,CNYPHP_RET,hybrid_arima_mlp,0.404300451108606,0.1377850449582703,-0.12898557036569466,0.4045556602822352,-0.5127787552966,0.7883488452131405
2024-08-29,CNYPHP_RET,hybrid_arima_mlp,0.0062788081732434,-0.0213470841657878,-0.27751846291342913,0.23482429458185355,-0.6460629115525831,0.6033687432210075
2024-08-30,CNYPHP_RET,hybrid_arima_mlp,0.1663698394135868,-0.0085195244329669,-0.2597371931548866,0.24269814428895278,-0.6211549192886886,0.6041158704227548
2024-09-02,CNYPHP_RET,hybrid_arima_mlp,0.3168730319184887,-0.0179177188016845,-0.2713192117830471,0.23548377417967806,-0.6358787264786933,0.6000432888753243
2024-09-03,CNYPHP_RET,hybrid_arima_mlp,0.0740355202109917,-0.036469417445535,-0.2825107562750845,0.2095719213840145,-0.6364814847954754,0.5635426499044054
2024-09-04,CNYPHP_RET,hybrid_arima_mlp,-0.1295727250575652,-0.0166126209671941,-0.25453901903188353,0.2213137770974953,-0.5968350773196136,0.5636098353852255
2024-09-05,CNYPHP_RET,hybrid_arima_mlp,0.0822164512917207,0.0025792907303065,-0.22884364167921026,0.23400222313982325,-0.5617834003840334,0.5669419818446464
2024-09-06,CNYPHP_RET,hybrid_arima_mlp,-0.600515378999532,-0.0083176235161641,-0.24897190702359395,0.23233665999126574,-0.595192474916419,0.5785572278840909
2024-09-09,CNYPHP_RET,hybrid_arima_mlp,0.5512182349940677,0.0995084544649549,-0.14828414502086243,0.34730105395077226,-0.5047743485745024,0.7037912575044123
2024-09-10,CNYPHP_RET,hybrid_arima_mlp,-0.4741405593769245,-0.040281898912632,-0.2883312544099817,0.20776745658471768,-0.6451908435021919,0.5646270456769279
2024-09-11,CNYPHP_RET,hybrid_arima_mlp,-0.2670415576894362,0.0399748265581243,-0.2077542861277249,0.2877039392439735,-0.5641531535305251,0.6441028066467738
2024-09-12,CNYPHP_RET,hybrid_arima_mlp,-0.1077990636845719,0.037892203576924,-0.2072410356907454,0.2830254428445934,-0.5599053143884484,0.6356897215422964
2024-09-13,CNYPHP_RET,hybrid_arima_mlp,0.2399616794753513,0.0111374725901316,-0.23791030144877515,0.26018524662903836,-0.5962062789958865,0.6184812241761498
2024-09-16,CNYPHP_RET,hybrid_arima_mlp,0.2293122178474604,-0.0184131452496999,-0.2718921521868933,0.2350658616874935,-0.6365631833925149,0.599736892893115
2024-09-17,CNYPHP_RET,hybrid_arima_mlp,-0.5630702720232718,-0.0274884715351085,-0.2847030314087431,0.22972608833852612,-0.6547482668055337,0.5997713237353167
2024-09-18,CNYPHP_RET,hybrid_arima_mlp,0.0646352272150908,0.072877946659003,-0.16791363061623588,0.31366952393424186,-0.5143317180610348,0.6600876113790409
2024-09-19,CNYPHP_RET,hybrid_arima_mlp,0.0509466806358331,0.0007675743476283,-0.23422351431543387,0.23575866301069048,-0.5722966496900086,0.5738317983852652
2024-09-20,CNYPHP_RET,hybrid_arima_mlp,-0.1783066602076279,-0.0064554495754327,-0.23205054765685082,0.2191396485059854,-0.5566060130041973,0.543695113853332
2024-09-23,CNYPHP_RET,hybrid_arima_mlp,0.5539723784289928,0.0087583979377262,-0.23099170881132058,0.248508504686773,-0.5759114704762225,0.5934282663516748
2024-09-24,CNYPHP_RET,hybrid_arima_mlp,0.5482415149796145,-0.0522233093848816,-0.27974096340766963,0.17529434463790644,-0.6070623400869302,0.5026157213171669
