Pair,Model,Horizon,MAE_h,RMSE_h,n_obs,Class
SGDPHP_RET,var,1,0.39532816249541974,0.5719864944247899,423,linear_or_baseline
SGDPHP_RET,varx,1,0.3844458895315962,0.5660459380428017,423,linear_or_baseline
USDPHP_RET,arima,1,0.3894835776274568,0.5788336616524031,423,linear_or_baseline
USDPHP_RET,arimax,1,0.36561212313700314,0.5508785912203291,423,linear_or_baseline
USDPHP_RET,baseline_ar1,1,0.39415040425752407,0.5847970615211171,423,linear_or_baseline
USDPHP_RET,baseline_mean,1,0.4043711735829294,0.6220308848244929,423,linear_or_baseline
USDPHP_RET,baseline_rw,1,0.40428411954137494,0.6221178633359457,423,linear_or_baseline
USDPHP_RET,hybrid_arima_mlp,1,0.37727547283116347,0.5379599488666117,423,hybrid
USDPHP_RET,hybrid_arima_svr,1,0.37306439885547144,0.5302933417006506,423,hybrid
USDPHP_RET,hybrid_arimax_mlp,1,0.3527320554826978,0.5119926898815269,423,hybrid
USDPHP_RET,hybrid_arimax_svr,1,0.34993752761795416,0.5010018968662809,423,hybrid
USDPHP_RET,hybrid_var_mlp,1,0.38113093617542937,0.5391372195727104,423,hybrid
USDPHP_RET,hybrid_var_svr,1,0.378315297273259,0.5346614934151204,423,hybrid
USDPHP_RET,hybrid_varx_mlp,1,0.3582092327421029,0.5157418916469657,423,hybrid
USDPHP_RET,hybrid_varx_svr,1,0.35659962140669355,0.5103829964908987,423,hybrid
USDPHP_RET,var,1,0.3921055267975565,0.5762050513057437,423,linear_or_baseline
USDPHP_RET,varx,1,0.37027169683767613,0.5558526334011018,423,linear_or_baseline
CNYPHP_RET,arima,5,0.8286444168132968,1.0773270082013187,419,linear_or_baseline
CNYPHP_RET,arimax,5,0.8029290610503258,1.0404381314941509,419,linear_or_baseline
CNYPHP_RET,baseline_ar1,5,0.7847097365672207,1.0270631976119442,419,linear_or_baseline
CNYPHP_RET,baseline_mean,5,0.6717174216109588,0.8947453104967095,419,linear_or_baseline
CNYPHP_RET,baseline_rw,5,0.6732046744768659,0.8977322275018078,419,linear_or_baseline
CNYPHP_RET,hybrid_arima_mlp,5,0.783196862543847,1.0506061708550187,419,hybrid
CNYPHP_RET,hybrid_arima_svr,5,0.8113345015523946,1.129884424830838,419,hybrid
CNYPHP_RET,hybrid_arimax_mlp,5,0.7570435609921005,1.00383861202176,419,hybrid
CNYPHP_RET,hybrid_arimax_svr,5,0.7750431510763999,1.059588713777284,419,hybrid
CNYPHP_RET,hybrid_var_mlp,5,0.7758201663863383,1.0272633679497851,419,hybrid
CNYPHP_RET,hybrid_var_svr,5,0.7988255314247527,1.1049175028845781,419,hybrid
CNYPHP_RET,hybrid_varx_mlp,5,0.7497876454374293,0.9820391802762716,419,hybrid
CNYPHP_RET,hybrid_varx_svr,5,0.7746995504076389,1.0418852012403028,419,hybrid
CNYPHP_RET,var,5,0.7875662929355423,1.0303802039717165,419,linear_or_baseline
CNYPHP_RET,varx,5,0.7676994247413053,0.996290010932265,419,linear_or_baseline
HKDPHP_RET,arima,5,0.8626093453763855,1.1088478223696332,419,linear_or_baseline
HKDPHP_RET,arimax,5,0.8187718003770906,1.0498530512081585,419,linear_or_baseline
HKDPHP_RET,baseline_ar1,5,0.8136289007849115,1.050680202436427,419,linear_or_baseline
HKDPHP_RET,baseline_mean,5,0.6916849444789095,0.9017417606483669,419,linear_or_baseline
HKDPHP_RET,baseline_rw,5,0.6931304648052377,0.9032910821140898,419,linear_or_baseline
HKDPHP_RET,hybrid_arima_mlp,5,0.8203288327122609,1.0651883419643757,419,hybrid
HKDPHP_RET,hybrid_arima_svr,5,0.8328936513920303,1.085985550907145,419,hybrid
HKDPHP_RET,hybrid_arimax_mlp,5,0.7707757612544106,1.004772285311485,419,hybrid
HKDPHP_RET,hybrid_arimax_svr,5,0.7813436344717174,1.0147063713171305,419,hybrid
HKDPHP_RET,hybrid_var_mlp,5,0.7822718531663296,1.0094047430890192,419,hybrid
HKDPHP_RET,hybrid_var_svr,5,0.7849931896445095,1.0242976147752216,419,hybrid
HKDPHP_RET,hybrid_varx_mlp,5,0.7365564868160815,0.9518997899187515,419,hybrid
HKDPHP_RET,hybrid_varx_svr,5,0.7353698658147849,0.9598142920538697,419,hybrid
HKDPHP_RET,var,5,0.795138123164033,1.0277305981575482,419,linear_or_baseline
HKDPHP_RET,varx,5,0.7551857462007237,0.975321575406967,419,linear_or_baseline
JPYPHP_RET,arima,5,1.0986469963540728,1.4006245503051216,419,linear_or_baseline
JPYPHP_RET,arimax,5,1.0493590702050475,1.3284471380028096,419,linear_or_baseline
JPYPHP_RET,baseline_ar1,5,1.0858046197658968,1.3828744667330104,419,linear_or_baseline
JPYPHP_RET,baseline_mean,5,0.9869275219057712,1.2663054474602846,419,linear_or_baseline
JPYPHP_RET,baseline_rw,5,0.9858482763999374,1.266491148630426,419,linear_or_baseline
JPYPHP_RET,hybrid_arima_mlp,5,1.0998726544736854,1.4109815231710883,419,hybrid
JPYPHP_RET,hybrid_arima_svr,5,1.1096396717403398,1.4441829638160772,419,hybrid
JPYPHP_RET,hybrid_arimax_mlp,5,1.0417843332921704,1.3276421254480657,419,hybrid
JPYPHP_RET,hybrid_arimax_svr,5,1.0316793846933063,1.3329537797426623,419,hybrid
JPYPHP_RET,hybrid_var_mlp,5,1.108506885900635,1.4170970801427005,419,hybrid
JPYPHP_RET,hybrid_var_svr,5,1.1285777119759461,1.4699537053348783,419,hybrid
JPYPHP_RET,hybrid_varx_mlp,5,1.0443962586454556,1.332018124527201,419,hybrid
JPYPHP_RET,hybrid_varx_svr,5,1.0401639556665534,1.338594204171141,419,hybrid
JPYPHP_RET,var,5,1.0989738709239176,1.3958491612812947,419,linear_or_baseline
JPYPHP_RET,varx,5,1.0426479291703608,1.323063853025046,419,linear_or_baseline
SGDPHP_RET,arima,5,0.758676808998292,0.9767868469576675,419,linear_or_baseline
SGDPHP_RET,arimax,5,0.7693208811715289,0.977890594602072,419,linear_or_baseline
SGDPHP_RET,baseline_ar1,5,0.7093719625765961,0.9163057711234863,419,linear_or_baseline
SGDPHP_RET,baseline_mean,5,0.594481529544128,0.7840462778890096,419,linear_or_baseline
SGDPHP_RET,baseline_rw,5,0.5962407650462842,0.7876577931570107,419,linear_or_baseline
SGDPHP_RET,hybrid_arima_mlp,5,0.7285945890101713,0.9495713432887202,419,hybrid
SGDPHP_RET,hybrid_arima_svr,5,0.7365045074712722,0.975478169478661,419,hybrid
SGDPHP_RET,hybrid_arimax_mlp,5,0.742020748623918,0.9439512741679268,419,hybrid
SGDPHP_RET,hybrid_arimax_svr,5,0.7629841312172564,0.9988929890239001,419,hybrid
SGDPHP_RET,hybrid_var_mlp,5,0.7150686029978733,0.9136957314581423,419,hybrid
SGDPHP_RET,hybrid_var_svr,5,0.7174839851508874,0.9364152641522072,419,hybrid
SGDPHP_RET,hybrid_varx_mlp,5,0.7166368318363234,0.9025857897072479,419,hybrid
SGDPHP_RET,hybrid_varx_svr,5,0.7400747441975916,0.9552939244247932,419,hybrid
SGDPHP_RET,var,5,0.725155026530469,0.9328822369207402,419,linear_or_baseline
SGDPHP_RET,varx,5,0.7190723489746709,0.91523342382976,419,linear_or_baseline
USDPHP_RET,arima,5,0.8501824451586285,1.1005816388469138,419,linear_or_baseline
USDPHP_RET,arimax,5,0.7994462750563158,1.0379935164576213,419,linear_or_baseline
USDPHP_RET,baseline_ar1,5,0.8028390603746628,1.0459144912529412,419,linear_or_baseline
USDPHP_RET,baseline_mean,5,0.6869848700856086,0.9001068093890212,419,linear_or_baseline
USDPHP_RET,baseline_rw,5,0.6889266012242863,0.9019056237614317,419,linear_or_baseline
USDPHP_RET,hybrid_arima_mlp,5,0.8080942563350271,1.0575066226034109,419,hybrid
USDPHP_RET,hybrid_arima_svr,5,0.8091530963040446,1.0639183874192126,419,hybrid
USDPHP_RET,hybrid_arimax_mlp,5,0.7579645780280729,0.9969056874970436,419,hybrid
USDPHP_RET,hybrid_arimax_svr,5,0.7510041648049279,0.9849357760465347,419,hybrid
USDPHP_RET,hybrid_var_mlp,5,0.7675079018862377,1.0009605852321906,419,hybrid
USDPHP_RET,hybrid_var_svr,5,0.7615605205048026,0.9985061413939585,419,hybrid
USDPHP_RET,hybrid_varx_mlp,5,0.7241737568583991,0.9429007254497441,419,hybrid
USDPHP_RET,hybrid_varx_svr,5,0.7143818672968639,0.9334001185814522,419,hybrid
USDPHP_RET,var,5,0.7852712284180167,1.0227435625643524,419,linear_or_baseline
USDPHP_RET,varx,5,0.7409348151583022,0.967401240650387,419,linear_or_baseline
CNYPHP_RET,arima,10,1.1956536750141868,1.4664913726790294,414,linear_or_baseline
CNYPHP_RET,arimax,10,1.1496655402688967,1.4273341424232173,414,linear_or_baseline
CNYPHP_RET,baseline_ar1,10,1.1094931983314962,1.3683663805365456,414,linear_or_baseline
CNYPHP_RET,baseline_mean,10,0.9212311121242325,1.156313233614571,414,linear_or_baseline
CNYPHP_RET,baseline_rw,10,0.9289465284359834,1.165555838357948,414,linear_or_baseline
CNYPHP_RET,hybrid_arima_mlp,10,1.0608007793223233,1.36712013350843,414,hybrid
CNYPHP_RET,hybrid_arima_svr,10,1.1191459392416048,1.4594572506799,414,hybrid
CNYPHP_RET,hybrid_arimax_mlp,10,1.0144086646943562,1.3212319156029497,414,hybrid
CNYPHP_RET,hybrid_arimax_svr,10,1.0588825811842002,1.3811150312683196,414,hybrid
CNYPHP_RET,hybrid_var_mlp,10,1.0452927455458596,1.3312609817472107,414,hybrid
CNYPHP_RET,hybrid_var_svr,10,1.0909797225132336,1.4304741554095244,414,hybrid
CNYPHP_RET,hybrid_varx_mlp,10,0.9893557294872125,1.2775777763261653,414,hybrid
CNYPHP_RET,hybrid_varx_svr,10,1.0404076167911334,1.354441483562259,414,hybrid
CNYPHP_RET,var,10,1.1175747000111462,1.3793160204129988,414,linear_or_baseline
CNYPHP_RET,varx,10,1.0748036102174223,1.3374775266574075,414,linear_or_baseline
HKDPHP_RET,arima,10,1.216193201643878,1.517230597893345,414,linear_or_baseline
HKDPHP_RET,arimax,10,1.1491678455136725,1.46545892010492,414,linear_or_baseline
HKDPHP_RET,baseline_ar1,10,1.1238361689198582,1.4051285324273193,414,linear_or_baseline
HKDPHP_RET,baseline_mean,10,0.9189755532925414,1.1693551796239983,414,linear_or_baseline
HKDPHP_RET,baseline_rw,10,0.9237745707129597,1.174365616118056,414,linear_or_baseline
HKDPHP_RET,hybrid_arima_mlp,10,1.0980170691707412,1.3978702764390591,414,hybrid
HKDPHP_RET,hybrid_arima_svr,10,1.112626081902611,1.420916450528534,414,hybrid
HKDPHP_RET,hybrid_arimax_mlp,10,1.0347574124812275,1.3566686730407018,414,hybrid
HKDPHP_RET,hybrid_arimax_svr,10,1.0380490284505188,1.3496132811325494,414,hybrid
HKDPHP_RET,hybrid_var_mlp,10,1.0294559092786844,1.3156772992304777,414,hybrid
HKDPHP_RET,hybrid_var_svr,10,1.035667108407397,1.3357236872697853,414,hybrid
HKDPHP_RET,hybrid_varx_mlp,10,0.9623204958346175,1.259067712588968,414,hybrid
HKDPHP_RET,hybrid_varx_svr,10,0.9755871059663022,1.2519946203223704,414,hybrid
HKDPHP_RET,var,10,1.097005707167249,1.3820295834620702,414,linear_or_baseline
HKDPHP_RET,varx,10,1.0333364267661003,1.3233574738217424,414,linear_or_baseline
JPYPHP_RET,arima,10,1.3851370065906654,1.7979933201539928,414,linear_or_baseline
JPYPHP_RET,arimax,10,1.3031824910182246,1.6721287598693655,414,linear_or_baseline
JPYPHP_RET,baseline_ar1,10,1.3616845177667165,1.7662786044990604,414,linear_or_baseline
JPYPHP_RET,baseline_mean,10,1.2253428127443753,1.5945109329177076,414,linear_or_baseline
JPYPHP_RET,baseline_rw,10,1.225822474212257,1.5955562241776027,414,linear_or_baseline
JPYPHP_RET,hybrid_arima_mlp,10,1.3887675985289976,1.8198420064322784,414,hybrid
JPYPHP_RET,hybrid_arima_svr,10,1.4074502435412133,1.897396939549238,414,hybrid
JPYPHP_RET,hybrid_arimax_mlp,10,1.3079575620689812,1.6751040266928985,414,hybrid
JPYPHP_RET,hybrid_arimax_svr,10,1.2830041995626633,1.6755223689780547,414,hybrid
JPYPHP_RET,hybrid_var_mlp,10,1.3673413653550976,1.7946343026035583,414,hybrid
JPYPHP_RET,hybrid_var_svr,10,1.4056574120200658,1.896017754431244,414,hybrid
JPYPHP_RET,hybrid_varx_mlp,10,1.2938970564638954,1.6537525519038554,414,hybrid
JPYPHP_RET,hybrid_varx_svr,10,1.2873030417532216,1.6607360891070952,414,hybrid
JPYPHP_RET,var,10,1.3532974877418225,1.7609033775588752,414,linear_or_baseline
JPYPHP_RET,varx,10,1.2840192914012292,1.6411779110435574,414,linear_or_baseline
SGDPHP_RET,arima,10,1.0337989649053276,1.3153010702084023,414,linear_or_baseline
SGDPHP_RET,arimax,10,1.048965251810903,1.3221572128526922,414,linear_or_baseline
SGDPHP_RET,baseline_ar1,10,0.9330132394044334,1.1964146615371853,414,linear_or_baseline
SGDPHP_RET,baseline_mean,10,0.7534918693245504,0.988785448096326,414,linear_or_baseline
SGDPHP_RET,baseline_rw,10,0.7620248653962411,1.0000945743141747,414,linear_or_baseline
SGDPHP_RET,hybrid_arima_mlp,10,0.9578444198640402,1.2673972870697896,414,hybrid
SGDPHP_RET,hybrid_arima_svr,10,0.9625226886981573,1.304821746401862,414,hybrid
SGDPHP_RET,hybrid_arimax_mlp,10,0.9661520594405143,1.2534722805362823,414,hybrid
SGDPHP_RET,hybrid_arimax_svr,10,1.0004728301703008,1.3374423211920072,414,hybrid
SGDPHP_RET,hybrid_var_mlp,10,0.9150066652939197,1.1844668953626927,414,hybrid
SGDPHP_RET,hybrid_var_svr,10,0.9088610595703653,1.2139051370687268,414,hybrid
SGDPHP_RET,hybrid_varx_mlp,10,0.9038127086323232,1.1672367731822348,414,hybrid
SGDPHP_RET,hybrid_varx_svr,10,0.9391200687383133,1.247576383465682,414,hybrid
SGDPHP_RET,var,10,0.9578060286425603,1.2238837274530088,414,linear_or_baseline
SGDPHP_RET,varx,10,0.9370235044487903,1.1941016881434021,414,linear_or_baseline
USDPHP_RET,arima,10,1.1979575391329622,1.5050582240966575,414,linear_or_baseline
USDPHP_RET,arimax,10,1.1297655607527723,1.452287819015466,414,linear_or_baseline
USDPHP_RET,baseline_ar1,10,1.1118231281083486,1.3996816617606715,414,linear_or_baseline
USDPHP_RET,baseline_mean,10,0.9144034923604792,1.1689768559680254,414,linear_or_baseline
USDPHP_RET,baseline_rw,10,0.9190858935776819,1.1746959997931328,414,linear_or_baseline
USDPHP_RET,hybrid_arima_mlp,10,1.097543960723014,1.3913817298836266,414,hybrid
USDPHP_RET,hybrid_arima_svr,10,1.0837889558609428,1.388663033898112,414,hybrid
USDPHP_RET,hybrid_arimax_mlp,10,1.033680936400211,1.3548597382282903,414,hybrid
USDPHP_RET,hybrid_arimax_svr,10,1.0005577148896607,1.3220116862392353,414,hybrid
USDPHP_RET,hybrid_var_mlp,10,1.0212815940980315,1.3064347750147642,414,hybrid
USDPHP_RET,hybrid_var_svr,10,1.0034736556791968,1.2995075168404253,414,hybrid
USDPHP_RET,hybrid_varx_mlp,10,0.9626355792389123,1.2540098154216104,414,hybrid
USDPHP_RET,hybrid_varx_svr,10,0.9476563411112148,1.2226657722734973,414,hybrid
USDPHP_RET,var,10,1.0845390823241539,1.3783507234438228,414,linear_or_baseline
USDPHP_RET,varx,10,1.020488916846466,1.3174043823522852,414,linear_or_baseline
