equation,parameter,coef,std_err,t_stat,p_value,significant_5pct
CNYPHP_RET,L1.SGDPHP_RET,-0.19901701509159908,0.026800335575097874,-7.425915042516115,1.120028745795135e-13,True
CNYPHP_RET,L1.JPYPHP_RET,0.01975842536001515,0.014208196271712504,1.3906357275872343,0.16433591658003055,False
CNYPHP_RET,L1.USDPHP_RET,-0.23305599105485994,0.22631856533209754,-1.029769655498107,0.30311814845399876,False
CNYPHP_RET,L1.CNYPHP_RET,0.031855968827240046,0.035360369447618646,0.9008946830838441,0.3676443184526873,False
CNYPHP_RET,trend,3.5453579609091606e-06,7.950175463362869e-06,0.4459471337767807,0.6556354341453656,False
CNYPHP_RET,L1.HKDPHP_RET,0.06661365484311801,0.23129907821249468,0.28799792613924724,0.7733483261487987,False
CNYPHP_RET,const,0.0015568292079136178,0.01553549568521007,0.10021110619571237,0.9201767289318739,False
HKDPHP_RET,L1.SGDPHP_RET,-0.27721919122267574,0.025373313268492164,-10.925620485162195,8.69441143969384e-28,True
HKDPHP_RET,L1.CNYPHP_RET,0.16947119868766047,0.03347755586007324,5.062233318226766,4.1437346782770747e-07,True
HKDPHP_RET,trend,9.616287973669578e-06,7.52685696812023e-06,1.2775967464771907,0.20139164834556056,False
HKDPHP_RET,L1.JPYPHP_RET,0.015616415012240297,0.013451660482839578,1.1609284245734806,0.24567100827373678,False
HKDPHP_RET,L1.HKDPHP_RET,-0.1332337789750757,0.2189832270478078,-0.60842001815047,0.5429089380217642,False
HKDPHP_RET,const,-0.008170453219831784,0.014708285935360117,-0.5555000260220151,0.5785526923328488,False
HKDPHP_RET,L1.USDPHP_RET,-0.07435905956644884,0.21426790871912618,-0.3470377809302403,0.7285629354392062,False
JPYPHP_RET,L1.SGDPHP_RET,-0.3134225734246934,0.04154732620840519,-7.5437483474276315,4.566519512047779e-14,True
JPYPHP_RET,L1.CNYPHP_RET,0.28316180920843553,0.05481755257031222,5.165531767315506,2.3975630189638966e-07,True
JPYPHP_RET,L1.HKDPHP_RET,-0.8261375225485694,0.3585723106813318,-2.303963518484754,0.021224691555700042,True
JPYPHP_RET,L1.USDPHP_RET,0.5398900137498812,0.3508512508928381,1.538800310319492,0.12385305410260189,False
JPYPHP_RET,L1.JPYPHP_RET,-0.010428239899587797,0.022026312457161464,-0.47344465488126863,0.6358959776245383,False
JPYPHP_RET,const,-0.006912225468941782,0.02408396362180017,-0.2870053109814955,0.7741082536633562,False
JPYPHP_RET,trend,2.402079709765213e-06,1.2324790951397995e-05,0.19489821119381717,0.8454726346012597,False
SGDPHP_RET,L1.SGDPHP_RET,-0.3393105577785429,0.02682334332891279,-12.649823462267705,1.1212648497439646e-36,True
SGDPHP_RET,L1.JPYPHP_RET,0.06509368220044627,0.014220393830995206,4.57748800589236,4.70592762763574e-06,True
SGDPHP_RET,L1.CNYPHP_RET,0.1479940261316748,0.03539072588374519,4.181717736387199,2.893150045104794e-05,True
SGDPHP_RET,L1.HKDPHP_RET,-0.1929695946091242,0.23149764558618366,-0.8335704413774871,0.40452308798848824,False
SGDPHP_RET,trend,6.479966052565653e-06,7.957000589836897e-06,0.8143729511396806,0.41543132935849136,False
SGDPHP_RET,const,-0.0010735743141233932,0.015548832714484068,-0.06904533181602346,0.9449535360004497,False
SGDPHP_RET,L1.USDPHP_RET,0.013461466663419326,0.22651285699759982,0.05942915047670767,0.9526102953622942,False
USDPHP_RET,L1.SGDPHP_RET,-0.28747461423662396,0.025565688150923666,-11.244548260917348,2.4635461475053596e-29,True
USDPHP_RET,L1.CNYPHP_RET,0.1685135885751378,0.03373137532797351,4.995752083532421,5.86069118259698e-07,True
USDPHP_RET,trend,9.515077185113064e-06,7.583923942740329e-06,1.2546377385840375,0.20961029714565815,False
USDPHP_RET,L1.JPYPHP_RET,0.016665426495345647,0.013553648015035783,1.2295897367895199,0.21885077522422114,False
USDPHP_RET,L1.HKDPHP_RET,-0.17119998233305914,0.22064350972796154,-0.7759121604987932,0.4378008519988297,False
USDPHP_RET,const,-0.00782773172973024,0.014819800925446075,-0.5281941214399023,0.5973646091032928,False
USDPHP_RET,L1.USDPHP_RET,-0.028177299960601122,0.21589244089245774,-0.13051545410354154,0.896158628115239,False
