Date,USDSGD_RET,CNYSGD_RET,EURSGD_RET,MYRSGD_RET,JPYSGD_RET
2010-01-04,-0.4418116462104361,0,0,0.5917271363942079,0.0155546972923309
2010-01-05,-0.028154738230859577,-0.015761266044078216,0,-1.498184512811128,0.9752217193879943
2010-01-06,-0.25989861429709415,-0.27197894872595046,0,-0.45939125510509665,-1.021614398096214
2010-01-07,0.27961112978988134,0.2653180861739086,0,0.4993062843291592,-0.887228386638312
2010-01-08,-0.19178163950379162,-0.17767749514990086,0,0.06491138735610812,0.5190696481112171
2010-01-11,-0.47291457271714854,-0.4670347523697332,0,0.27474661166729836,0.15800515595041323
2010-01-12,0.21271189970186075,0.1623820328352025,0,0.01812971624862979,1.3699966908054877
2010-01-13,-0.27190227323793076,-0.2632643236957087,0,0.22110082396079134,-0.5568780509133869
2010-01-14,-0.047987321162813804,-0.07513922408265994,0,0.21348133689777415,0.09557286164959487
2010-01-15,0.2603937894508946,0.23376517216660544,0,0.26978778642918555,0.8364882054479227
2010-01-18,-0.23274558298830064,-0.19233793839468605,0,-0.13809308468462328,-0.14367046761343327
2010-01-19,0.20858224692972568,0.19139906707479665,0,0.2259952484367058,-0.31633485083713053
2010-01-20,0.7003971664253493,0.6923434064340125,0,0.0559993541811251,0.6556838147845153
2010-01-21,0.3039832694484624,0.38989724973405726,0,0.011473664420434267,1.2177410877931434
2010-01-22,0.07003965123650029,0.12606857781165698,0,-0.8155458295402891,0.7794342122899479
2010-01-25,-0.3507447337394801,-0.3476039102546329,0,0.7305605821847784,-0.9861393094597993
2010-01-26,0.1917290293039764,0.19176241834488728,0,-1.4989658688293517,1.0293081818237886
2010-01-27,0.16621466360037293,0.17878494323248534,0,-0.9864394328116761,-0.12526400801248477
2010-01-28,-0.034371839723448774,-0.03318228802981127,0,0.17453766823909297,0.11098324827286657
2010-01-29,0.12911655361666705,0.12960467929062344,0,0.2306495515759211,-0.3839760030727759
2010-02-01,0.2181515145836992,0.2487845781493297,0,0.47084744256845223,-0.3641451569766345
2010-02-02,-0.11583262648206855,-0.06908310868885345,0,-0.1294419390283455,0.2262853879048588
