Pair,Parameter,Estimate,Std. Error,t-value,P-value
USDPHP_RET,coefs_L0_mean,-0.020819501664729997,0.016478299272196677,-1.2634496631492849,0.20642762580374785
USDPHP_RET,coefs_L1_mean,0.03292548006967291,0.014837720005099943,2.2190390476674273,0.026484068144074193
USDPHP_RET,intercepts_L0_mean,0.0002045596870645139,0.014342855302646933,0.014262131406064103,0.988620851317324
USDPHP_RET,intercepts_L1_mean,-0.18848492910442505,0.001,-188.48492910442505,0.0
CNYPHP_RET,coefs_L0_mean,-0.021759077231341253,0.016677150267742736,-1.3047239415614116,0.19198686603169035
CNYPHP_RET,coefs_L1_mean,0.03298031631352831,0.014997948501582837,2.19898850233068,0.02787873985904163
CNYPHP_RET,intercepts_L0_mean,-0.0014249037396646983,0.01436282108302157,-0.09920779012899429,0.9209732897462758
CNYPHP_RET,intercepts_L1_mean,-0.1902799806691148,0.001,-190.2799806691148,0.0
JPYPHP_RET,coefs_L0_mean,-0.009276128739050912,0.014512391552658016,-0.6391867739643466,0.5227014351283847
JPYPHP_RET,coefs_L1_mean,0.030123692739065948,0.013309405848596667,2.2633386555149766,0.023614821130809822
JPYPHP_RET,intercepts_L0_mean,0.002114437495628246,0.014322341508614302,0.14763210990022116,0.8826331127281433
JPYPHP_RET,intercepts_L1_mean,-0.18917503921245393,0.001,-189.17503921245392,0.0
HKDPHP_RET,coefs_L0_mean,-0.020982402357330253,0.016523128985459833,-1.2698806851773976,0.20412713422570117
HKDPHP_RET,coefs_L1_mean,0.03310367081039052,0.01487242324806257,2.225842437257354,0.026024737157564027
HKDPHP_RET,intercepts_L0_mean,0.000704332679297201,0.014337358218302218,0.04912569446706659,0.9608191269007527
HKDPHP_RET,intercepts_L1_mean,-0.18847543719291127,0.001,-188.47543719291127,0.0
SGDPHP_RET,coefs_L0_mean,-0.022483802806893535,0.01616452796790273,-1.3909346967346488,0.16424523019102089
SGDPHP_RET,coefs_L1_mean,0.023006561922606698,0.015425156645954072,1.4914961611518665,0.13583127833421604
SGDPHP_RET,intercepts_L0_mean,0.003485097633985068,0.014381074960910336,0.24233916056053,0.8085173721834211
SGDPHP_RET,intercepts_L1_mean,-0.18513840173417712,0.001,-185.1384017341771,0.0
