Date,Actual,Forecast,Set,Pair
2022-12-30,-0.881992992121528,-0.18435162788428777,val,USDPHP_RET
2023-01-02,0.03592641634262156,0.23111922862718334,val,USDPHP_RET
2023-01-03,0.14360410360407533,-0.0016669243517172033,val,USDPHP_RET
2023-01-04,0.2418567463047332,-0.02897419593583031,val,USDPHP_RET
2023-01-05,0.27697600025639085,-0.05389125782971212,val,USDPHP_RET
2023-01-06,-0.22867340094045904,-0.06279756915455294,val,USDPHP_RET
2023-01-09,-0.7179771507775324,0.0654361055834582,val,USDPHP_RET
2023-01-10,-1.4735508913019244,0.18952449124392032,val,USDPHP_RET
2023-01-11,0.05482734161508755,0.3811394660736204,val,USDPHP_RET
2023-01-12,0.5284767024587796,-0.00646023587923011,val,USDPHP_RET
2023-01-13,0,-0.126578637947013,val,USDPHP_RET
2023-01-16,-0.35504555965227846,0.0074440849303616255,val,USDPHP_RET
2023-01-17,-0.4570391804197627,0.09748433160297856,val,USDPHP_RET
2023-01-18,0.13733261278201925,0.1233501128337922,val,USDPHP_RET
2023-01-19,0,-0.02738373362677899,val,USDPHP_RET
2023-01-20,0.12069214330337204,0.0074440849303616255,val,USDPHP_RET
2023-01-23,-0.4873300585799054,-0.02316367809905192,val,USDPHP_RET
2023-01-24,-0.30349205177643224,0.1310319386370513,val,USDPHP_RET
2023-01-25,0.6884234835390814,0.08441026141737751,val,USDPHP_RET
2023-01-26,-0.1922805007367206,-0.1671414537080832,val,USDPHP_RET
2023-01-27,-0.37647872088033263,0.05620679508402322,val,USDPHP_RET
2023-01-30,0.07357167209396862,0.10291982310958409,val,USDPHP_RET
2023-01-31,0.4402899746324817,-0.01121383466155098,val,USDPHP_RET
2023-02-01,0.00914703418180217,-0.10421431170531222,val,USDPHP_RET
2023-02-02,-0.993288959580076,0.0051243792146812555,val,USDPHP_RET
2023-02-03,-0.6398115697678428,0.2593441031290631,val,USDPHP_RET
2023-02-06,-0.34478229310933795,0.16970154738760584,val,USDPHP_RET
2023-02-07,2.261186818339792,0.0948815471825841,val,USDPHP_RET
2023-02-08,0.49158123961026295,-0.5659973041003381,val,USDPHP_RET
2023-02-09,-0.5463554887261054,-0.1172218765802905,val,USDPHP_RET
2023-02-10,-0.2468316353164088,0.14600090288920586,val,USDPHP_RET
2023-02-13,-0.45871640069060426,0.07004106925051816,val,USDPHP_RET
2023-02-14,0.5227688299491512,0.12377545916697487,val,USDPHP_RET
2023-02-15,0.4872819298484906,-0.12513111034169347,val,USDPHP_RET
2023-02-16,0.8339930904026887,-0.11613156323613517,val,USDPHP_RET
