Date,USDMYR_RET,CNYMYR_RET,EURMYR_RET,JPYMYR_RET,SGDMYR_RET
2010-01-04,-1.0616276712351895,0,-0.8236623973514839,-0.6145910061067597,-0.5833112372197645
2010-01-05,1.5576220943377548,1.7487607976638155,1.1718821320703179,2.6513160053309512,1.5106581313378133
2010-01-06,-0.12606402158631624,0.006229052911357739,0.09508836217383408,-0.8687612862695474,0.47395210726463277
2010-01-07,-0.3978387124096068,-0.3468283739916847,-0.9336218685774428,-1.6108185840555578,-0.44204820996533317
2010-01-08,-0.2058292682120532,-0.21650506103672468,0.31078821581600896,0.41353810845912947,-0.11682724808628706
2010-01-11,-0.7211659588746948,-0.7309546691448301,0.071997709846708,-0.0022248130018231865,-0.2733891639915897
2010-01-12,0.24305699955428292,0.1821951905187703,0.15038511957969247,1.4787019291309151,0.02341349703370732
2010-01-13,-0.4238954154737559,-0.43407324314569384,-0.11901683780873934,-0.6464042504686421,-0.20190928161810837
2010-01-14,-0.22174147246965986,-0.25673636028688335,-0.3327259676898801,-0.06283551245812818,-0.186311784445302
2010-01-15,0.03870587819016961,0.008299682344991028,-0.7525324023598076,0.6343633716241853,-0.258762182708443
2010-01-18,0.0618928380566512,0.056074114339601785,-0.005847788393381088,0.1970413938835856,0.160679332786686
2010-01-19,-0.05493750240651195,-0.05141184612125232,-0.9436825885862897,-0.5831475220801933,-0.204317764176054
2010-01-20,0.7301309231946113,0.7205856817035582,-0.6695685232291397,0.6599669877055204,-0.029387005020293937
2010-01-21,0.44226094657036175,0.4876595500870996,0.06383284052294691,1.2874009917021156,-0.006247040555318674
2010-01-22,0.9592536791571686,1.0237164823126197,1.2128421965415244,1.7232209261661071,0.8412451598019168
2010-01-25,-1.2874791508891785,-1.1908425491863135,-1.1267306572279625,-1.8810715055751885,-0.7112399347703914
2010-01-26,1.8083332408923951,1.7547137672280082,1.3308964377287662,2.6409113216718003,1.5193383105349176
2010-01-27,0.820603434660506,0.919972926076434,0.39839707370143335,0.5135669806886166,0.9653424284759545
2010-01-28,-0.46183935592349545,-0.3521940568176707,-0.9540947639899485,-0.3343153995964382,-0.10517677389032169
2010-01-29,-0.20243227726016905,-0.19408308981268163,-1.0398514258631937,-0.706895584811312,-0.27682092924495716
2010-02-01,-0.1636275441870107,-0.18391497697443926,0.070443764422221,-0.7768765905682887,-0.48793331292779885
2010-02-02,0.21084123490799098,0.21903631860123499,0.6060292927372575,0.49259428826902524,0.15838560415044362
2010-02-03,-0.41667994305437206,-0.4288414967003147,-0.8634160999164491,-0.8340483915532293,-0.7147958530547408
2010-02-04,0.6325232846314207,0.6008982968064509,-0.6077405453342024,2.173516980937086,-0.2015290250014493
2010-02-05,0.12814490223064237,0.13853515818433065,-0.6015065778157836,0.5453125176719527,-0.18812944619606953
2010-02-08,0.8017872107611402,0.8435550673144551,0.4667713182674441,0.8574200134647745,0.6116218952060272
2010-02-09,-0.37144616793377205,-0.29208708540935474,0.5146707814515474,-1.0088011838932793,0.22166518938047403
2010-02-10,-0.36796806773601987,-0.3999235486015936,-0.38437132490467774,-0.623874049146435,-0.26779916885315724
2010-02-11,-0.2575413658095748,-0.36730785069877037,-0.799189170150389,-0.1486473752298051,0.16333731999889217
2010-02-12,-0.07120098102278306,-0.12034290922036332,-0.5486812426821508,-0.20192309232014477,0.02110631814742927
2010-02-15,0.2156744572679383,0.19540046844138317,-0.130262834824689,0.08551904289899555,0.1636258693093511
2010-02-16,-0.13139373926373785,-0.12173472238565772,0.9974860026443285,-0.373897083588038,0.46032550745770884
2010-02-17,-0.6348054214349578,-0.6392554812279262,-1.5574489707510195,-1.5525700045790018,-0.5266828324099478
2010-02-18,0.6316910666323159,0.5818593662455422,-0.6707109615011726,-0.4944880344196588,-0.08587335605891691
