Date,Pair,rolling_vol_252,rolling_autocorr_l1,rolling_lb_pvalue_l1,rolling_arch_pvalue
2010-12-21,USDPHP_RET,0.5541657395283363,-0.150337191883097,0.01656002111529373,6.845145336428449e-10
2010-12-22,USDPHP_RET,0.5546572592142915,-0.15247935522157222,0.01498266928373283,6.662735280712577e-10
2010-12-23,USDPHP_RET,0.5550360349966762,-0.15071762271105074,0.01619543731638655,6.017380795995091e-10
2010-12-24,USDPHP_RET,0.5548996657523423,-0.15101038784958373,0.015890533313815083,5.523928421941608e-10
2010-12-27,USDPHP_RET,0.5549686768645856,-0.15117441039379573,0.015797358087870122,4.711402341044394e-10
2010-12-28,USDPHP_RET,0.5553561665189999,-0.15187602908981113,0.015691639467551272,4.6460681357981406e-10
2010-12-29,USDPHP_RET,0.5537256139992985,-0.15173464089277205,0.01539435430297841,4.3874897149291234e-10
2010-12-30,USDPHP_RET,0.5537288268807709,-0.15220879816322275,0.015344542867809452,4.4088571644046437e-10
2010-12-31,USDPHP_RET,0.5525813030580169,-0.15100157614951418,0.015978173638931566,4.3863881891307807e-10
2011-01-03,USDPHP_RET,0.5525402945027138,-0.14960513503574507,0.01704437165502499,4.4019009340245364e-10
2011-01-04,USDPHP_RET,0.5518274017830426,-0.1505655313832107,0.01621085978836067,4.3259913874407506e-10
2011-01-05,USDPHP_RET,0.5522819508331523,-0.15087390645305254,0.016104435579882552,6.08995539573047e-11
2011-01-06,USDPHP_RET,0.5529712783497618,-0.15390675625505237,0.014205690861776367,8.440801846076462e-08
2011-01-07,USDPHP_RET,0.5529550125270563,-0.15215381403048464,0.015197669003231428,2.674159811953689e-09
2011-01-10,USDPHP_RET,0.5542344754945326,-0.14980880201386065,0.01713073027726448,5.332094617727471e-10
2011-01-11,USDPHP_RET,0.5545408915884664,-0.13901503094303802,0.030262471190462055,1.5738623100793774e-09
2011-01-12,USDPHP_RET,0.5435864391493148,-0.08876786595757889,0.17450215994085821,1.5488868639822568e-09
2011-01-13,USDPHP_RET,0.5219766466940151,-0.08586418272037359,0.17051803485244038,1.2239495725351868e-09
2011-01-14,USDPHP_RET,0.5226312701712098,-0.08905046905991137,0.15772546096084847,9.356722164358528e-10
2011-01-17,USDPHP_RET,0.527858936023714,-0.08292153017766125,0.19639547750541753,1.5605922194121433e-09
2011-01-18,USDPHP_RET,0.5394054580733837,-0.12379502841179416,0.05557847283695584,4.807853395139136e-11
2011-01-19,USDPHP_RET,0.5395205577925392,-0.11503763588655212,0.06701151276780853,9.964551255767027e-10
2011-01-20,USDPHP_RET,0.5387782575234367,-0.11906402887236939,0.05779318833048952,2.2082032015055478e-09
2011-01-21,USDPHP_RET,0.5442909677013232,-0.10772261619701859,0.08938110774596704,7.619118092811346e-10
