response,shock,step,irf
CNYPHP_RET,HKDPHP_RET,1,0.06720682080154836
CNYPHP_RET,HKDPHP_RET,2,0.05474933421524305
CNYPHP_RET,HKDPHP_RET,3,-0.018191193650323387
CNYPHP_RET,HKDPHP_RET,4,0.004876102168814016
CNYPHP_RET,HKDPHP_RET,5,-0.001283235930154218
CNYPHP_RET,HKDPHP_RET,6,0.00034569918555918486
CNYPHP_RET,HKDPHP_RET,7,-9.624989016309438e-05
CNYPHP_RET,HKDPHP_RET,8,2.7421082904896775e-05
CNYPHP_RET,HKDPHP_RET,9,-7.906397241575939e-06
CNYPHP_RET,HKDPHP_RET,10,2.290978657070641e-06
CNYPHP_RET,SGDPHP_RET,0,0.0
CNYPHP_RET,SGDPHP_RET,1,-0.19898621886960616
CNYPHP_RET,SGDPHP_RET,2,0.10345435603962078
CNYPHP_RET,SGDPHP_RET,3,-0.03607009414840164
CNYPHP_RET,SGDPHP_RET,4,0.011181097969979317
CNYPHP_RET,SGDPHP_RET,5,-0.0033053011367682197
CNYPHP_RET,SGDPHP_RET,6,0.0009604845751746519
CNYPHP_RET,SGDPHP_RET,7,-0.00027786754959952784
CNYPHP_RET,SGDPHP_RET,8,8.038390944446499e-05
CNYPHP_RET,SGDPHP_RET,9,-2.327680773860341e-05
CNYPHP_RET,SGDPHP_RET,10,6.7459553661847035e-06
JPYPHP_RET,USDPHP_RET,0,0.0
JPYPHP_RET,USDPHP_RET,1,0.5397950711665243
JPYPHP_RET,USDPHP_RET,2,-0.029472603444951492
JPYPHP_RET,USDPHP_RET,3,0.005421551693898762
JPYPHP_RET,USDPHP_RET,4,-0.00013951616508949832
JPYPHP_RET,USDPHP_RET,5,-0.00015628631035037504
JPYPHP_RET,USDPHP_RET,6,6.640373699007824e-05
JPYPHP_RET,USDPHP_RET,7,-2.1017221465207947e-05
JPYPHP_RET,USDPHP_RET,8,6.120418631780674e-06
JPYPHP_RET,USDPHP_RET,9,-1.7484226629532307e-06
JPYPHP_RET,USDPHP_RET,10,5.000513668351476e-07
JPYPHP_RET,CNYPHP_RET,0,0.0
JPYPHP_RET,CNYPHP_RET,1,0.2829445121841119
JPYPHP_RET,CNYPHP_RET,2,-0.08896085654529923
JPYPHP_RET,CNYPHP_RET,3,0.02342678698017527
JPYPHP_RET,CNYPHP_RET,4,-0.006086307130398661
JPYPHP_RET,CNYPHP_RET,5,0.0016314499110413208
JPYPHP_RET,CNYPHP_RET,6,-0.00045358782376491157
JPYPHP_RET,CNYPHP_RET,7,0.00012922880573773763
JPYPHP_RET,CNYPHP_RET,8,-3.7274841016965484e-05
JPYPHP_RET,CNYPHP_RET,9,1.0804215317212494e-05
JPYPHP_RET,CNYPHP_RET,10,-3.135896111634675e-06
JPYPHP_RET,JPYPHP_RET,0,1.0
JPYPHP_RET,JPYPHP_RET,1,-0.010474830201056606
JPYPHP_RET,JPYPHP_RET,2,-0.018525001373802506
JPYPHP_RET,JPYPHP_RET,3,0.007827552393255515
JPYPHP_RET,JPYPHP_RET,4,-0.0025108939946637816
JPYPHP_RET,JPYPHP_RET,5,0.0007341586950132683
JPYPHP_RET,JPYPHP_RET,6,-0.0002102205322609422
JPYPHP_RET,JPYPHP_RET,7,6.0184993699712655e-05
JPYPHP_RET,JPYPHP_RET,8,-1.7312241226378888e-05
JPYPHP_RET,JPYPHP_RET,9,5.000632083210848e-06
JPYPHP_RET,JPYPHP_RET,10,-1.4480240983821356e-06
JPYPHP_RET,HKDPHP_RET,0,0.0
JPYPHP_RET,HKDPHP_RET,1,-0.8257356359326067
JPYPHP_RET,HKDPHP_RET,2,0.10493625624581358
JPYPHP_RET,HKDPHP_RET,3,-0.023867146278890836
JPYPHP_RET,HKDPHP_RET,4,0.005045353057951889
JPYPHP_RET,HKDPHP_RET,5,-0.0011976261722364068
JPYPHP_RET,HKDPHP_RET,6,0.0003184383533408653
JPYPHP_RET,HKDPHP_RET,7,-8.99630991154124e-05
JPYPHP_RET,HKDPHP_RET,8,2.605687576502071e-05
JPYPHP_RET,HKDPHP_RET,9,-7.593828070587196e-06
JPYPHP_RET,HKDPHP_RET,10,2.212216058017721e-06
JPYPHP_RET,SGDPHP_RET,0,0.0
JPYPHP_RET,SGDPHP_RET,1,-0.3134017081183408
JPYPHP_RET,SGDPHP_RET,2,0.12701166491679625
JPYPHP_RET,SGDPHP_RET,3,-0.040192887541207666
JPYPHP_RET,SGDPHP_RET,4,0.01157715966239305
JPYPHP_RET,SGDPHP_RET,5,-0.003287742575402497
