index,Pair_A,Pair_B,mean,std,min,max
0,CNYPHP_RET,HKDPHP_RET,0.8331008652502602,0.1386913367183741,0.3249167281426001,0.9964150230201501
1,CNYPHP_RET,JPYPHP_RET,0.5408507780228959,0.15207941327365787,0.1894553622011126,0.8711662366386899
2,CNYPHP_RET,SGDPHP_RET,0.7145769577261781,0.16325203146004919,0.09545210487352417,0.9581406333095626
3,HKDPHP_RET,SGDPHP_RET,0.7391496389866983,0.15949409235205347,0.13173470219738706,0.9592419638370754
4,JPYPHP_RET,HKDPHP_RET,0.5817567257747805,0.1673210301941046,0.09328075878974622,0.8766466095206972
5,JPYPHP_RET,SGDPHP_RET,0.638966058677915,0.13273502274868296,0.19128541602262936,0.886806121029762
6,USDPHP_RET,CNYPHP_RET,0.8310756692062755,0.13756916741907974,0.3563332148387131,0.9968728622085195
7,USDPHP_RET,HKDPHP_RET,0.9962466088427778,0.0034161545167260246,0.9844470875458323,0.9999098284421495
8,USDPHP_RET,JPYPHP_RET,0.5803815507945426,0.1700973096877866,0.0838080409342853,0.8796233597495823
9,USDPHP_RET,SGDPHP_RET,0.7325249991077981,0.16216619671278162,0.12180311832290197,0.9606210993234177
