Pair,Date,ar1,ma1,const,aic
USDPHP_RET,251,0.25476686049814373,-0.4271219753850692,-0.0129061272187044,416.7985912489286
USDPHP_RET,252,0.25986423403937337,-0.4342351644385805,-0.013578514403857676,416.9681455314999
USDPHP_RET,253,0.27243806798993786,-0.44644622888715974,-0.01441805198617551,417.3141913394844
USDPHP_RET,254,0.27794499358971375,-0.45219289852408096,-0.013677133495596586,417.12111846738134
USDPHP_RET,255,0.2780080684657664,-0.4525303668363132,-0.013846137554718304,417.1706996381337
USDPHP_RET,256,0.27016382651029036,-0.4455931641513055,-0.014364256656718557,417.51012216322874
USDPHP_RET,257,0.25476792213524374,-0.4279272055042906,-0.012930709817873238,416.27101404473353
USDPHP_RET,258,0.2536633890848346,-0.42766006435129206,-0.013566767716851077,416.2349745704115
USDPHP_RET,259,0.2652797808895335,-0.43878815053823905,-0.016571301476415425,415.15225611137765
USDPHP_RET,260,0.2658409284286332,-0.43793506995474224,-0.016945173047672058,415.2642723394159
USDPHP_RET,261,0.2728035850827587,-0.44616026492328303,-0.018566547040060905,414.4354786887698
USDPHP_RET,262,0.2679907453649081,-0.441910706813947,-0.020359458278692837,414.8445659662959
USDPHP_RET,263,0.26815502905448746,-0.4454054500131341,-0.019947477262668538,415.1577291517207
USDPHP_RET,264,0.2797068786704514,-0.4556529671527964,-0.019895554417402365,415.20702361337896
USDPHP_RET,265,0.28843616876953426,-0.46014154186870776,-0.01820157862256094,416.76615475475035
USDPHP_RET,266,0.3207468379254005,-0.4821590939377389,-0.017128766811504496,417.8679838236665
USDPHP_RET,267,0.46411484398202174,-0.5829161888800413,-0.014175535220312827,410.71968955344687
USDPHP_RET,268,0.5157226363812454,-0.6236959674581073,-0.022310319079668354,390.495552631288
USDPHP_RET,269,0.4919221535305545,-0.6030528308142149,-0.02058288618263881,391.0270899539138
USDPHP_RET,270,0.547636864402868,-0.6512166089770592,-0.02266135036717058,396.4110804581269
USDPHP_RET,271,0.3981593284901207,-0.5354106784106337,-0.020242381059388168,405.59646406945603
USDPHP_RET,272,0.4328583471719488,-0.5626302210029368,-0.018851931666201794,406.0410303978671
USDPHP_RET,273,0.4211305659058222,-0.5549074137752679,-0.01790475791632597,404.99964456482235
USDPHP_RET,274,0.4900292316177847,-0.6186917833823155,-0.02103826443602463,410.2461846203511
USDPHP_RET,275,0.3771730690877369,-0.5325638566670702,-0.01851500359499533,416.0757606393824
USDPHP_RET,276,0.3993745257013258,-0.5480131287759001,-0.018154196786039325,416.3336815586824
USDPHP_RET,277,0.40088343317422154,-0.5496560606656559,-0.01669934453996753,415.7022288146826
USDPHP_RET,278,0.4083995811656812,-0.5578594480887119,-0.017288994710756702,415.97471653989015
USDPHP_RET,279,0.42166170016413007,-0.569543197870801,-0.018414467647964932,416.4863351624724
USDPHP_RET,280,0.44040499685532947,-0.5843236837999496,-0.018113796643769182,416.2770433350102
USDPHP_RET,281,0.43941838996013616,-0.5825157272605217,-0.018429127324865947,415.8884328228246
USDPHP_RET,282,0.4265386139973029,-0.5728311567789766,-0.01821163838674559,415.760927564741
USDPHP_RET,283,0.42298395588882276,-0.5682630122087021,-0.018032390206361756,415.51971524090334
USDPHP_RET,284,0.4261430985795703,-0.569735947233132,-0.01879311316476897,415.72696508707577
USDPHP_RET,285,0.4243851210488165,-0.5658203785241038,-0.021069198322137887,416.15601343646824
USDPHP_RET,286,0.4238437742428981,-0.5644036948020615,-0.021243143056092696,416.1905616305497
USDPHP_RET,287,0.41042885352067443,-0.5494352165433868,-0.023664827638712083,417.07938102120687
USDPHP_RET,288,0.41272838993824457,-0.5527768897751033,-0.022730372961519918,417.1297030106808
USDPHP_RET,289,0.4260999652214472,-0.5656029899961549,-0.021692814889304208,417.48625335385594
USDPHP_RET,290,0.4321782064792771,-0.5704052784440622,-0.021625339206573925,417.52296016748693
