Pair,Lag,ACF,PACF,SqACF,sig_bound
USDPHP_RET,1,-0.2566437423016044,-0.2567044289278285,0.35777163398320727,0.03013601946227691
USDPHP_RET,2,-0.027563272216934817,-0.10006764873579672,0.039963096596117124,0.03013601946227691
USDPHP_RET,3,0.044384284862608495,0.011830927926705677,0.06748840603567648,0.03013601946227691
USDPHP_RET,4,-0.03631925731902076,-0.02540921165485468,0.054177671075110415,0.03013601946227691
USDPHP_RET,5,0.02975939353144645,0.019041203040971035,0.013954003589438269,0.03013601946227691
USDPHP_RET,6,-0.0055941545254678355,0.0034501185531654113,0.024841572494395052,0.03013601946227691
USDPHP_RET,7,-0.011656568142330487,-0.00837963937701951,0.03243232602999411,0.03013601946227691
USDPHP_RET,8,0.013063734915516038,0.005826477118455165,0.019773795953477145,0.03013601946227691
USDPHP_RET,9,-0.031440904266289586,-0.028633774930137586,0.006437767356211988,0.03013601946227691
USDPHP_RET,10,0.05677905977394578,0.045380514941992016,0.01107401187552583,0.03013601946227691
USDPHP_RET,11,-0.03196752155393366,-0.00960126770628747,0.03961423082691731,0.03013601946227691
USDPHP_RET,12,0.03124757787816057,0.031055071537478267,0.022779372488504777,0.03013601946227691
USDPHP_RET,13,-0.01306394773692206,-0.004014793149235559,0.0030769774712182396,0.03013601946227691
USDPHP_RET,14,-0.000822631369318517,0.002698257809482301,-0.002133469734593603,0.03013601946227691
USDPHP_RET,15,0.01690527340883325,0.01253830530674915,0.009893057145610996,0.03013601946227691
USDPHP_RET,16,-0.02870229675585694,-0.020433444492777144,-0.002396105349332303,0.03013601946227691
USDPHP_RET,17,0.0158246958817856,0.00458300322057947,8.57930900862061e-05,0.03013601946227691
USDPHP_RET,18,-0.0014454438631321322,-0.0010644553741582306,0.002163775977482689,0.03013601946227691
USDPHP_RET,19,-0.011023277067536044,-0.005659492408122985,-0.007402952906216347,0.03013601946227691
USDPHP_RET,20,0.052656218177972836,0.04604184115073721,-0.001688605674268561,0.03013601946227691
USDPHP_RET,21,-0.027419632204400655,0.0025186472740181356,-0.0038997660707859173,0.03013601946227691
USDPHP_RET,22,-0.034856646859418736,-0.042639891291041905,0.0006523880861376585,0.03013601946227691
USDPHP_RET,23,-0.0006631042167718934,-0.027664127243739966,0.0077277592701002875,0.03013601946227691
USDPHP_RET,24,0.014817824739799148,0.0064009806663506185,0.06774432275266203,0.03013601946227691
USDPHP_RET,25,0.02309910653277642,0.028373487885095257,0.057533226290621235,0.03013601946227691
USDPHP_RET,26,-0.03304399982784972,-0.0169211708055255,0.004686651285897677,0.03013601946227691
USDPHP_RET,27,0.010832351992125561,-0.0002977420484196726,-0.005558297935647714,0.03013601946227691
USDPHP_RET,28,-0.010981983082139228,-0.012351193836860872,-0.0045836335396132995,0.03013601946227691
USDPHP_RET,29,-0.0037852503893905346,-0.007326939484154581,-0.00402421042606363,0.03013601946227691
USDPHP_RET,30,0.03823758862542257,0.0296666060878494,-0.0075401212592699435,0.03013601946227691
USDPHP_RET,31,-0.03203503047685127,-0.011506464027926646,-0.010727200760291518,0.03013601946227691
USDPHP_RET,32,-0.0004907204493209536,-0.009135746159998267,0.010973441572281088,0.03013601946227691
USDPHP_RET,33,-0.012693350443294121,-0.01997875490647639,0.014268308123677022,0.03013601946227691
USDPHP_RET,34,-0.03601905015951188,-0.04496311034361171,0.014592109805823176,0.03013601946227691
USDPHP_RET,35,0.003865841883411607,-0.027798461599652796,0.023560454593240295,0.03013601946227691
USDPHP_RET,36,-0.008393464639690486,-0.014015174976252695,0.014058670181874905,0.03013601946227691
USDPHP_RET,37,0.012385459416811722,0.006108914917214221,-0.003994578697235572,0.03013601946227691
USDPHP_RET,38,-0.007978936230149359,-0.004274615834132727,-0.00947277969830183,0.03013601946227691
USDPHP_RET,39,-0.000832538786671996,-0.0004823658330107849,0.02004245348592228,0.03013601946227691
USDPHP_RET,40,0.02579269023126474,0.021089057521197208,0.03655752992196065,0.03013601946227691
CNYPHP_RET,1,-0.26100177974832317,-0.2610634968870672,0.3537784811539095,0.03013601946227691
CNYPHP_RET,2,-0.032951588204135976,-0.10851722402767566,0.033500105733812714,0.03013601946227691
CNYPHP_RET,3,0.045480182921853414,0.008298752860904807,0.055597701203330546,0.03013601946227691
CNYPHP_RET,4,-0.031694941164712144,-0.021640484456975532,0.04702055002474474,0.03013601946227691
CNYPHP_RET,5,0.003859130743427969,-0.00644376407575304,0.02831569759424705,0.03013601946227691
CNYPHP_RET,6,0.028243581857551964,0.025469493553633083,0.029765822138775454,0.03013601946227691
CNYPHP_RET,7,-0.025264301562782435,-0.009862664872777623,0.02465503430309559,0.03013601946227691
