Date,USDIDR,CNYIDR,INRIDR,JPYIDR,SGDIDR,REF_RATE,TARGET_RATE,USDIDR_RET,CNYIDR_RET,INRIDR_RET,JPYIDR_RET,SGDIDR_RET,IR_DIFF_LAGGED
2010-01-04,9364.2001953125,1373.674324456188,202.30298478150993,101.24006613598955,7025.850055277451,0.12,0.0,-0.22826295295985038,0.0,0.46497846147075406,0.2301639969162586,0.0,-0.05
2010-01-05,9305.2001953125,1364.9993127585244,201.76063336548364,101.6017938344895,7025.850055277451,0.12,0.0,-0.6320523978427101,-0.6335213217090955,-0.26844868845984593,0.35666019036054925,0.0,-0.12
2010-01-06,9218.099609375,1351.9645541918949,201.62072098110139,99.81050856625775,7025.850055277451,0.12,0.0,-0.9404504469551979,-0.9595165199782439,-0.06936978543273405,-1.7787716810548975,0.0,-0.12
2010-01-07,9272.5,1360.0428200856304,202.9526364853486,99.28793297569916,7025.850055277451,0.1,0.0,0.5884130177801348,0.5957424645982923,0.6584320452997425,-0.5249431251612054,0.0,-0.12
2010-01-08,9212.7001953125,1351.3311390780966,202.39685136215897,99.42477693943549,7025.850055277451,0.11,0.0,-0.6470042267800918,-0.6426049019533493,-0.2742253231554591,0.13773048078017763,0.0,-0.1
2010-01-11,9148.099609375,1342.052278811467,201.68656608968232,99.33652569618471,7025.850055277451,0.11,0.0,-0.703682336202941,-0.6890141903845046,-0.35155414616719394,-0.08880123834959935,0.0,-0.11
2010-01-12,9171.0,1345.3921613918167,201.0390633930636,100.69169758045669,7025.850055277451,0.11,0.0,0.25001668250286746,0.2485546677618823,-0.3215604903953874,1.3550014057661008,0.0,-0.11
2010-01-13,9141.0,1340.9517431123095,200.95410236786637,99.97484643666475,7025.850055277451,0.11,0.0,-0.32765429051254114,-0.33059224593083025,-0.04226988600735768,-0.7144730545253601,0.0,-0.11
2010-01-14,9155.7998046875,1343.08345643641,200.94813466803225,100.31884444685195,7025.850055277451,0.11,0.0,0.16177482481317965,0.15884395053212502,-0.002969727105060824,0.34349394321937393,0.0,-0.11
2010-01-15,9226.099609375,1353.3958820770572,201.43002263183206,101.66500946969697,7025.850055277451,0.12,0.0,0.764884475139768,0.764884475139768,0.23952005616581484,1.3329629361848678,0.0,-0.11
2010-01-18,9130.0,1339.3380827716207,200.05258561545364,100.65597062668445,7025.850055277451,0.12,0.0,-1.047068706433405,-1.044137832152363,-0.6861778780366962,-0.9974716499580802,0.0,-0.12
2010-01-19,9229.9501953125,1354.0004160643364,201.31631219080674,101.20670674652521,7025.850055277451,0.13,0.0,1.0887957935849852,1.0887957935849852,0.6297103528403083,0.5456555847518506,0.0,-0.12
2010-01-20,9294.9501953125,1363.4357310955356,201.5471223635407,101.92725303148623,7025.850055277451,0.13,0.0,0.7017610392817889,0.6944305173775134,0.1145848335643391,0.7094326402194076,0.0,-0.13
2010-01-21,9183.0,1346.9352013564649,199.1628277009161,101.58972740610623,7025.850055277451,0.12,0.0,-1.2117314304159588,-1.2175996575244656,-1.1900492119877648,-0.331693143353354,0.0,-0.13
2010-01-22,9240.0,1355.4349595017168,199.90048429151506,102.88386873601291,7025.850055277451,0.11,0.0,0.6187937022207695,0.6290615769524907,0.3696944362385224,1.2658442312010247,0.0,-0.12
2010-01-25,9319.9501953125,1367.183103893901,202.26464634573304,103.07968922126004,7025.850055277451,0.12,0.0,0.8615399179038583,0.8630088417702593,1.1757306181283578,0.1901506714994244,0.0,-0.11
2010-01-26,9379.9501953125,1376.045302259195,204.5879925563148,104.6519076508708,7025.850055277451,0.12,0.0,0.6417168503228686,0.6461167561558085,1.1421194033698714,1.5137306740293772,0.0,-0.12
2010-01-27,9399.9501953125,1378.8983887772242,202.94378069617278,104.50195124210279,7025.850055277451,0.12,0.0,0.21299375550512126,0.2071249258057706,-0.8069166084533178,-0.14339341885091292,0.0,-0.12
2010-01-28,9324.9501953125,1367.9165751438768,201.19423235677806,103.86676254752331,7025.850055277451,0.12,0.0,-0.8010766360549768,-0.7996077121885677,-0.8658226706875143,-0.6096794960923526,0.0,-0.12
2010-01-29,9250.0,1356.9218124555166,200.6594664786102,102.47037048838185,7025.850055277451,0.12,0.0,-0.8070073006027613,-0.8070073006027613,-0.26614969347720935,-1.3535260058744663,0.0,-0.12
2010-02-01,9256.400390625,1357.8407671643367,199.9740915720224,101.98766166544567,7025.850055277451,0.14,0.0,0.06916948455764194,0.06770056069123252,-0.3421458644290361,-0.47218464808365734,0.0,-0.12
2010-02-02,9313.7001953125,1366.6471191654182,202.03254888480922,102.99575408862493,7025.850055277451,0.14,0.0,0.6171209065006723,0.6464615030430456,1.0241001496936297,0.9835923036162599,0.0,-0.14
2010-02-03,9364.599609375,1373.7329162025242,204.02177119961837,103.08894745594453,7025.850055277451,0.13,0.0,0.5450125609625969,0.5171408882866259,0.9797892202854513,0.09044181637316166,0.0,-0.14
2010-02-04,9386.900390625,1377.0043125822997,203.13569739453118,104.98713797282875,7025.850055277451,0.14,0.0,0.23785608366247282,0.23785608366247282,-0.4352493923181299,1.8245664054303568,0.0,-0.13
2010-02-05,9468.099609375,1388.589799971761,203.0909443650693,106.1208190969848,7025.850055277451,0.13,0.0,0.8613070350526202,0.8378348152191535,-0.02203352761358414,1.0740400674299162,0.0,-0.14
2010-02-08,9484.5,1391.301176774246,203.0507425797154,106.30463876074417,7025.850055277451,0.13,0.0,0.17306749529467058,0.19507079126175583,-0.019796926431074176,0.17306749529467058,0.0,-0.13
2010-02-09,9339.2998046875,1370.0818613144354,201.32140391386793,104.03818776888224,7025.850055277451,0.13,0.0,-1.5427605132295565,-1.5368916835302362,-0.8553255825210165,-2.1550900955716594,0.0,-0.13
2010-02-10,9314.400390625,1365.948190127058,200.83661912099595,103.57389479613873,7025.850055277451,0.12,0.0,-0.2669650373924347,-0.30216585745311286,-0.24109180964847926,-0.44727044883451605,0.0,-0.13
2010-02-11,9330.099609375,1367.2879466653474,201.0797263480967,103.88709345290724,7025.850055277451,0.12,0.0,0.16840593698217657,0.0980344601445362,0.12097405815401475,0.3019352190993984,0.0,-0.12
2010-02-12,9323.7001953125,1366.4101973477555,200.9418079461128,103.65425805047462,7025.850055277451,0.12,0.0,-0.068612447657388,-0.06421699116109622,-0.068612447657388,-0.22437504471135733,0.0,-0.12
2010-02-15,9344.7998046875,1369.5224926687877,201.66600958951216,103.77345350356526,7025.850055277451,0.12,0.0,0.2260451387019137,0.22751266322288766,0.3597557687324376,0.11492723447349981,0.0,-0.12
