Date,USDTHB_RET,CNYTHB_RET,JPYTHB_RET,INRTHB_RET,MYRTHB_RET
2010-01-04,-0.5229133090991628,0,-0.12966141039769497,0,0.4464880410805657
2010-01-05,1.5071219950338628,1.7052853328293238,2.6964981445953375,0,0.20630508823752985
2010-01-06,0.0076787657763677806,0.08956536812744614,-0.6940880942971124,0,-0.1480360880302561
2010-01-07,-0.050384660286454296,0.015628727735965343,-1.298169402675334,0,0.2813475506632139
2010-01-08,-0.3508860804391682,-0.19385115281973464,0.14078118199196535,0,-0.07559002544774361
2010-01-11,0.27423263546900933,0.18410336685828604,0.8960709592609422,0,0.7521117509844151
2010-01-12,-0.22136760149119444,-0.20493720325035863,0.9527810060161894,0,0.15776559169895513
2010-01-13,-0.3483723823622295,-0.36038419725028514,-0.30363314478707637,0,0.03829261054975133
2010-01-14,-0.6558642170140723,-0.6691616723124754,-0.13381943220732206,0,-0.3176623444181883
2010-01-15,-0.038478835198907185,-0.06166681029008117,0.589260213805545,0,0.0027138703726837868
2010-01-18,-0.2233399569896171,-0.24253113777887583,-0.0153519534228993,0,-0.3281488212887761
2010-01-19,-0.09147604848296056,-0.11420371592766806,-0.7105335302539268,0,0.07719795096712048
2010-01-20,0.38891585223751235,0.3582433597733908,0.35368042448617,0,-0.4437193681893423
2010-01-21,0.361500177924004,0.35196443258394716,1.138193890827797,0,-0.2970593389109718
2010-01-22,0.31522701051302293,0.3353933725614804,1.0463535458441604,0,-0.7931872226356558
2010-01-25,-1.096920428134127,-1.076513101110763,-1.6093651444162387,0,-0.12053201413958514
2010-01-26,0.8270942654550437,0.8289635813322365,1.8473226315510087,0,-0.927352603095345
2010-01-27,0.3110052318053798,0.31234841192324164,0.1802157840072126,0,-0.725528443374043
2010-01-28,0.24910158465925158,0.26319275951862336,0.20947943510767092,0,0.4117669505232669
2010-01-29,0.22315897285687442,0.2321323634201845,-0.406928129271318,0,0.4925577196569192
2010-02-01,0.3493057450407995,0.36598244225374066,-0.32949844859973776,0,0.05127332660345371
2010-02-02,-0.49664436968778414,-0.43237335496928647,-0.4418401745792602,0,-0.2662941576433119
2010-02-03,-0.03242803531056408,-0.045009115189858666,-0.3712490262567729,0,0.4938977729685291
2010-02-04,0.21822036153806945,0.2108035263630565,1.6224283659826193,0,-0.4017803639364351
2010-02-05,-0.4007585461347667,-0.42619247802356214,0.2835130211081724,0,-0.5931765164483476
2010-02-08,0.6540711110057335,0.6580176741401615,0.9824983784665795,0,-0.24408958522964083
2010-02-09,0.08471627241836086,0.09191749768501137,-0.5754818592584723,0,0.24100842559395275
2010-02-10,-0.37565473557976575,-0.3868571041826161,-0.5551183853547094,0,-0.15294598327465442
2010-02-11,-0.3659843026561186,-0.4485115491805629,-0.5361155403527424,0,0.06626804467224395
