Date,USDPHP=X
2010-01-04,45.85499954223633
2010-01-05,45.849998474121094
2010-01-06,45.75
2010-01-07,45.724998474121094
2010-01-08,45.665000915527344
2010-01-11,45.349998474121094
2010-01-12,45.349998474121094
2010-01-13,45.6349983215332
2010-01-14,45.54999923706055
2010-01-15,45.744998931884766
2010-01-18,45.79499816894531
2010-01-19,45.875
2010-01-20,46.025001525878906
2010-01-21,46.07500076293945
2010-01-22,46.25
2010-01-25,45.388999938964844
2010-01-26,46.4900016784668
2010-01-27,46.42499923706055
2010-01-28,46.018001556396484
2010-01-29,46.564998626708984
2010-02-01,46.55500030517578
2010-02-02,46.25
2010-02-03,46.099998474121094
2010-02-04,46.349998474121094
2010-02-05,46.5
2010-02-08,46.29999923706055
2010-02-09,46.25
2010-02-10,46.25
2010-02-11,46.04999923706055
2010-02-12,46.349998474121094
2010-02-15,46.244998931884766
2010-02-16,45.95000076293945
2010-02-17,45.92499923706055
2010-02-18,46.04999923706055
2010-02-19,46.0
2010-02-22,46.099998474121094
2010-02-23,46.025001525878906
2010-02-24,45.994998931884766
2010-02-25,46.099998474121094
2010-02-26,46.099998474121094
2010-03-01,46.099998474121094
2010-03-02,46.099998474121094
2010-03-03,45.900001525878906
2010-03-04,45.900001525878906
2010-03-05,45.900001525878906
2010-03-08,45.650001525878906
2010-03-09,45.650001525878906
2010-03-10,45.58000183105469
2010-03-11,45.5
2010-03-12,45.560001373291016
2010-03-15,45.744998931884766
2010-03-16,45.599998474121094
2010-03-17,45.400001525878906
2010-03-18,45.61000061035156
2010-03-19,45.459999084472656
2010-03-22,45.5
2010-03-23,45.619998931884766
2010-03-24,45.599998474121094
2010-03-25,45.54499816894531
2010-03-26,45.45000076293945
2010-03-29,45.150001525878906
2010-03-30,45.20000076293945
2010-03-31,45.0
2010-04-01,44.959999084472656
2010-04-02,44.75
2010-04-05,45.900001525878906
2010-04-06,44.849998474121094
2010-04-07,44.70000076293945
2010-04-08,44.900001525878906
2010-04-09,44.650001525878906
2010-04-12,44.617000579833984
2010-04-13,44.64500045776367
2010-04-14,44.29999923706055
2010-04-15,44.25
2010-04-16,44.209999084472656
2010-04-19,44.505001068115234
2010-04-20,44.43000030517578
2010-04-21,44.29999923706055
2010-04-22,44.400001525878906
2010-04-23,44.20000076293945
2010-04-26,44.10499954223633
2010-04-27,44.494998931884766
2010-04-28,44.67499923706055
2010-04-29,44.599998474121094
2010-04-30,44.45000076293945
2010-05-03,44.52000045776367
2010-05-04,44.650001525878906
2010-05-05,45.150001525878906
2010-05-06,45.349998474121094
2010-05-07,45.599998474121094
2010-05-10,44.904998779296875
2010-05-11,44.900001525878906
2010-05-12,44.849998474121094
2010-05-13,44.650001525878906
2010-05-14,45.099998474121094
2010-05-17,45.04999923706055
2010-05-18,45.18000030517578
2010-05-19,45.38600158691406
2010-05-20,45.95000076293945
2010-05-21,46.400001525878906
2010-05-24,46.5
2010-05-25,47.32099914550781
2010-05-26,46.404998779296875
2010-05-27,46.18000030517578
2010-05-28,46.099998474121094
2010-05-31,46.185001373291016
2010-06-01,46.54999923706055
2010-06-02,46.70000076293945
2010-06-03,46.5
2010-06-04,46.25
2010-06-07,46.68000030517578
2010-06-08,46.630001068115234
2010-06-09,46.45000076293945
2010-06-10,46.375
2010-06-11,46.45000076293945
2010-06-14,46.349998474121094
2010-06-15,46.0099983215332
2010-06-16,46.119998931884766
2010-06-17,45.95000076293945
2010-06-18,45.79999923706055
2010-06-21,45.45000076293945
2010-06-22,45.79999923706055
2010-06-23,46.125
2010-06-24,46.33000183105469
2010-06-25,46.04999923706055
2010-06-28,46.369998931884766
2010-06-29,46.25
2010-06-30,46.380001068115234
2010-07-01,46.39500045776367
2010-07-02,46.47999954223633
2010-07-05,46.334999084472656
2010-07-06,46.349998474121094
2010-07-07,46.220001220703125
2010-07-08,46.41999816894531
2010-07-09,46.16999816894531
2010-07-12,46.185001373291016
2010-07-13,46.20000076293945
2010-07-14,46.20000076293945
2010-07-15,46.375
2010-07-16,46.279998779296875
2010-07-19,46.33000183105469
2010-07-20,46.380001068115234
2010-07-21,46.415000915527344
2010-07-22,46.439998626708984
2010-07-23,46.43000030517578
2010-07-26,45.8849983215332
2010-07-27,45.724998474121094
2010-07-28,45.880001068115234
2010-07-29,45.900001525878906
2010-07-30,45.45000076293945
2010-08-02,45.209999084472656
2010-08-03,45.0
2010-08-04,45.0
2010-08-05,45.15999984741211
2010-08-06,44.974998474121094
2010-08-09,44.724998474121094
2010-08-10,44.834999084472656
2010-08-11,44.86000061035156
2010-08-12,45.20000076293945
2010-08-13,45.349998474121094
2010-08-16,45.26499938964844
2010-08-17,45.255001068115234
2010-08-18,45.084999084472656
2010-08-19,44.95000076293945
2010-08-20,44.834999084472656
2010-08-23,45.03499984741211
2010-08-24,44.974998474121094
2010-08-25,45.39500045776367
2010-08-26,45.30500030517578
2010-08-27,45.05500030517578
2010-08-30,44.96500015258789
2010-08-31,45.095001220703125
2010-09-01,45.22999954223633
2010-09-02,45.04999923706055
2010-09-03,44.79999923706055
2010-09-06,44.3650016784668
2010-09-07,44.29999923706055
2010-09-08,44.5
2010-09-09,44.18000030517578
2010-09-10,43.96500015258789
2010-09-13,43.90999984741211
2010-09-14,43.97999954223633
2010-09-15,44.11000061035156
2010-09-16,44.130001068115234
2010-09-17,44.20000076293945
2010-09-20,44.125
2010-09-21,44.0
2010-09-22,43.849998474121094
2010-09-23,43.869998931884766
2010-09-24,43.974998474121094
2010-09-27,43.724998474121094
2010-09-28,43.779998779296875
2010-09-29,43.900001525878906
2010-09-30,43.779998779296875
2010-10-01,43.810001373291016
2010-10-04,43.685001373291016
2010-10-05,43.72999954223633
2010-10-06,43.54999923706055
2010-10-07,43.380001068115234
2010-10-08,43.400001525878906
2010-10-11,43.19499969482422
2010-10-12,43.529998779296875
2010-10-13,43.58000183105469
2010-10-14,43.27000045776367
2010-10-15,43.17499923706055
2010-10-18,43.154998779296875
2010-10-19,43.209999084472656
2010-10-20,43.400001525878906
2010-10-21,43.2400016784668
2010-10-22,43.25
2010-10-25,43.095001220703125
2010-10-26,42.95000076293945
2010-10-27,43.099998474121094
2010-10-28,43.189998626708984
2010-10-29,42.95000076293945
2010-11-01,42.79999923706055
2010-11-02,42.79999923706055
2010-11-03,42.54999923706055
2010-11-04,42.45000076293945
2010-11-05,42.290000915527344
2010-11-08,42.58000183105469
2010-11-09,43.04999923706055
2010-11-10,43.04999923706055
2010-11-11,43.20000076293945
2010-11-12,43.70000076293945
2010-11-15,43.685001373291016
2010-11-16,43.70000076293945
2010-11-17,43.68000030517578
2010-11-18,43.79999923706055
2010-11-19,43.45000076293945
2010-11-22,43.61000061035156
2010-11-23,43.9900016784668
2010-11-24,44.2599983215332
2010-11-25,43.97999954223633
